coverable,fecha,provincia,prima_dev,prima_dev_ipc,sa,sa_ipc,pagos,pagos_ipc,rva,ar,cant_stros_total,cant_stros_nro_stro,coste_medio
AUT,2022-07-01,buenos_aires,902427428,9560757858,887441248702,9401987021474,788216010,6041663154,282275710,16435,6920,5159,154695
AUT,2022-07-01,catamarca,3032805,32131026,4035344232,42752412250,702579,6255949,0,74,12,12,58548
AUT,2022-07-01,cordoba,407272599,4314845277,385637659084,4085634143035,281380189,2297437389,47887911,8482,2977,2251,110603
AUT,2022-07-01,entre_rios,82663775,875780450,96441378574,1021747175899,68879075,546585666,4843425,2510,705,540,104570
AUT,2022-07-01,corrientes,42062541,445631132,48481363654,513635299832,57301847,310676819,0,1258,357,265,160509
AUT,2022-07-01,san_luis,28414114,301033022,46218630712,489662799317,19104421,167837075,20355725,946,220,176,179364
AUT,2022-07-01,santa_fe,629433437,6668525887,556660756709,5897536560663,752208788,4163529397,250007227,10834,5047,3613,198576
AUT,2022-07-01,jujuy,3632302,38482400,6327707203,67038827744,4350973,37380603,0,107,34,27,127969
AUT,2022-07-01,la_rioja,1647462,17454015,2975473334,31523621081,261137,2328207,0,47,7,7,37305
AUT,2022-07-01,mendoza,97638102,1034425863,117960323717,1249729415001,232434836,896694706,46172201,1962,687,508,405541
AUT,2022-07-01,salta,11232080,118998177,15924431291,168711220632,4072528,34746037,95000,368,97,78,42964
AUT,2022-07-01,san_juan,13746869,145641021,40315937154,427126774231,6428460,54932871,7692649,358,107,82,131972
AUT,2022-07-01,chaco,55522827,588236025,65350393017,692354054831,40670726,309297154,14438821,1155,416,289,132474
AUT,2022-07-01,chubut,114972611,1218076245,139942152020,1482615665004,211968007,1053413073,28223869,2734,1024,815,234562
AUT,2022-07-01,santiago_del_estero,21962941,232686144,26491708575,280666129249,14504965,120769401,595424,562,145,113,104140
AUT,2022-07-01,tucuman,11852527,125571502,27301669531,289247252106,17010998,81472048,0,291,139,110,122381
AUT,2022-07-01,tierra_del_fuego,16504623,174858073,65930781277,698502972204,27026848,233257778,38290,356,186,124,145511
AUT,2022-07-01,formosa,9369596,99266092,9820439974,104042548518,4885468,36883824,39139,221,68,57,72420
AUT,2022-07-01,la_pampa,70871895,750851561,62503503306,662192711599,58240052,471332390,0,1790,434,325,134193
AUT,2022-07-01,capital_federal,148173850,1569826340,280313560774,2969779085894,113514865,798454445,63121934,1815,964,698,183233
AUT,2022-07-01,misiones,38490981,407792269,50792108736,538116464455,84827889,240233160,55536600,858,207,155,678089
AUT,2022-07-01,neuquen,43631953,462258219,35870516742,380029814226,39080459,333349821,13262677,801,379,303,138108
AUT,2022-07-01,rio_negro,54413271,576480848,48805447806,517068805975,44916053,351769854,18398909,1218,427,353,148278
AUT,2022-07-01,santa_cruz,63422932,671933604,63498066021,672729595891,74582680,422484332,6154304,1528,418,343,193150
AUT,2022-08-01,buenos_aires,948801930,9397065163,952904509477,9437697656024,800403915,6117433494,409159167,16377,7041,5284,171788
AUT,2022-08-01,catamarca,3236082,32050607,4052665227,40138155216,2024633,17424117,4680442,75,28,21,239466
AUT,2022-08-01,cordoba,430346857,4262214424,404340253963,4004641628949,364894609,2331342733,28867148,8455,3056,2282,128848
AUT,2022-08-01,entre_rios,87654717,868144425,100513028858,995494897408,132564238,573020154,274475,2501,662,495,200662
AUT,2022-08-01,corrientes,44633125,442052648,49507620319,490330298129,33642669,259174137,8261938,1263,306,231,136943
AUT,2022-08-01,san_luis,30415489,301239224,34215553153,338875556348,21113105,163521468,61848,948,221,176,95814
AUT,2022-08-01,santa_fe,668694503,6622842518,714373574938,7075254389728,653337004,3793779304,222589710,10806,4924,3487,177889
AUT,2022-08-01,jujuy,3838121,38013289,7409886334,73388535989,1666465,11739373,0,106,29,26,57464
AUT,2022-08-01,la_rioja,1787879,17707413,3119908452,30900003508,2203248,18286009,0,48,11,9,200295
AUT,2022-08-01,mendoza,103226693,1022371378,132287732659,1310195945126,144170475,773894271,65116105,1978,697,535,300267
AUT,2022-08-01,salta,11748570,116359428,16440106952,162825086113,12576928,92479260,36000,370,100,87,126129
AUT,2022-08-01,san_juan,14412720,142745575,32483062796,321716732895,4455284,34419212,3980586,357,100,76,84358
AUT,2022-08-01,chaco,58664812,581024415,73250970754,725487714736,112792681,339928336,27497114,1151,404,284,347251
AUT,2022-08-01,chubut,121076087,1199154325,142194974108,1408318630516,100881275,757784232,40494992,2713,958,764,147574
AUT,2022-08-01,santiago_del_estero,23362837,231388786,27343806770,270816832615,38266026,183175940,0,562,149,117,256818
AUT,2022-08-01,tucuman,12521605,124015697,28370582288,280986158917,11869056,86991547,29025,293,150,115,79320
AUT,2022-08-01,tierra_del_fuego,17460199,172928222,69569018103,689021148016,11907078,88471273,75935,355,163,120,73515
AUT,2022-08-01,formosa,9768730,96750824,10078247463,99816352542,2613824,22695689,1300000,220,63,52,62124
AUT,2022-08-01,la_pampa,75360196,746377776,64724577107,641041136417,50038296,401253579,558083,1790,487,366,103894
AUT,2022-08-01,capital_federal,155180074,1536924897,281869470390,2791674101056,151472508,1059806585,122711109,1800,1028,732,266715
AUT,2022-08-01,misiones,40916791,405245544,52570502502,520665505573,26847814,173687239,121100,858,228,169,118284
AUT,2022-08-01,neuquen,46213961,457709416,39883289543,395009599074,32590677,263244202,0,809,390,318,83565
AUT,2022-08-01,rio_negro,57129112,565814582,50900425267,504124830392,51278334,424796814,181200,1207,444,359,115899
AUT,2022-08-01,santa_cruz,66633772,659950075,65954266025,653220145041,34372794,271923641,18372775,1511,350,294,150701
AUT,2022-09-01,buenos_aires,973338161,9080231586,1046274854030,9760655280315,743216523,5327925540,299301167,15824,6506,4837,160239
AUT,2022-09-01,catamarca,3325616,31024536,5507396871,51378279934,2328528,16111446,0,72,29,19,80294
AUT,2022-09-01,cordoba,444217733,4144089188,432677169967,4036427605468,490790901,2299916646,44403510,8170,2960,2216,180808
AUT,2022-09-01,entre_rios,89822738,837952627,102977704324,960674787860,69406051,494115739,202038,2416,764,578,91110
AUT,2022-09-01,corrientes,45594753,425351598,52699833041,491634585001,23653417,173215613,86793,1227,298,226,79665
AUT,2022-09-01,san_luis,31164387,290731338,35765305170,333653067734,18429436,121366828,408757,918,170,142,110812
AUT,2022-09-01,santa_fe,687629276,6414865393,690129634785,6438191109861,689380868,4090490775,139122955,10442,5030,3552,164712
AUT,2022-09-01,jujuy,4119788,38433326,9159193176,85445738180,6742875,44213514,0,104,42,34,160544
AUT,2022-09-01,la_rioja,1890367,17635156,3242004468,30244526957,189275,1544272,0,48,8,8,23659
AUT,2022-09-01,mendoza,106778093,996128453,127484557242,1189298215497,147202909,743027981,65664540,1927,741,559,287270
AUT,2022-09-01,salta,12067549,112577668,18227293773,170041677390,4402540,31322755,80000,360,77,67,58214
AUT,2022-09-01,san_juan,14870805,138729169,34582093523,322614934735,5007673,32053909,0,347,82,64,61069
AUT,2022-09-01,chaco,60061621,560312432,69008083933,643773589931,41737285,334666315,20532073,1109,468,320,133054
AUT,2022-09-01,chubut,123461242,1151764902,150094606107,1400226435658,111748508,784587934,2473508,2619,926,735,123349
AUT,2022-09-01,santiago_del_estero,24020516,224086426,28452162313,265429057415,17206300,133724827,45000,545,134,109,128741
AUT,2022-09-01,tucuman,12913668,120471082,29600185245,276138916372,9950203,73215079,4515077,286,113,85,128011
AUT,2022-09-01,tierra_del_fuego,18089634,168757437,67794769465,632454628885,16707766,109124403,219000,344,149,107,113602
AUT,2022-09-01,formosa,9823231,91640518,10523099878,98169567962,3031144,24366447,0,213,51,44,59434
AUT,2022-09-01,la_pampa,77381089,721885024,69367730641,647128719364,39431973,279389905,18000,1732,419,321,94152
AUT,2022-09-01,capital_federal,159635407,1489232137,323124896530,3014418931380,168534855,1011432381,119182292,1733,1079,777,266651
AUT,2022-09-01,misiones,42140867,393130485,55140865330,514406875287,35479136,180459696,5637813,831,217,158,189479
AUT,2022-09-01,neuquen,47574980,443824996,42397828291,395527604422,34736045,254163562,14478714,786,344,269,143066
AUT,2022-09-01,rio_negro,58075643,541785305,54365786414,507176195742,46156262,332060547,15802943,1164,408,330,151860
AUT,2022-09-01,santa_cruz,67626930,630888892,68707686684,640971196342,41037442,324857930,6551049,1459,378,321,125895
AUT,2022-10-01,buenos_aires,1062123736,9317119030,1045744896234,9173440913734,904351352,5890077330,305481800,16285,6527,4913,185358
AUT,2022-10-01,catamarca,3652824,32043146,5281198392,46327514080,2487297,19315051,0,74,27,26,92122
AUT,2022-10-01,cordoba,487121179,4273104702,449745612280,3945240197181,513513835,2442461285,91255840,8431,3067,2278,197186
AUT,2022-10-01,entre_rios,98562713,864607825,114949679681,1008356912270,179221548,652178379,22847507,2497,685,509,294991
AUT,2022-10-01,corrientes,49839818,437202797,53166551127,466385460858,45169497,226228481,3763963,1270,335,248,146070
AUT,2022-10-01,san_luis,33946074,297780419,37650078434,330272489185,31042178,224581327,14559890,945,240,197,190008
AUT,2022-10-01,santa_fe,752386900,6600057828,711527335765,6241631201622,771798117,4051923788,150771087,10779,5127,3620,179943
AUT,2022-10-01,jujuy,4719262,41398116,9667864642,84808049621,1196796,8972985,170000,110,32,28,42712
AUT,2022-10-01,la_rioja,2175370,19082691,3599649068,31576695379,402664,3149616,0,50,10,10,40266
AUT,2022-10-01,mendoza,117490948,1030649312,142649791436,1251346707832,153203502,835667200,95667645,2011,799,595,311478
AUT,2022-10-01,salta,13198093,115775767,18358290335,161041849005,11134994,67853292,18128000,375,117,92,250111
AUT,2022-10-01,san_juan,16419000,144030107,43647964605,382886902692,16617351,110589824,8499669,357,92,74,273011
AUT,2022-10-01,chaco,65329081,573077075,72222867906,633550509046,76995350,438130623,39381829,1141,449,303,259191
AUT,2022-10-01,chubut,134768176,1182207887,154218434171,1352828685860,123165908,840652267,7550282,2705,886,715,147535
AUT,2022-10-01,santiago_del_estero,26226792,230065579,31542194167,276693154861,17148867,95921467,483099,564,167,136,105580
AUT,2022-10-01,tucuman,14212966,124678422,31305844536,274619858202,17819321,80494089,0,301,135,107,131994
AUT,2022-10-01,tierra_del_fuego,19872858,174327855,67479990800,591945235110,26500421,183798986,6720951,356,167,117,198930
AUT,2022-10-01,formosa,10440871,91588996,11329304990,99382469180,21218963,106724249,0,222,62,51,342241
AUT,2022-10-01,la_pampa,85326993,748501923,71436584457,626653105336,95597435,518161475,7300324,1784,512,385,200972
AUT,2022-10-01,capital_federal,174388571,1529764292,323701921373,2839564849928,147163804,951332410,32791615,1777,1013,745,177646
AUT,2022-10-01,misiones,46202372,405294595,61546953146,539899683162,24672657,168704956,33606254,861,222,161,262517
AUT,2022-10-01,neuquen,52637252,461742367,45761317022,401425566917,58850728,306429799,24576049,810,361,277,231099
AUT,2022-10-01,rio_negro,63236742,554722770,55982990755,491091718200,36578159,227183415,3236910,1195,384,321,103685
AUT,2022-10-01,santa_cruz,73731676,646786027,74354124519,652246231839,28558763,205494414,816885,1508,362,304,81148
AUT,2022-11-01,buenos_aires,1089548999,9109844233,1134679546284,9487185830073,1015350355,5525081961,278189881,15782,6426,4820,201297
AUT,2022-11-01,catamarca,3780912,31612645,5478079008,45802846898,215012,1513619,0,72,7,7,30716
AUT,2022-11-01,cordoba,500273218,4182841788,464252499751,3881668398567,534627999,2479020707,113473758,8157,2973,2211,217995
AUT,2022-11-01,entre_rios,101746392,850713187,101420360580,847987267317,90461025,556226997,313925,2418,685,527,132518
AUT,2022-11-01,corrientes,50457342,421879630,55466163752,463758956903,29001243,190566556,95000,1227,308,238,94468
AUT,2022-11-01,san_luis,34742097,290482695,39330477902,328846636800,38149836,219231185,0,908,237,190,160969
AUT,2022-11-01,santa_fe,771683004,6452130058,764050487163,6388313756910,778757665,4153928923,182773253,10426,5056,3642,190176
AUT,2022-11-01,jujuy,4745444,39677210,10268597953,85856925268,3208650,21874762,4015974,106,34,30,212488
AUT,2022-11-01,la_rioja,2347573,19628334,3802220018,31790797670,584340,3611885,0,50,8,7,73042
AUT,2022-11-01,mendoza,121905592,1019266627,144466964619,1207904861027,132987517,611886794,30000639,1970,750,580,217317
AUT,2022-11-01,salta,13602526,113732280,21221629608,177436479183,7263406,46688004,0,359,92,78,78950
AUT,2022-11-01,san_juan,16812592,140572021,44519285947,372230856005,10689916,67148292,14373329,346,98,73,255747
AUT,2022-11-01,chaco,66812027,558623092,77754965135,650118181724,98400537,531989850,15358713,1104,420,296,270855
AUT,2022-11-01,chubut,137665495,1151036862,159058855479,1329909334136,120055722,779828353,16035203,2621,1068,884,127425
AUT,2022-11-01,santiago_del_estero,27016961,225891905,32087788168,268289677217,10184467,64573378,6641049,547,146,121,115243
AUT,2022-11-01,tucuman,14851123,124171942,33176898664,277395854997,10445347,63391681,29088507,294,118,94,335032
AUT,2022-11-01,tierra_del_fuego,20855363,174374097,74098905767,619549449983,26475750,150226594,13532590,337,150,108,266722
AUT,2022-11-01,formosa,10662480,89150232,11136560124,93114056533,5136348,24147847,0,213,58,44,88557
AUT,2022-11-01,la_pampa,87083935,728118748,75695800812,632901272506,56623463,360518336,316033,1733,467,347,121926
AUT,2022-11-01,capital_federal,182319699,1524395916,339594235591,2839386353970,202942970,911207955,56922830,1744,1027,750,253033
AUT,2022-11-01,misiones,47010420,393059523,63100325547,527589059272,44851002,252131956,73336879,842,275,196,429774
AUT,2022-11-01,neuquen,54523838,455880164,45041574730,376597772389,59208028,341000585,19900399,787,416,331,190164
AUT,2022-11-01,rio_negro,64554132,539744494,57431633469,480192474638,44935562,273680605,14823999,1152,414,338,144346
AUT,2022-11-01,santa_cruz,75410014,630511794,76725179247,641508023795,47407811,294416747,334450,1462,394,322,121173
