año,coverable,provincia,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom,monto_total_compras
2024,AUT,buenos_aires,14581,67357,4,235736,15878523690
2024,AUT,capital_federal,2704,12864,4,275123,3539192643
2024,AUT,catamarca,19,108,5,424411,45836438
2024,AUT,chaco,780,4319,5,251366,1085650011
2024,AUT,chubut,2004,10756,5,203024,2183730466
2024,AUT,cordoba,5251,24049,4,217400,5228257550
2024,AUT,corrientes,566,2167,3,239773,519588679
2024,AUT,entre_rios,1066,4610,4,211844,976603566
2024,AUT,formosa,73,501,6,211963,106193624
2024,AUT,jujuy,36,205,5,183837,37686615
2024,AUT,la_pampa,347,1577,4,269967,425738576
2024,AUT,la_rioja,16,144,9,321887,46351812
2024,AUT,mendoza,904,5233,5,221662,1159960097
2024,AUT,misiones,526,2445,4,287819,703718884
2024,AUT,neuquen,1434,7183,5,213455,1533248445
2024,AUT,rio_negro,497,2175,4,200481,436046951
2024,AUT,salta,158,866,5,184146,159470829
2024,AUT,san_juan,153,819,5,233645,191356031
2024,AUT,san_luis,137,664,4,253580,168377146
2024,AUT,santa_cruz,548,2753,5,240332,661636096
2024,AUT,santa_fe,11260,48138,4,218350,10510955493
2024,AUT,santiago_del_estero,44,185,4,250148,46277399
2024,AUT,tierra_del_fuego,322,1589,4,338510,537892689
2024,AUT,tucuman,81,551,6,211756,116677671
2025,AUT,buenos_aires,10457,49317,4,261650,12903828441
2025,AUT,capital_federal,2297,11295,4,316267,3572245278
2025,AUT,catamarca,10,53,5,193791,10270968
2025,AUT,chaco,525,2581,4,243596,628723305
2025,AUT,chubut,1078,5875,5,229858,1350417203
2025,AUT,cordoba,3798,18301,4,245706,4496681702
2025,AUT,corrientes,395,1565,3,249252,390080888
2025,AUT,entre_rios,722,3563,4,240917,858390069
2025,AUT,formosa,50,332,6,304000,100928270
2025,AUT,jujuy,15,71,4,316158,22447219
2025,AUT,la_pampa,255,1315,5,276713,363877964
2025,AUT,la_rioja,27,146,5,429309,62679244
2025,AUT,mendoza,605,3872,6,225048,871389551
2025,AUT,misiones,351,1618,4,280069,453151838
2025,AUT,neuquen,947,5201,5,227237,1181864605
2025,AUT,rio_negro,473,2477,5,231706,573936753
2025,AUT,salta,83,427,5,216778,92564621
2025,AUT,san_juan,163,560,3,259123,145109378
2025,AUT,san_luis,116,751,6,217489,163334581
2025,AUT,santa_cruz,442,2589,5,272489,705475028
2025,AUT,santa_fe,9084,37209,4,274336,10207793879
2025,AUT,santiago_del_estero,50,331,6,306836,101562915
2025,AUT,tierra_del_fuego,307,1609,5,340105,547230424
2025,AUT,tucuman,62,362,5,276959,100259361
2024,CAM,buenos_aires,184,3061,16,502307,1537564325
2024,CAM,capital_federal,1,1,1,370861,370861
2024,CAM,catamarca,0,0,0,0,0
2024,CAM,chaco,6,18,3,948361,17070505
2024,CAM,chubut,3,28,9,309685,8671207
2024,CAM,cordoba,53,346,6,430006,148782264
2024,CAM,corrientes,1,1,1,2600000,2600000
2024,CAM,entre_rios,4,95,23,471288,44772386
2024,CAM,formosa,0,0,0,0,0
2024,CAM,jujuy,2,117,58,186027,21765159
2024,CAM,la_pampa,0,0,0,0,0
2024,CAM,la_rioja,0,0,0,0,0
2024,CAM,mendoza,1,3,3,2273333,6820000
2024,CAM,misiones,0,0,0,0,0
2024,CAM,neuquen,1,12,12,98087,1177050
2024,CAM,rio_negro,1,3,3,357153,1071460
2024,CAM,salta,4,25,6,633111,15827797
2024,CAM,san_juan,0,0,0,0,0
2024,CAM,san_luis,0,0,0,0,0
2024,CAM,santa_cruz,1,1,1,377520,377520
2024,CAM,santa_fe,175,1720,9,491769,845844174
2024,CAM,santiago_del_estero,0,0,0,0,0
2024,CAM,tierra_del_fuego,2,71,35,613079,43528653
2024,CAM,tucuman,3,15,5,505725,7585887
2025,CAM,buenos_aires,119,2037,17,623688,1270454039
2025,CAM,capital_federal,1,14,14,2310857,32352008
2025,CAM,catamarca,0,0,0,0,0
2025,CAM,chaco,1,14,14,363797,5093169
2025,CAM,chubut,1,2,2,228501,457002
2025,CAM,cordoba,25,113,4,484192,54713716
2025,CAM,corrientes,5,7,1,985714,6900000
2025,CAM,entre_rios,0,0,0,0,0
2025,CAM,formosa,0,0,0,0,0
2025,CAM,jujuy,0,0,0,0,0
2025,CAM,la_pampa,0,0,0,0,0
2025,CAM,la_rioja,0,0,0,0,0
2025,CAM,mendoza,1,11,11,472630,5198938
2025,CAM,misiones,0,0,0,0,0
2025,CAM,neuquen,1,6,6,1450000,8700000
2025,CAM,rio_negro,4,10,2,1362033,13620338
2025,CAM,salta,2,5,2,465249,2326248
2025,CAM,san_juan,1,2,2,1392510,2785021
2025,CAM,san_luis,0,0,0,0,0
2025,CAM,santa_cruz,2,4,2,1321343,5285374
2025,CAM,santa_fe,155,1434,9,491160,704324010
2025,CAM,santiago_del_estero,0,0,0,0,0
2025,CAM,tierra_del_fuego,7,80,11,727555,58204466
2025,CAM,tucuman,0,0,0,0,0
