año,coverable,provincia,tipo_repuesto,cant_ord_compra,costo_pieza_prom,monto_total_compras
2024,AUT,buenos_aires,capot,996,591129.0,588765041.0
2024,AUT,capital_federal,capot,189,661339.0,124993216.0
2024,AUT,catamarca,capot,1,801718.0,801718.0
2024,AUT,chaco,capot,77,592247.0,45603092.0
2024,AUT,chubut,capot,134,538786.0,72197355.0
2024,AUT,cordoba,capot,339,555737.0,188394843.0
2024,AUT,corrientes,capot,31,623379.0,19324767.0
2024,AUT,entre_rios,capot,52,624857.0,32492598.0
2024,AUT,formosa,capot,5,523271.0,2616356.0
2024,AUT,jujuy,capot,3,429012.0,1287036.0
2024,AUT,la_pampa,capot,29,676377.0,19614961.0
2024,AUT,la_rioja,capot,2,511321.0,1022642.0
2024,AUT,mendoza,capot,125,557017.0,69627150.0
2024,AUT,misiones,capot,55,610014.0,33550794.0
2024,AUT,neuquen,capot,99,556180.0,55061838.0
2024,AUT,rio_negro,capot,23,519915.0,11958057.0
2024,AUT,salta,capot,9,533095.0,4797859.0
2024,AUT,san_juan,capot,19,593493.0,11276370.0
2024,AUT,san_luis,capot,17,735074.0,12496260.0
2024,AUT,santa_cruz,capot,38,582227.0,22124654.0
2024,AUT,santa_fe,capot,638,599125.0,382242004.0
2024,AUT,santiago_del_estero,capot,5,916000.0,4580000.0
2024,AUT,tierra_del_fuego,capot,15,1067996.0,16019954.0
2024,AUT,tucuman,capot,11,514644.0,5661087.0
2024,AUT,buenos_aires,optica,3553,555847.0,1974925558.0
2024,AUT,capital_federal,optica,557,650744.0,362464899.0
2024,AUT,catamarca,optica,8,496079.0,3968633.0
2024,AUT,chaco,optica,238,719217.0,171173798.0
2024,AUT,chubut,optica,507,528001.0,267696691.0
2024,AUT,cordoba,optica,1200,537354.0,644825864.0
2024,AUT,corrientes,optica,112,695108.0,77852106.0
2024,AUT,entre_rios,optica,220,548415.0,120651313.0
2024,AUT,formosa,optica,21,485398.0,10193378.0
2024,AUT,jujuy,optica,14,356914.0,4996797.0
2024,AUT,la_pampa,optica,112,594268.0,66558066.0
2024,AUT,la_rioja,optica,7,917403.0,6421824.0
2024,AUT,mendoza,optica,306,461218.0,141132978.0
2024,AUT,misiones,optica,134,778439.0,104310882.0
2024,AUT,neuquen,optica,390,532884.0,207824934.0
2024,AUT,rio_negro,optica,106,409987.0,43458702.0
2024,AUT,salta,optica,30,436428.0,13092853.0
2024,AUT,san_juan,optica,42,512447.0,21522793.0
2024,AUT,san_luis,optica,36,630487.0,22697557.0
2024,AUT,santa_cruz,optica,145,532909.0,77271857.0
2024,AUT,santa_fe,optica,2609,500026.0,1304569566.0
2024,AUT,santiago_del_estero,optica,17,334927.0,5693773.0
2024,AUT,tierra_del_fuego,optica,81,885121.0,71694867.0
2024,AUT,tucuman,optica,25,657312.0,16432806.0
2024,AUT,buenos_aires,paragolpe_del,3272,429032.0,1403793664.0
2024,AUT,capital_federal,paragolpe_del,539,522312.0,281526472.0
2024,AUT,catamarca,paragolpe_del,5,535878.0,2679390.0
2024,AUT,chaco,paragolpe_del,216,446236.0,96387129.0
2024,AUT,chubut,paragolpe_del,522,397992.0,207751923.0
2024,AUT,cordoba,paragolpe_del,1138,397718.0,452604082.0
2024,AUT,corrientes,paragolpe_del,107,457444.0,48946602.0
2024,AUT,entre_rios,paragolpe_del,245,383397.0,93932448.0
2024,AUT,formosa,paragolpe_del,20,405663.0,8113269.0
2024,AUT,jujuy,paragolpe_del,6,373305.0,2239833.0
2024,AUT,la_pampa,paragolpe_del,121,454057.0,54941011.0
2024,AUT,la_rioja,paragolpe_del,5,852563.0,4262818.0
2024,AUT,mendoza,paragolpe_del,304,408298.0,124122613.0
2024,AUT,misiones,paragolpe_del,123,499174.0,61398484.0
2024,AUT,neuquen,paragolpe_del,370,419630.0,155263161.0
2024,AUT,rio_negro,paragolpe_del,112,360821.0,40412023.0
2024,AUT,salta,paragolpe_del,33,419757.0,13851993.0
2024,AUT,san_juan,paragolpe_del,42,411879.0,17298928.0
2024,AUT,san_luis,paragolpe_del,28,376831.0,10551287.0
2024,AUT,santa_cruz,paragolpe_del,183,459413.0,84072596.0
2024,AUT,santa_fe,paragolpe_del,2105,404211.0,850865040.0
2024,AUT,santiago_del_estero,paragolpe_del,23,380275.0,8746337.0
2024,AUT,tierra_del_fuego,paragolpe_del,88,609152.0,53605384.0
2024,AUT,tucuman,paragolpe_del,22,422583.0,9296834.0
2024,AUT,buenos_aires,paragolpe_tras,1935,468715.0,906964972.0
2024,AUT,capital_federal,paragolpe_tras,446,510935.0,227877219.0
2024,AUT,catamarca,paragolpe_tras,2,177349.0,354698.0
2024,AUT,chaco,paragolpe_tras,89,440853.0,39235962.0
2024,AUT,chubut,paragolpe_tras,302,389470.0,117620212.0
2024,AUT,cordoba,paragolpe_tras,673,432638.0,291165381.0
2024,AUT,corrientes,paragolpe_tras,63,427026.0,26902655.0
2024,AUT,entre_rios,paragolpe_tras,124,413740.0,51303836.0
2024,AUT,formosa,paragolpe_tras,6,373784.0,2242705.0
2024,AUT,jujuy,paragolpe_tras,2,509669.0,1019339.0
2024,AUT,la_pampa,paragolpe_tras,36,477737.0,17198552.0
2024,AUT,la_rioja,paragolpe_tras,1,605010.0,605010.0
2024,AUT,mendoza,paragolpe_tras,135,451265.0,60920797.0
2024,AUT,misiones,paragolpe_tras,56,608949.0,34101192.0
2024,AUT,neuquen,paragolpe_tras,139,462508.0,64288653.0
2024,AUT,rio_negro,paragolpe_tras,72,400878.0,28863233.0
2024,AUT,salta,paragolpe_tras,16,416449.0,6663194.0
2024,AUT,san_juan,paragolpe_tras,8,444679.0,3557433.0
2024,AUT,san_luis,paragolpe_tras,34,651131.0,22138454.0
2024,AUT,santa_cruz,paragolpe_tras,78,466832.0,36412942.0
2024,AUT,santa_fe,paragolpe_tras,1357,453384.0,615242966.0
2024,AUT,santiago_del_estero,paragolpe_tras,6,589095.0,3534570.0
2024,AUT,tierra_del_fuego,paragolpe_tras,38,631998.0,24015956.0
2024,AUT,tucuman,paragolpe_tras,20,527736.0,10554734.0
2025,AUT,buenos_aires,capot,1078,686501.0,740048743.0
2025,AUT,capital_federal,capot,218,803583.0,175181239.0
2025,AUT,catamarca,capot,2,608641.0,1217283.0
2025,AUT,chaco,capot,37,623618.0,23073877.0
2025,AUT,chubut,capot,87,688016.0,59857414.0
2025,AUT,cordoba,capot,358,709477.0,253992910.0
2025,AUT,corrientes,capot,39,614918.0,23981832.0
2025,AUT,entre_rios,capot,53,698022.0,36995215.0
2025,AUT,formosa,capot,8,704786.0,5638291.0
2025,AUT,jujuy,capot,1,795000.0,795000.0
2025,AUT,la_pampa,capot,32,916333.0,29322658.0
2025,AUT,la_rioja,capot,2,663068.0,1326136.0
2025,AUT,mendoza,capot,98,595031.0,58313114.0
2025,AUT,misiones,capot,23,713817.0,16417797.0
2025,AUT,neuquen,capot,117,647453.0,75752080.0
2025,AUT,rio_negro,capot,42,612912.0,25742306.0
2025,AUT,salta,capot,4,509627.0,2038510.0
2025,AUT,san_juan,capot,12,823896.0,9886752.0
2025,AUT,san_luis,capot,17,614017.0,10438303.0
2025,AUT,santa_cruz,capot,37,733472.0,27138466.0
2025,AUT,santa_fe,capot,1072,822265.0,881468247.0
2025,AUT,santiago_del_estero,capot,14,1257249.0,17601489.0
2025,AUT,tierra_del_fuego,capot,28,909220.0,25458183.0
2025,AUT,tucuman,capot,16,715648.0,11450370.0
2025,AUT,buenos_aires,optica,3329,673924.0,2243495843.0
2025,AUT,capital_federal,optica,706,1254748.0,885852369.0
2025,AUT,catamarca,optica,8,473158.0,3785267.0
2025,AUT,chaco,optica,199,828627.0,164896782.0
2025,AUT,chubut,optica,365,615505.0,224659685.0
2025,AUT,cordoba,optica,1142,738938.0,843867926.0
2025,AUT,corrientes,optica,131,917294.0,120165522.0
2025,AUT,entre_rios,optica,220,599725.0,131939656.0
2025,AUT,formosa,optica,17,911062.0,15488056.0
2025,AUT,jujuy,optica,5,1134262.0,5671310.0
2025,AUT,la_pampa,optica,120,786096.0,94331621.0
2025,AUT,la_rioja,optica,9,659248.0,5933236.0
2025,AUT,mendoza,optica,275,552194.0,151853576.0
2025,AUT,misiones,optica,114,829586.0,94572809.0
2025,AUT,neuquen,optica,355,505891.0,179591589.0
