fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,ipc_empalme_ipim,var_precio_prom,var_instal_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom_%,tipo_cristal
2023-12-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,87128,242686,90,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,91484,186566,84,18488,37704,17,2.039326613,4825,0.04999540905334676,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,96058,176466,95,20337,37361,20,1.837070643,5357,0.049997813825368276,0.1000108178277801,0.11009700156540236,11.01%,5.0%,10.0%,Cristales laterales y de techo
2024-05-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,100861,163427,90,22168,35919,19,1.620318976,6073,0.050001041037706306,0.09003294487879243,0.13377098612570282,13.38%,5.0%,9.0%,Cristales laterales y de techo
2024-07-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,154726,73,23719,35327,16,1.48936646,6607,0.030001685487948793,0.06996571634788884,0.08792497970558877,8.79%,3.0%,7.0%,Cristales laterales y de techo
2024-10-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,139786,86,26566,35746,22,1.345559164,7313,0.0,0.1200303554112736,0.10687549081586467,10.69%,0.0%,12.0%,Cristales laterales y de techo
2025-01-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,130007,85,26566,33245,21,1.251424313,7864,0.0,0.0,0.07522216915167435,7.52%,0.0%,0.0%,Cristales laterales y de techo
2025-04-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,107004,122654,84,28957,33192,22,1.146262248,8585,0.03000375407895106,0.09000225852593546,0.09174345979744447,9.17%,3.0%,9.0%,Cristales laterales y de techo
2025-08-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,107004,114547,83,28957,30998,22,1.070498944,9193,0.0,0.0,0.07077382453924819,7.08%,0.0%,0.0%,Cristales laterales y de techo
2025-11-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,113424,113424,77,31853,31853,21,1.0,9841,0.05999775709319288,0.10001036018924614,0.07049894389293976,7.05%,6.0%,10.0%,Cristales laterales y de techo
2023-12-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,36674,102154,37,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,38508,78531,35,18488,37704,17,2.039326613,4825,0.05000818018214548,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,40434,74280,40,20337,37361,20,1.837070643,5357,0.05001558117793703,0.1000108178277801,0.11009700156540236,11.01%,5.0%,10.0%,Cristales laterales y de techo
2024-05-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,42931,69563,38,22168,35919,19,1.620318976,6073,0.06175495869812542,0.09003294487879243,0.13377098612570282,13.38%,6.18%,9.0%,Cristales laterales y de techo
