fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,var_precio_prom,var_precio_prom_%,var_instal_prom,var_instal_prom_%,ipc_empalme_ipim,var_ipc,var_ipc_%,tipo_cristal
2023-12-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,87128,226704,90,16962,44135,17,2.6,,-,,-,3533,,-,Cristales laterales y de techo
2024-02-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,91484,174280,84,18488,35221,17,1.91,0.0499954090533467,5.0%,0.0899658059191133,9.0%,4825,0.3658436413394097,36.58%,Cristales laterales y de techo
2024-03-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,96058,164845,95,20337,34901,20,1.72,0.0499978138253682,5.0%,0.1000108178277801,10.0%,5357,0.1100970015654023,11.01%,Cristales laterales y de techo
2024-05-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,100861,152665,90,22168,33554,19,1.51,0.0500010410377063,5.0%,0.0900329448787924,9.0%,6073,0.1337709861257028,13.38%,Cristales laterales y de techo
2024-07-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,144536,73,23719,33001,16,1.39,0.0300016854879487,3.0%,0.0699657163478888,7.0%,6607,0.0879249797055887,8.79%,Cristales laterales y de techo
2024-10-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,130580,86,26566,33392,22,1.26,0.0,0.0%,0.1200303554112736,12.0%,7313,0.1068754908158646,10.69%,Cristales laterales y de techo
2025-01-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,121445,85,26566,31056,21,1.17,0.0,0.0%,0.0,0.0%,7864,0.0752221691516743,7.52%,Cristales laterales y de techo
2025-04-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,107004,114577,84,28957,31006,22,1.07,0.030003754078951,3.0%,0.0900022585259354,9.0%,8585,0.0917434597974444,9.17%,Cristales laterales y de techo
2025-08-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,107004,107004,80,28957,28957,21,1.0,0.0,0.0%,0.0,0.0%,9193,0.0707738245392481,7.08%,Cristales laterales y de techo
2023-12-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,36674,95426,37,16962,44135,17,2.6,,-,,-,3533,,-,Cristales laterales y de techo
2024-02-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,38508,73359,35,18488,35221,17,1.91,0.0500081801821454,5.0%,0.0899658059191133,9.0%,4825,0.3658436413394097,36.58%,Cristales laterales y de techo
2024-03-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,40434,69388,40,20337,34901,20,1.72,0.050015581177937,5.0%,0.1000108178277801,10.0%,5357,0.1100970015654023,11.01%,Cristales laterales y de techo
2024-05-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,42931,64982,38,22168,33554,19,1.51,0.0617549586981254,6.18%,0.0900329448787924,9.0%,6073,0.1337709861257028,13.38%,Cristales laterales y de techo
2024-07-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,45076,62714,31,23719,33001,16,1.39,0.0499638955533296,5.0%,0.0699657163478888,7.0%,6607,0.0879249797055887,8.79%,Cristales laterales y de techo
2024-10-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,45817,57589,38,26566,33392,22,1.26,0.0164389031857308,1.64%,0.1200303554112736,12.0%,7313,0.1068754908158646,10.69%,Cristales laterales y de techo
