coverable,provincia,pagos_2022,pagos_2023,pagos_2024,pagos_2025,cant_stros_2022,cant_stros_2023,cant_stros_2024,cant_stros_2025,coste_medio_2022,coste_medio_2023,coste_medio_2024,coste_medio_2025,var_cm_2022_2023,var_cm_2023_2024,var_cm_2024_2025
AUT,buenos_aires,835.417.897,1.831.186.875,3.792.907.180,3.317.735.132,80.384,77.229,68.613,40.498,174.988,331.389,815.280,991.384,"89,38%","146,02%","21,60%"
AUT,capital_federal,136.645.778,311.444.564,656.759.530,403.831.242,12.115,11.626,11.003,6.095,225.637,399.859,887.165,879.902,"77,21%","121,87%","-0,82%"
AUT,catamarca,2.903.683,5.941.581,8.327.756,10.301.029,261,208,220,130,181.562,345.923,558.360,1.045.112,"90,53%","61,41%","87,18%"
AUT,chaco,67.241.800,120.314.664,205.096.200,100.302.545,5.084,4.879,4.064,1.889,208.597,385.003,801.083,773.331,"84,57%","108,07%","-3,46%"
AUT,chubut,103.133.661,218.941.612,451.720.110,354.300.246,11.405,11.051,9.134,5.090,121.572,257.556,712.051,790.451,"111,86%","176,46%","11,01%"
AUT,cordoba,410.728.935,746.171.065,1.456.862.103,1.069.472.837,36.283,34.488,29.505,16.244,157.537,297.907,720.603,861.328,"89,10%","141,89%","19,53%"
AUT,corrientes,35.313.567,70.184.559,141.017.403,80.374.385,3.761,3.679,3.163,1.792,130.868,259.816,674.174,707.321,"98,53%","159,48%","4,92%"
AUT,entre_rios,82.186.451,149.012.580,318.301.732,207.756.377,8.091,8.104,7.083,4.056,137.384,249.134,631.316,688.905,"81,34%","153,40%","9,12%"
AUT,formosa,5.878.847,11.833.745,19.677.049,12.503.193,758,711,462,316,96.676,234.523,637.676,660.928,"142,59%","171,90%","3,65%"
AUT,jujuy,3.598.530,8.078.719,20.831.830,6.298.043,410,497,366,189,150.167,249.428,810.380,570.593,"66,10%","224,89%","-29,59%"
AUT,la_pampa,51.225.588,128.075.392,263.385.476,252.467.135,5.428,5.211,4.751,2.900,129.391,324.958,805.664,952.026,"151,14%","147,93%","18,17%"
AUT,la_rioja,491.731,3.156.724,4.320.979,15.494.862,103,150,159,98,117.231,342.499,380.502,1.830.578,"192,16%","11,10%","381,10%"
AUT,mendoza,175.692.168,282.993.120,492.986.548,293.420.121,9.812,9.516,8.905,4.558,303.386,493.684,849.417,774.938,"62,72%","72,06%","-8,77%"
AUT,misiones,37.451.804,84.151.939,124.270.120,82.951.952,2.724,3.095,2.360,1.389,249.930,374.791,888.981,897.107,"49,96%","137,19%","0,91%"
AUT,neuquen,36.516.935,100.043.099,176.768.670,144.347.907,4.432,4.233,3.752,2.304,122.024,311.169,680.398,809.117,"155,01%","118,66%","18,92%"
AUT,rio_negro,45.443.573,90.495.986,216.252.071,163.228.659,5.072,4.831,4.553,2.505,145.580,250.353,701.806,874.189,"71,97%","180,33%","24,56%"
AUT,salta,6.728.239,16.876.844,29.029.808,32.596.622,1.031,1.001,929,563,88.867,227.066,439.487,886.790,"155,51%","93,55%","101,78%"
AUT,san_juan,9.152.091,32.412.626,79.145.762,50.421.379,1.162,1.188,1.729,873,166.996,380.803,657.897,727.850,"128,03%","72,77%","10,63%"
AUT,san_luis,23.509.784,73.923.350,130.553.816,86.458.802,2.626,2.955,2.564,1.505,127.136,322.375,709.036,655.512,"153,57%","119,94%","-7,55%"
AUT,santa_cruz,39.103.988,119.752.493,214.780.251,170.672.997,4.508,4.712,4.064,2.249,128.091,326.107,760.671,874.667,"154,59%","133,26%","14,99%"
AUT,santa_fe,657.069.120,1.252.353.693,2.466.809.729,1.891.494.471,63.168,57.571,52.034,30.700,155.094,304.572,707.230,820.921,"96,38%","132,20%","16,08%"
AUT,santiago_del_estero,23.774.738,34.652.877,54.500.748,38.724.549,1.748,1.655,1.453,706,250.652,453.054,650.242,826.439,"80,75%","43,52%","27,10%"
AUT,tierra_del_fuego,20.022.057,54.281.434,120.364.802,106.447.292,2.040,1.748,1.594,916,151.574,378.103,998.571,1.208.898,"149,45%","164,10%","21,06%"
AUT,tucuman,11.709.075,29.557.244,58.095.242,31.727.973,1.453,1.479,1.319,688,135.951,300.143,714.774,649.878,"120,77%","138,14%","-9,08%"
CAM,buenos_aires,110.684.782,319.041.751,632.429.569,435.488.151,6.904,6.760,6.312,3.732,309.329,680.702,1.473.607,1.641.706,"120,06%","116,48%","11,41%"
CAM,capital_federal,23.102.416,75.112.094,119.245.567,52.190.285,2.045,2.100,2.039,887,267.829,594.069,937.792,1.153.432,"121,81%","57,86%","22,99%"
CAM,catamarca,16.158,41.610,433.200,115.693,6,5,8,3,15.954,33.882,256.620,170.286,"112,37%","657,40%","-33,64%"
CAM,chaco,9.614.254,10.715.986,10.346.811,18.999.142,493,474,374,221,509.958,434.969,539.023,1.545.730,"-14,70%","23,92%","186,77%"
CAM,chubut,2.581.852,8.639.589,25.263.792,4.397.705,210,230,235,101,118.794,478.973,1.413.563,593.449,"303,20%","195,12%","-58,02%"
CAM,cordoba,52.079.160,106.997.560,178.671.638,120.721.235,2.669,2.444,2.480,1.475,268.160,642.330,1.058.837,1.299.917,"139,53%","64,84%","22,77%"
CAM,corrientes,3.395.552,4.636.220,8.763.932,17.484.451,202,158,174,119,457.231,369.279,1.289.741,1.555.644,"-19,24%","249,26%","20,62%"
CAM,entre_rios,4.933.412,12.296.948,50.116.969,18.183.290,541,503,531,323,165.586,357.061,1.372.590,787.911,"115,63%","284,41%","-42,60%"
CAM,formosa,1.217.351,1.741.111,30.902.415,14.094.600,55,102,79,18,203.710,249.705,4.703.568,3.709.656,"22,58%","1783,65%","-21,13%"
CAM,jujuy,7.254.872,7.199.830,7.576.188,0,115,82,38,8,752.782,1.442.594,1.993.365,216.540,"91,64%","38,18%","-89,14%"
CAM,la_pampa,5.196.350,8.307.569,37.021.431,9.773.705,147,146,229,116,386.228,682.257,2.248.558,961.751,"76,65%","229,58%","-57,23%"
CAM,la_rioja,45.882,21.517,109.800,0,17,5,5,2,15.291,10.800,393.069,35.143,"-29,37%","3539,44%","-91,06%"
CAM,mendoza,26.637.657,43.035.487,125.812.900,123.485.288,873,1.024,952,469,445.529,767.344,1.786.362,2.808.172,"72,23%","132,80%","57,20%"
CAM,misiones,3.330.159,4.773.430,14.919.162,19.697.350,310,361,245,166,168.520,296.305,851.234,1.347.133,"75,83%","187,28%","58,26%"
CAM,neuquen,583.802,2.110.401,12.283.371,3.917.615,108,97,132,93,61.561,475.924,1.192.898,545.804,"673,10%","150,65%","-54,25%"
CAM,rio_negro,6.220.576,4.069.867,9.009.105,5.763.107,192,221,169,121,387.942,380.664,955.786,1.178.346,"-1,88%","151,08%","23,29%"
CAM,salta,1.654.830,3.174.524,18.360.654,1.758.101,99,121,74,37,201.507,533.443,2.259.041,490.770,"164,73%","323,48%","-78,28%"
CAM,san_juan,1.760.392,1.383.768,11.625.436,2.435.673,75,94,68,44,384.469,220.974,3.325.125,532.896,"-42,52%","1404,76%","-83,97%"
CAM,san_luis,7.022.251,5.745.516,14.921.899,25.391.834,189,297,159,92,283.566,526.886,977.504,1.823.869,"85,81%","85,52%","86,58%"
CAM,santa_cruz,1.883.832,9.994.535,40.674.331,5.441.296,288,300,196,111,85.192,365.056,2.632.329,668.181,"328,51%","621,08%","-74,62%"
CAM,santa_fe,88.664.113,189.804.759,476.151.114,264.406.809,4.983,4.958,4.397,2.581,262.981,556.635,1.491.527,1.679.616,"111,66%","167,95%","12,61%"
CAM,santiago_del_estero,3.248.884,4.367.472,3.989.755,3.427.810,173,154,118,58,262.642,373.535,586.706,2.158.301,"42,22%","57,07%","267,87%"
CAM,tierra_del_fuego,10.204.567,32.631.088,112.381.290,50.042.137,623,669,528,391,313.423,739.914,3.039.862,1.464.598,"136,08%","310,84%","-51,82%"
CAM,tucuman,1.706.412,7.313.433,16.281.549,5.452.896,209,237,225,115,100.737,902.747,1.075.405,1.668.887,"796,14%","19,13%","55,19%"
ESP,buenos_aires,32.813.716,63.362.633,157.720.165,188.433.908,524,538,443,208,751.930,1.254.363,4.741.852,7.420.734,"66,82%","278,03%","56,49%"
ESP,capital_federal,640.201,2.476.140,3.463.991,409.020,105,71,60,19,313.628,365.664,962.540,416.249,"16,59%","163,23%","-56,76%"
ESP,catamarca,0,1.213.299,0,0,1,3,4,0,0,1.420.181,13.583,0,,"-99,04%",
ESP,chaco,1.905.318,4.084.446,2.618.978,958.074,61,43,55,24,354.077,825.632,755.471,372.197,"233,18%","-8,50%","-50,73%"
ESP,chubut,11.135,160.445,297.149,0,4,10,9,1,5.934,108.627,126.111,28.571,"1830,61%","16,10%","-77,34%"
ESP,cordoba,17.919.417,45.030.632,72.781.841,37.484.650,350,322,350,175,544.448,1.437.132,2.351.756,4.302.983,"263,96%","63,64%","82,97%"
ESP,corrientes,22.917,79.167,104.167,0,7,7,9,2,15.417,79.167,257.624,41.714,"513,51%","225,42%","-83,81%"
ESP,entre_rios,764.450,7.459.981,3.852.569,6.719.386,46,50,57,19,208.499,2.420.008,801.833,1.267.890,"1160,68%","-66,87%","58,12%"
ESP,formosa,3.472,0,0,0,3,2,0,1,3.472,0,0,20.857,,,
ESP,jujuy,0,0,0,0,1,0,0,1,0,0,0,20.857,,,
ESP,la_pampa,1.444.065,626.731,1.214.105,399.690,37,20,14,10,292.014,160.790,644.457,536.027,"55,06%","300,81%","-16,83%"
ESP,la_rioja,0,0,2.873,0,0,0,2,0,0,0,12.686,0,,,
ESP,mendoza,177.195,1.865.168,1.584.267,765.272,40,38,29,21,37.942,598.051,495.480,635.223,"1576,23%","-17,15%","28,20%"
ESP,misiones,49.520,805.116,10.368.826,169.063,21,26,27,10,39.757,262.021,5.551.285,6.655.935,"659,06%","2018,64%","19,90%"
ESP,neuquen,93.011,141.072,363.601,272.389,12,6,14,4,73.157,70.536,276.751,151.212,"96,42%","292,36%","-45,36%"
ESP,rio_negro,4.513,6.390,117.083,0,7,11,8,1,2.257,159.488,115.250,20.857,"7067,40%","-27,74%","-81,90%"
ESP,salta,10.250,0,58.689,246.479,5,0,4,5,10.250,0,39.812,94.185,,,"136,58%"
ESP,san_juan,32.179,162.000,543.813,259.812,14,19,22,8,18.898,84.307,184.162,169.211,"446,13%","118,44%","-8,12%"
ESP,san_luis,2.901,519.085,807.729,0,6,6,8,2,2.901,213.840,657.726,15.867.500,"7371,45%","207,58%","2312,48%"
ESP,santa_cruz,97.876,43.742,253.717,2.547.642,8,4,8,9,68.313,21.871,84.023,987.780,"32,02%","284,18%","1075,61%"
ESP,santa_fe,13.990.664,40.622.714,158.880.899,292.072.316,473,493,485,263,326.142,981.073,3.816.950,10.680.622,"300,81%","289,06%","179,82%"
ESP,santiago_del_estero,1.232.357,505.337,16.327.302,493.356,27,20,5,6,1.269.839,189.857,5.516.817,250.928,"14,95%","2805,77%","-95,45%"
ESP,tierra_del_fuego,0,12.083,0,0,0,1,2,1,0,12.083,62.913,20.857,,"420,66%","-66,85%"
ESP,tucuman,77.708,95.955,18.638.371,0,5,10,16,5,43.854,67.462,6.224.118,132.014,"153,83%","9126,17%","-97,88%"
MOT,buenos_aires,9.653.198,35.194.761,107.351.499,120.431.324,1.225,1.647,1.955,1.302,147.795,306.478,837.234,1.095.238,"207,37%","173,18%","30,82%"
MOT,capital_federal,2.167.097,6.153.395,16.454.368,13.860.012,111,110,145,79,389.229,850.837,1.489.825,2.274.914,"218,60%","75,10%","52,70%"
MOT,catamarca,0,833,68.082,0,0,3,5,1,0,417,85.948,20.857,,"20527,62%","-75,73%"
