anio_mes,aseguradora,monto_historico,monto_ipc,monto_usd,tipo
2022-07-01,Grupo Cesvi,51209.0,552715.0,179.0,Chapa
2022-07-01,Grupo Sls,55948.0,603863.0,195.0,Chapa
2022-07-01,La Segunda,60321.0,651060.0,210.0,Chapa
2022-07-01,San Cristobal,57853.0,624422.0,202.0,Chapa
2022-07-01,Sancor,51426.0,555052.0,179.0,Chapa
2022-08-01,Grupo Cesvi,54758.0,552503.0,189.0,Chapa
2022-08-01,Grupo Sls,60423.0,609672.0,209.0,Chapa
2022-08-01,La Segunda,66133.0,667278.0,228.0,Chapa
2022-08-01,San Cristobal,60416.0,609600.0,208.0,Chapa
2022-08-01,Sancor,55977.0,564807.0,193.0,Chapa
2022-09-01,Grupo Cesvi,58040.0,551615.0,207.0,Chapa
2022-09-01,Grupo Sls,64080.0,609013.0,229.0,Chapa
2022-09-01,La Segunda,68870.0,654545.0,246.0,Chapa
2022-09-01,San Cristobal,65616.0,623620.0,234.0,Chapa
2022-09-01,Sancor,59577.0,566225.0,212.0,Chapa
2022-10-01,Grupo Cesvi,62735.0,560647.0,219.0,Chapa
2022-10-01,Grupo Sls,68909.0,615824.0,240.0,Chapa
2022-10-01,La Segunda,76027.0,679433.0,265.0,Chapa
2022-10-01,San Cristobal,70251.0,627812.0,245.0,Chapa
2022-10-01,Sancor,62986.0,562894.0,220.0,Chapa
2022-11-01,Grupo Cesvi,67236.0,572718.0,223.0,Chapa
2022-11-01,Grupo Sls,73149.0,623079.0,243.0,Chapa
2022-11-01,La Segunda,80458.0,685338.0,267.0,Chapa
2022-11-01,San Cristobal,73308.0,624442.0,244.0,Chapa
2022-11-01,Sancor,68291.0,581699.0,227.0,Chapa
2022-12-01,Grupo Cesvi,71849.0,582176.0,220.0,Chapa
2022-12-01,Grupo Sls,79018.0,640265.0,242.0,Chapa
2022-12-01,La Segunda,89562.0,725696.0,274.0,Chapa
2022-12-01,San Cristobal,80585.0,652958.0,247.0,Chapa
2022-12-01,Sancor,71574.0,579947.0,219.0,Chapa
2023-01-01,Grupo Cesvi,76584.0,585261.0,209.0,Chapa
2023-01-01,Grupo Sls,84922.0,648985.0,231.0,Chapa
2023-01-01,La Segunda,94289.0,720566.0,257.0,Chapa
2023-01-01,San Cristobal,86695.0,662536.0,236.0,Chapa
2023-01-01,Sancor,78156.0,597275.0,213.0,Chapa
