anio_mes,aseguradora,monto_historico,monto_ipc,monto_usd,tipo
2022-07-01,Grupo Cesvi,51209.0,626051.0,179.0,Chapa
2022-07-01,Grupo Sls,55948.0,683985.0,195.0,Chapa
2022-07-01,La Segunda,60321.0,737445.0,210.0,Chapa
2022-08-01,Grupo Cesvi,54758.0,625811.0,189.0,Chapa
2022-08-01,Grupo Sls,60423.0,690565.0,209.0,Chapa
2022-08-01,La Segunda,66133.0,755815.0,228.0,Chapa
2022-09-01,Grupo Cesvi,58040.0,624804.0,207.0,Chapa
2022-09-01,Grupo Sls,64080.0,689818.0,229.0,Chapa
2022-09-01,La Segunda,68870.0,741392.0,246.0,Chapa
2022-10-01,Grupo Cesvi,62735.0,635036.0,219.0,Chapa
2022-10-01,Grupo Sls,68909.0,697533.0,240.0,Chapa
2022-10-01,La Segunda,76027.0,769582.0,265.0,Chapa
2022-11-01,Grupo Cesvi,67236.0,648708.0,223.0,Chapa
2022-11-01,Grupo Sls,73149.0,705751.0,243.0,Chapa
2022-11-01,La Segunda,80458.0,776271.0,267.0,Chapa
2022-12-01,Grupo Cesvi,71849.0,659421.0,220.0,Chapa
2022-12-01,Grupo Sls,79018.0,725217.0,242.0,Chapa
2022-12-01,La Segunda,89562.0,821984.0,274.0,Chapa
2023-01-01,Grupo Cesvi,76584.0,662915.0,209.0,Chapa
2023-01-01,Grupo Sls,84922.0,735094.0,231.0,Chapa
2023-01-01,La Segunda,94289.0,816173.0,257.0,Chapa
2023-02-01,Grupo Cesvi,77967.0,632938.0,207.0,Chapa
2023-02-01,Grupo Sls,86666.0,703560.0,230.0,Chapa
2023-02-01,La Segunda,98573.0,800220.0,262.0,Chapa
2023-03-01,Grupo Cesvi,82286.0,620388.0,216.0,Chapa
2023-03-01,Grupo Sls,91695.0,691325.0,241.0,Chapa
2023-03-01,La Segunda,102198.0,770512.0,268.0,Chapa
2023-04-01,Grupo Cesvi,89746.0,624181.0,213.0,Chapa
2023-04-01,Grupo Sls,98643.0,686057.0,234.0,Chapa
2023-04-01,La Segunda,108099.0,751824.0,257.0,Chapa
2023-05-01,Grupo Cesvi,97117.0,626729.0,203.0,Chapa
2023-05-01,Grupo Sls,104988.0,677526.0,219.0,Chapa
2023-05-01,La Segunda,117283.0,756868.0,245.0,Chapa
2023-06-01,Grupo Cesvi,102391.0,623650.0,209.0,Chapa
2023-06-01,Grupo Sls,113402.0,690720.0,232.0,Chapa
2023-06-01,La Segunda,128163.0,780625.0,262.0,Chapa
2023-07-01,Grupo Cesvi,112698.0,645477.0,218.0,Chapa
2023-07-01,Grupo Sls,115003.0,658682.0,222.0,Chapa
2023-07-01,La Segunda,129004.0,738871.0,249.0,Chapa
2023-08-01,Grupo Cesvi,123119.0,627137.0,190.0,Chapa
2023-08-01,Grupo Sls,137062.0,698159.0,211.0,Chapa
2023-08-01,La Segunda,139839.0,712302.0,216.0,Chapa
2023-09-01,Grupo Cesvi,147857.0,667980.0,201.0,Chapa
2023-09-01,Grupo Sls,150159.0,678382.0,204.0,Chapa
2023-09-01,La Segunda,179751.0,812068.0,244.0,Chapa
2023-10-01,Grupo Cesvi,144548.0,602972.0,158.0,Chapa
2023-10-01,Grupo Sls,159871.0,666892.0,175.0,Chapa
2023-10-01,La Segunda,185009.0,771754.0,202.0,Chapa
2023-11-01,Grupo Cesvi,159194.0,588657.0,170.0,Chapa
2023-11-01,Grupo Sls,175260.0,648064.0,188.0,Chapa
2023-11-01,La Segunda,197564.0,730538.0,212.0,Chapa
2023-12-01,Grupo Cesvi,158261.0,466428.0,163.0,Chapa
2023-12-01,Grupo Sls,178779.0,526898.0,185.0,Chapa
2023-12-01,La Segunda,199607.0,588283.0,206.0,Chapa
2024-01-01,Grupo Cesvi,261229.0,638313.0,228.0,Chapa
2024-01-01,Grupo Sls,252701.0,617474.0,221.0,Chapa
2024-01-01,La Segunda,319789.0,781404.0,280.0,Chapa
2024-02-01,Grupo Cesvi,270310.0,583271.0,249.0,Chapa
2024-02-01,Grupo Sls,279608.0,603335.0,258.0,Chapa
2024-02-01,La Segunda,306620.0,661621.0,283.0,Chapa
2024-03-01,Grupo Cesvi,287249.0,558351.0,286.0,Chapa
2024-03-01,Grupo Sls,308924.0,600483.0,308.0,Chapa
2024-03-01,La Segunda,339415.0,659750.0,338.0,Chapa
2024-04-01,Grupo Cesvi,324764.0,580042.0,323.0,Chapa
2024-04-01,Grupo Sls,356998.0,637615.0,355.0,Chapa
2024-04-01,La Segunda,395710.0,706756.0,393.0,Chapa
2024-05-01,Grupo Cesvi,349945.0,599960.0,312.0,Chapa
2024-05-01,Grupo Sls,382139.0,655155.0,341.0,Chapa
2024-05-01,La Segunda,414257.0,710220.0,370.0,Chapa
2024-06-01,Grupo Cesvi,340963.0,558976.0,266.0,Chapa
2024-06-01,Grupo Sls,403334.0,661228.0,315.0,Chapa
2024-06-01,La Segunda,435497.0,713956.0,340.0,Chapa
2024-07-01,Grupo Cesvi,366459.0,577496.0,258.0,Chapa
2024-07-01,Grupo Sls,426318.0,671827.0,301.0,Chapa
2024-07-01,La Segunda,457370.0,720762.0,323.0,Chapa
2024-08-01,Grupo Cesvi,382657.0,578870.0,285.0,Chapa
2024-08-01,Grupo Sls,448771.0,678886.0,334.0,Chapa
2024-08-01,La Segunda,495268.0,749225.0,369.0,Chapa
2024-09-01,Grupo Cesvi,421373.0,616066.0,338.0,Chapa
2024-09-01,Grupo Sls,494058.0,722335.0,397.0,Chapa
2024-09-01,La Segunda,520230.0,760599.0,418.0,Chapa
2024-10-01,Grupo Cesvi,414394.0,589982.0,345.0,Chapa
2024-10-01,Grupo Sls,522856.0,744402.0,435.0,Chapa
2024-10-01,La Segunda,557218.0,793324.0,463.0,Chapa
2024-11-01,Grupo Cesvi,441195.0,613258.0,392.0,Chapa
2024-11-01,Grupo Sls,549357.0,763602.0,488.0,Chapa
2024-11-01,La Segunda,571951.0,795008.0,508.0,Chapa
2024-12-01,Grupo Cesvi,458136.0,620039.0,414.0,Chapa
2024-12-01,Grupo Sls,573841.0,776633.0,519.0,Chapa
2024-12-01,La Segunda,589620.0,797989.0,533.0,Chapa
2025-01-01,Grupo Cesvi,491378.0,650643.0,403.0,Chapa
2025-01-01,Grupo Sls,626606.0,829700.0,514.0,Chapa
2025-01-01,La Segunda,661776.0,876270.0,543.0,Chapa
2025-02-01,Grupo Cesvi,489962.0,633552.0,404.0,Chapa
2025-02-01,Grupo Sls,645512.0,834688.0,532.0,Chapa
2025-02-01,La Segunda,681968.0,881828.0,562.0,Chapa
2025-03-01,Grupo Cesvi,507767.0,632969.0,405.0,Chapa
2025-03-01,Grupo Sls,676844.0,843736.0,540.0,Chapa
2025-03-01,La Segunda,708065.0,882655.0,565.0,Chapa
2025-04-01,Grupo Cesvi,535125.0,649025.0,423.0,Chapa
2025-04-01,Grupo Sls,736258.0,892968.0,582.0,Chapa
2025-04-01,La Segunda,811962.0,984786.0,642.0,Chapa
2025-05-01,Grupo Cesvi,545721.0,652087.0,469.0,Chapa
2025-05-01,Grupo Sls,748501.0,894392.0,644.0,Chapa
2025-05-01,La Segunda,813755.0,972364.0,700.0,Chapa
2025-06-01,Grupo Cesvi,558982.0,657292.0,472.0,Chapa
2025-06-01,Grupo Sls,749944.0,881840.0,634.0,Chapa
2025-06-01,La Segunda,821984.0,966550.0,695.0,Chapa
2025-07-01,Grupo Cesvi,577642.0,666559.0,450.0,Chapa
2025-07-01,Grupo Sls,763000.0,880448.0,594.0,Chapa
2025-07-01,La Segunda,800265.0,923450.0,623.0,Chapa
2025-08-01,Grupo Cesvi,587797.0,665787.0,442.0,Chapa
2025-08-01,Grupo Sls,766938.0,868698.0,577.0,Chapa
2025-08-01,La Segunda,805100.0,911923.0,605.0,Chapa
2025-09-01,Grupo Cesvi,603008.0,669126.0,428.0,Chapa
2025-09-01,Grupo Sls,801655.0,889554.0,569.0,Chapa
2025-09-01,La Segunda,846586.0,939412.0,601.0,Chapa
2025-10-01,Grupo Cesvi,624638.0,677266.0,427.0,Chapa
2025-10-01,Grupo Sls,826190.0,895800.0,564.0,Chapa
2025-10-01,La Segunda,846192.0,917488.0,578.0,Chapa
2025-11-01,Grupo Cesvi,644774.0,682228.0,451.0,Chapa
2025-11-01,Grupo Sls,843572.0,892574.0,591.0,Chapa
2025-11-01,La Segunda,879222.0,930295.0,616.0,Chapa
2025-12-01,Grupo Cesvi,653950.0,672794.0,451.0,Chapa
2025-12-01,Grupo Sls,871455.0,896567.0,602.0,Chapa
2025-12-01,La Segunda,921163.0,947707.0,636.0,Chapa
2026-01-01,Grupo Cesvi,673405.0,673405.0,464.0,Chapa
2026-01-01,Grupo Sls,892483.0,892483.0,616.0,Chapa
2026-01-01,La Segunda,955432.0,955432.0,659.0,Chapa
2022-07-01,Grupo Cesvi,15058.0,184094.0,52.0,Pintura
2022-07-01,Grupo Sls,16129.0,197191.0,56.0,Pintura
2022-07-01,La Segunda,17893.0,218758.0,62.0,Pintura
2022-08-01,Grupo Cesvi,15278.0,174607.0,52.0,Pintura
2022-08-01,Grupo Sls,16553.0,189179.0,57.0,Pintura
2022-08-01,La Segunda,18237.0,208432.0,63.0,Pintura
2022-09-01,Grupo Cesvi,15735.0,169395.0,56.0,Pintura
2022-09-01,Grupo Sls,16937.0,182335.0,60.0,Pintura
2022-09-01,La Segunda,18627.0,200527.0,66.0,Pintura
2022-10-01,Grupo Cesvi,16474.0,166758.0,57.0,Pintura
2022-10-01,Grupo Sls,17692.0,179090.0,61.0,Pintura
2022-10-01,La Segunda,19519.0,197587.0,68.0,Pintura
2022-11-01,Grupo Cesvi,17206.0,166009.0,57.0,Pintura
2022-11-01,Grupo Sls,18619.0,179645.0,62.0,Pintura
