año_mes,tva,tipo_costo,valor_costo,ipc,ipc_empalme_ipim,valor_ipc,usd_blue,valor_usd,var_costo,var_ipc,var_costo_usd
2023-01-01,auto_cleas_si,cm_hs_chapa,2759,8.41,1202,23213,366,7.54,,,
2023-02-01,auto_cleas_si,cm_hs_chapa,3034,7.89,1282,23940,375,8.09,0.1,0.07,0.07
2023-03-01,auto_cleas_si,cm_hs_chapa,3136,7.33,1381,22981,380,8.25,0.03,0.08,0.02
2023-04-01,auto_cleas_si,cm_hs_chapa,3329,6.76,1497,22504,419,7.94,0.06,0.08,-0.04
2023-05-01,auto_cleas_si,cm_hs_chapa,3602,6.27,1613,22593,477,7.55,0.08,0.08,-0.05
2023-06-01,auto_cleas_si,cm_hs_chapa,3944,5.92,1709,23349,487,8.1,0.09,0.06,0.07
2023-07-01,auto_cleas_si,cm_hs_chapa,4319,5.57,1818,24044,516,8.37,0.1,0.06,0.03
2023-08-01,auto_cleas_si,cm_hs_chapa,4802,4.95,2044,23774,646,7.43,0.11,0.12,-0.11
2023-09-01,auto_cleas_si,cm_hs_chapa,5254,4.39,2304,23071,733,7.17,0.09,0.13,-0.03
2023-10-01,auto_cleas_si,cm_hs_chapa,5717,4.05,2496,23180,912,6.27,0.09,0.08,-0.13
2023-11-01,auto_cleas_si,cm_hs_chapa,6366,3.59,2816,22880,931,6.84,0.11,0.13,0.09
2023-12-01,auto_cleas_si,cm_hs_chapa,7112,2.86,3533,20373,965,7.37,0.12,0.25,0.08
2024-01-01,auto_cleas_si,cm_hs_chapa,7979,2.38,4261,18950,1141,6.99,0.12,0.21,-0.05
2024-02-01,auto_cleas_si,cm_hs_chapa,8936,2.1,4825,18741,1081,8.27,0.12,0.13,0.18
2024-03-01,auto_cleas_si,cm_hs_chapa,9992,1.89,5357,18878,1001,9.98,0.12,0.11,0.21
2024-04-01,auto_cleas_si,cm_hs_chapa,11771,1.74,5830,20434,1004,11.72,0.18,0.09,0.17
2024-05-01,auto_cleas_si,cm_hs_chapa,12627,1.67,6073,21041,1119,11.28,0.07,0.04,-0.04
2024-06-01,auto_cleas_si,cm_hs_chapa,13780,1.59,6351,21958,1278,10.78,0.09,0.05,-0.04
2024-07-01,auto_cleas_si,cm_hs_chapa,14524,1.53,6607,22247,1416,10.26,0.05,0.04,-0.05
2024-08-01,auto_cleas_si,cm_hs_chapa,15469,1.47,6883,22745,1340,11.54,0.07,0.04,0.12
2024-09-01,auto_cleas_si,cm_hs_chapa,16503,1.42,7122,23452,1243,13.28,0.07,0.03,0.15
2024-10-01,auto_cleas_si,cm_hs_chapa,17127,1.38,7313,23701,1201,14.26,0.04,0.03,0.07
2024-11-01,auto_cleas_si,cm_hs_chapa,18257,1.35,7491,24666,1124,16.24,0.07,0.02,0.14
2024-12-01,auto_cleas_si,cm_hs_chapa,18399,1.32,7694,24203,1105,16.65,0.01,0.03,0.03
2025-01-01,auto_cleas_si,cm_hs_chapa,19580,1.29,7864,25200,1216,16.1,0.06,0.02,-0.03
2025-02-01,auto_cleas_si,cm_hs_chapa,19736,1.26,8052,24805,1212,16.28,0.01,0.02,0.01
2025-03-01,auto_cleas_si,cm_hs_chapa,20683,1.21,8353,25060,1251,16.53,0.05,0.04,0.02
2025-04-01,auto_cleas_si,cm_hs_chapa,21976,1.18,8585,25906,1263,17.4,0.06,0.03,0.05
2025-05-01,auto_cleas_si,cm_hs_chapa,22921,1.16,8714,26621,1162,19.73,0.04,0.02,0.13
2025-06-01,auto_cleas_si,cm_hs_chapa,23861,1.14,8855,27271,1181,20.2,0.04,0.02,0.02
2025-07-01,auto_cleas_si,cm_hs_chapa,24489,1.12,9023,27467,1282,19.1,0.03,0.02,-0.05
2025-08-01,auto_cleas_si,cm_hs_chapa,25406,1.1,9193,27970,1329,19.12,0.04,0.02,0.0
2025-09-01,auto_cleas_si,cm_hs_chapa,26143,1.08,9384,28196,1406,18.593662873399715,0.02899669369440283,0.02,-0.03
2025-10-01,auto_cleas_si,cm_hs_chapa,26427,1.05,9603,27851,1462,18.07620383036936,0.010890998592723244,0.02,-0.03
2025-11-01,auto_cleas_si,cm_hs_chapa,26883,1.03,9841,27648,1426,18.842964316260698,0.01724421727289971,0.02,0.04
2025-12-01,auto_cleas_si,cm_hs_chapa,28243,1.0,10121,28242,1446,19.52049614129877,0.05057335213570746,0.03,0.04
2023-01-01,auto_cleas_no,cm_hs_chapa,2899,8.41,1202,24390,366,7.92,,,
2023-02-01,auto_cleas_no,cm_hs_chapa,2993,7.89,1282,23616,375,7.98,0.03,0.07,0.01
2023-03-01,auto_cleas_no,cm_hs_chapa,3209,7.33,1381,23516,380,8.45,0.07,0.08,0.06
2023-04-01,auto_cleas_no,cm_hs_chapa,3373,6.76,1497,22801,419,8.05,0.05,0.08,-0.05
2023-05-01,auto_cleas_no,cm_hs_chapa,3580,6.27,1613,22455,477,7.51,0.06,0.08,-0.07
