año_mes,tva,tipo_costo,valor_costo,ipc,ipc_empalme_ipim,valor_ipc,usd_blue,valor_usd,var_costo,var_ipc,var_costo_usd
2023-01-01,auto_cleas_si,cm_hs_chapa,2759,8.91,1202,24573,366,7.54,,,
2023-02-01,auto_cleas_si,cm_hs_chapa,3034,8.35,1282,25343,375,8.09,0.09967379485,0.03132072746,0.07328162378
2023-03-01,auto_cleas_si,cm_hs_chapa,3136,7.76,1381,24328,380,8.25,0.03361898484,-0.04005880431,0.02001873504
2023-04-01,auto_cleas_si,cm_hs_chapa,3329,7.16,1497,23823,419,7.95,0.06154336735,-0.02074075066,-0.03726377186
2023-05-01,auto_cleas_si,cm_hs_chapa,3602,6.64,1613,23918,477,7.55,0.08200660859,0.003970464562,-0.04955813627
2023-06-01,auto_cleas_si,cm_hs_chapa,3944,6.27,1709,24718,487,8.1,0.09494725153,0.03344846953,0.07246373507
2023-07-01,auto_cleas_si,cm_hs_chapa,4319,5.89,1818,25453,516,8.37,0.0950811359,0.02974533041,0.03353587826
2023-08-01,auto_cleas_si,cm_hs_chapa,4802,5.24,2044,25168,646,7.43,0.1118314425,-0.01119241515,-0.1119117271
2023-09-01,auto_cleas_si,cm_hs_chapa,5254,4.65,2304,24423,733,7.17,0.0941274469,-0.029596566,-0.03573488309
2023-10-01,auto_cleas_si,cm_hs_chapa,5717,4.29,2496,24538,912,6.27,0.0881233346,0.004714550969,-0.1254447322
2023-11-01,auto_cleas_si,cm_hs_chapa,6366,3.8,2816,24221,931,6.84,0.1135210775,-0.01292946987,0.09079615754
2023-12-01,auto_cleas_si,cm_hs_chapa,7112,3.03,3533,21567,965,7.37,0.1171850456,-0.1095691745,0.0778230854
2024-01-01,auto_cleas_si,cm_hs_chapa,7979,2.51,4261,20061,1141,6.99,0.1219066367,-0.06983887336,-0.05114819949
2024-02-01,auto_cleas_si,cm_hs_chapa,8936,2.22,4825,19840,1081,8.27,0.1199398421,-0.01100922293,0.1821011654
2024-03-01,auto_cleas_si,cm_hs_chapa,9992,2.0,5357,19984,1001,9.98,0.1181736795,0.007275650467,0.2075382093
2024-04-01,auto_cleas_si,cm_hs_chapa,11771,1.84,5830,21632,1004,11.72,0.1780424339,0.08244201315,0.1745223868
2024-05-01,auto_cleas_si,cm_hs_chapa,12627,1.76,6073,22275,1119,11.28,0.07272109421,0.02971674658,-0.03752280734
2024-06-01,auto_cleas_si,cm_hs_chapa,13780,1.69,6351,23245,1278,10.78,0.09131226736,0.04354837193,-0.04446132459
2024-07-01,auto_cleas_si,cm_hs_chapa,14524,1.62,6607,23551,1416,10.26,0.05399129173,0.01315181377,-0.04872819857
2024-08-01,auto_cleas_si,cm_hs_chapa,15469,1.56,6883,24078,1340,11.54,0.06506472046,0.02240710207,0.1254713763
2024-09-01,auto_cleas_si,cm_hs_chapa,16503,1.5,7122,24826,1243,13.28,0.06684336415,0.03107328606,0.1500966275
2024-10-01,auto_cleas_si,cm_hs_chapa,17127,1.46,7313,25090,1201,14.26,0.03781130704,0.01060837702,0.07410445849
2024-11-01,auto_cleas_si,cm_hs_chapa,18257,1.43,7491,26112,1124,16.24,0.06597769604,0.0407239458,0.1390028585
2024-12-01,auto_cleas_si,cm_hs_chapa,18399,1.39,7694,25622,1105,16.65,0.007777838637,-0.01875601918,0.02510614536
2025-01-01,auto_cleas_si,cm_hs_chapa,19580,1.36,7864,26677,1216,16.1,0.0641882711,0.04116755592,-0.03295391483
2025-02-01,auto_cleas_si,cm_hs_chapa,19736,1.33,8052,26259,1212,16.28,0.007967313585,-0.01567256413,0.01129393838
2025-03-01,auto_cleas_si,cm_hs_chapa,20683,1.28,8353,26529,1251,16.53,0.04798338062,0.01030569372,0.0153124359
2025-04-01,auto_cleas_si,cm_hs_chapa,21976,1.25,8585,27425,1263,17.4,0.06251510903,0.03376772583,0.0524199536
2025-05-01,auto_cleas_si,cm_hs_chapa,22921,1.23,8714,28181,1162,19.73,0.04300145613,0.02757641821,0.1336582092
2025-06-01,auto_cleas_si,cm_hs_chapa,23861,1.21,8855,28870,1181,20.2,0.04101042712,0.02442574338,0.0242625879
2025-07-01,auto_cleas_si,cm_hs_chapa,24489,1.19,9023,29077,1282,19.1,0.02631909811,0.007165986655,-0.05453755471
2025-08-01,auto_cleas_si,cm_hs_chapa,25406,1.17,9193,29610,1329,19.12,0.03744538364,0.01834336429,0.0007561940019
