año_mes,tva,tipo_costo,valor_costo,ipc,ipc_empalme_ipim,valor_ipc,usd_blue,valor_usd,var_costo,var_ipc,var_costo_usd
2023-01-01,auto_cleas_si,cm_hs_chapa,2759,7.98,1202,22022,366,7.54,,,
2023-02-01,auto_cleas_si,cm_hs_chapa,3034,7.49,1282,22715,375,8.09,0.1,0.07,0.07294429708222805
2023-03-01,auto_cleas_si,cm_hs_chapa,3136,6.95,1381,21802,380,8.25,0.03,0.08,0.01977750309023496
2023-04-01,auto_cleas_si,cm_hs_chapa,3329,6.41,1497,21353,419,7.94,0.06,0.08,-0.037575757575757485
2023-05-01,auto_cleas_si,cm_hs_chapa,3602,5.95,1613,21440,477,7.55,0.08,0.08,-0.049118387909319994
2023-06-01,auto_cleas_si,cm_hs_chapa,3944,5.62,1709,22153,487,8.1,0.09,0.06,0.07284768211920523
2023-07-01,auto_cleas_si,cm_hs_chapa,4319,5.28,1818,22816,516,8.37,0.1,0.06,0.033333333333333215
2023-08-01,auto_cleas_si,cm_hs_chapa,4802,4.7,2044,22561,646,7.43,0.11,0.12,-0.1123058542413381
2023-09-01,auto_cleas_si,cm_hs_chapa,5254,4.17,2304,21892,733,7.17,0.09,0.13,-0.03499327052489898
2023-10-01,auto_cleas_si,cm_hs_chapa,5717,3.85,2496,21995,912,6.27,0.09,0.08,-0.12552301255230136
2023-11-01,auto_cleas_si,cm_hs_chapa,6366,3.41,2816,21709,931,6.84,0.11,0.13,0.09090909090909105
2023-12-01,auto_cleas_si,cm_hs_chapa,7112,2.72,3533,19331,965,7.37,0.12,0.25,0.07748538011695905
2024-01-01,auto_cleas_si,cm_hs_chapa,7979,2.25,4261,17982,1141,6.99,0.12,0.21,-0.05156037991858886
2024-02-01,auto_cleas_si,cm_hs_chapa,8936,1.99,4825,17783,1081,8.27,0.12,0.13,0.18311874105865522
2024-03-01,auto_cleas_si,cm_hs_chapa,9992,1.79,5357,17912,1001,9.98,0.12,0.11,0.20677146311970995
2024-04-01,auto_cleas_si,cm_hs_chapa,11771,1.65,5830,19390,1004,11.72,0.18,0.09,0.17434869739478964
2024-05-01,auto_cleas_si,cm_hs_chapa,12627,1.58,6073,19966,1119,11.28,0.07,0.04,-0.03754266211604107
2024-06-01,auto_cleas_si,cm_hs_chapa,13780,1.51,6351,20835,1278,10.78,0.09,0.05,-0.04432624113475181
2024-07-01,auto_cleas_si,cm_hs_chapa,14524,1.45,6607,21110,1416,10.26,0.05,0.04,-0.04823747680890533
2024-08-01,auto_cleas_si,cm_hs_chapa,15469,1.4,6883,21583,1340,11.54,0.07,0.04,0.12475633528265107
2024-09-01,auto_cleas_si,cm_hs_chapa,16503,1.35,7122,22253,1243,13.28,0.07,0.03,0.15077989601386488
2024-10-01,auto_cleas_si,cm_hs_chapa,17127,1.31,7313,22489,1201,14.26,0.04,0.03,0.0737951807228916
2024-11-01,auto_cleas_si,cm_hs_chapa,18257,1.28,7491,23404,1124,16.24,0.07,0.02,0.13884992987377265
2024-12-01,auto_cleas_si,cm_hs_chapa,18399,1.25,7694,22966,1105,16.65,0.01,0.03,0.025246305418719306
2025-01-01,auto_cleas_si,cm_hs_chapa,19580,1.22,7864,23911,1216,16.1,0.06,0.02,-0.033033033033032844
2025-02-01,auto_cleas_si,cm_hs_chapa,19736,1.19,8052,23536,1212,16.28,0.01,0.02,0.011180124223602483
2025-03-01,auto_cleas_si,cm_hs_chapa,20683,1.15,8353,23779,1251,16.53,0.05,0.04,0.01535626535626533
2025-04-01,auto_cleas_si,cm_hs_chapa,21976,1.12,8585,24582,1263,17.4,0.06,0.03,0.05263157894736836
2025-05-01,auto_cleas_si,cm_hs_chapa,22921,1.1,8714,25260,1162,19.73,0.04,0.02,0.13390804597701167
2025-06-01,auto_cleas_si,cm_hs_chapa,23861,1.08,8855,25876,1181,20.2,0.04,0.02,0.023821591485048144
2025-07-01,auto_cleas_si,cm_hs_chapa,24489,1.06,9023,26062,1282,19.1,0.03,0.02,-0.05445544554455439
2025-08-01,auto_cleas_si,cm_hs_chapa,25406,1.04,9193,26540,1329,19.12,0.04,0.02,0.0010471204188482464
2025-09-01,auto_cleas_si,cm_hs_chapa,26212,1.02,9384,26825,1406,18.64,0.03,0.02,-0.025104602510460317
2025-10-01,auto_cleas_si,cm_hs_chapa,26486,1.0,9603,26486,1462,18.11,0.01,0.02,-0.028433476394849833
2023-01-01,auto_cleas_no,cm_hs_chapa,2899,7.98,1202,23140,366,7.92,,,
2023-02-01,auto_cleas_no,cm_hs_chapa,2993,7.49,1282,22411,375,7.98,0.03,0.07,0.007575757575757569
2023-03-01,auto_cleas_no,cm_hs_chapa,3209,6.95,1381,22316,380,8.45,0.07,0.08,0.058897243107769226
2023-04-01,auto_cleas_no,cm_hs_chapa,3373,6.41,1497,21636,419,8.05,0.05,0.08,-0.04733727810650867
2023-05-01,auto_cleas_no,cm_hs_chapa,3580,5.95,1613,21307,477,7.51,0.06,0.08,-0.06708074534161501
2023-06-01,auto_cleas_no,cm_hs_chapa,3782,5.62,1709,21247,487,7.77,0.06,0.06,0.03462050599201061
2023-07-01,auto_cleas_no,cm_hs_chapa,4144,5.28,1818,21890,516,8.03,0.1,0.06,0.03346203346203347
2023-08-01,auto_cleas_no,cm_hs_chapa,4381,4.7,2044,20579,646,6.78,0.06,0.12,-0.15566625155666247
2023-09-01,auto_cleas_no,cm_hs_chapa,4844,4.17,2304,20182,733,6.61,0.11,0.13,-0.02507374631268433
2023-10-01,auto_cleas_no,cm_hs_chapa,5181,3.85,2496,19932,912,5.68,0.07,0.08,-0.140695915279879
2023-11-01,auto_cleas_no,cm_hs_chapa,5761,3.41,2816,19648,931,6.19,0.11,0.13,0.08978873239436624
2023-12-01,auto_cleas_no,cm_hs_chapa,6595,2.72,3533,17925,965,6.83,0.14,0.25,0.10339256865912749
2024-01-01,auto_cleas_no,cm_hs_chapa,8199,2.25,4261,18477,1141,7.19,0.24,0.21,0.05270863836017581
2024-02-01,auto_cleas_no,cm_hs_chapa,9621,1.99,4825,19146,1081,8.9,0.17,0.13,0.23783031988873438
2024-03-01,auto_cleas_no,cm_hs_chapa,10487,1.79,5357,18800,1001,10.48,0.09,0.11,0.17752808988764035
2024-04-01,auto_cleas_no,cm_hs_chapa,10712,1.65,5830,17645,1004,10.67,0.02,0.09,0.018129770992366456
2024-05-01,auto_cleas_no,cm_hs_chapa,12687,1.58,6073,20060,1119,11.34,0.18,0.04,0.06279287722586702
2024-06-01,auto_cleas_no,cm_hs_chapa,12027,1.51,6351,18184,1278,9.41,-0.05,0.05,-0.17019400352733682
2024-07-01,auto_cleas_no,cm_hs_chapa,15195,1.45,6607,22084,1416,10.73,0.26,0.04,0.14027630180658868
2024-08-01,auto_cleas_no,cm_hs_chapa,16415,1.4,6883,22901,1340,12.25,0.08,0.04,0.14165890027958983
2024-09-01,auto_cleas_no,cm_hs_chapa,16943,1.35,7122,22845,1243,13.63,0.03,0.03,0.11265306122448981
2024-10-01,auto_cleas_no,cm_hs_chapa,17687,1.31,7313,23224,1201,14.73,0.04,0.03,0.0807043286867204
2024-11-01,auto_cleas_no,cm_hs_chapa,18732,1.28,7491,24013,1124,16.67,0.06,0.02,0.13170400543109317
2024-12-01,auto_cleas_no,cm_hs_chapa,19097,1.25,7694,23837,1105,17.28,0.02,0.03,0.0365926814637072
2025-01-01,auto_cleas_no,cm_hs_chapa,20183,1.22,7864,24648,1216,16.6,0.06,0.02,-0.03935185185185186
2025-02-01,auto_cleas_no,cm_hs_chapa,19043,1.19,8052,22710,1212,15.71,-0.06,0.02,-0.053614457831325346
2025-03-01,auto_cleas_no,cm_hs_chapa,22709,1.15,8353,26108,1251,18.15,0.19,0.04,0.15531508593252696
2025-04-01,auto_cleas_no,cm_hs_chapa,22055,1.12,8585,24670,1263,17.46,-0.03,0.03,-0.038016528925619686
2025-05-01,auto_cleas_no,cm_hs_chapa,22743,1.1,8714,25064,1162,19.57,0.03,0.02,0.12084765177548684
2025-06-01,auto_cleas_no,cm_hs_chapa,23474,1.08,8855,25458,1181,19.88,0.03,0.02,0.015840572304547607
2025-07-01,auto_cleas_no,cm_hs_chapa,24566,1.06,9023,26144,1282,19.16,0.05,0.02,-0.03621730382293753
2025-08-01,auto_cleas_no,cm_hs_chapa,25532,1.04,9193,26672,1329,19.21,0.04,0.02,0.0026096033402922547
2025-09-01,auto_cleas_no,cm_hs_chapa,25767,1.02,9384,26370,1406,18.33,0.01,0.02,-0.045809474232170855
2025-10-01,auto_cleas_no,cm_hs_chapa,26562,1.0,9603,26562,1462,18.16,0.03,0.02,-0.009274413529732572
2023-01-01,camion_cleas_si,cm_hs_chapa,2223,7.98,1202,17749,366,6.07,,,
2023-02-01,camion_cleas_si,cm_hs_chapa,,7.49,1282,0,375,0.0,0.0,0.07,-1.0
2023-03-01,camion_cleas_si,cm_hs_chapa,2296,6.95,1381,15965,380,6.04,0.03,0.08,inf
2023-04-01,camion_cleas_si,cm_hs_chapa,2632,6.41,1497,16882,419,6.28,0.15,0.08,0.039735099337748325
2023-05-01,camion_cleas_si,cm_hs_chapa,1,5.95,1613,5,477,0.0,-1.0,0.08,-1.0
2023-06-01,camion_cleas_si,cm_hs_chapa,5717,5.62,1709,32114,487,11.74,5716.0,0.06,inf
2023-07-01,camion_cleas_si,cm_hs_chapa,6000,5.28,1818,31694,516,11.63,0.05,0.06,-0.009369676320272524
2023-08-01,camion_cleas_si,cm_hs_chapa,3500,4.7,2044,16442,646,5.42,-0.42,0.12,-0.5339638865004299
2023-09-01,camion_cleas_si,cm_hs_chapa,3477,4.17,2304,14486,733,4.74,-0.01,0.13,-0.1254612546125461
2023-10-01,camion_cleas_si,cm_hs_chapa,6977,3.85,2496,26842,912,7.65,1.01,0.08,0.6139240506329113
2023-11-01,camion_cleas_si,cm_hs_chapa,1169,3.41,2816,3985,931,1.26,-0.83,0.13,-0.8352941176470589
2023-12-01,camion_cleas_si,cm_hs_chapa,,2.72,3533,0,965,0.0,0.0,0.25,-1.0
2024-01-01,camion_cleas_si,cm_hs_chapa,,2.25,4261,0,1141,0.0,0.0,0.21,
2024-02-01,camion_cleas_si,cm_hs_chapa,0,1.99,4825,0,1081,0.0,-1.0,0.13,
2024-03-01,camion_cleas_si,cm_hs_chapa,12000,1.79,5357,21512,1001,11.99,inf,0.11,inf
2024-04-01,camion_cleas_si,cm_hs_chapa,6609,1.65,5830,10886,1004,6.58,-0.45,0.09,-0.45120934111759803
2024-05-01,camion_cleas_si,cm_hs_chapa,11863,1.58,6073,18758,1119,10.6,0.79,0.04,0.6109422492401215
2024-06-01,camion_cleas_si,cm_hs_chapa,,1.51,6351,0,1278,0.0,0.0,0.05,-1.0
2024-07-01,camion_cleas_si,cm_hs_chapa,16464,1.45,6607,23929,1416,11.63,0.39,0.04,inf
2024-08-01,camion_cleas_si,cm_hs_chapa,55000,1.4,6883,76736,1340,41.04,2.34,0.04,2.5288048151332756
2024-09-01,camion_cleas_si,cm_hs_chapa,7647,1.35,7122,10311,1243,6.15,-0.86,0.03,-0.8501461988304093
2024-10-01,camion_cleas_si,cm_hs_chapa,21385,1.31,7313,28080,1201,17.81,1.8,0.03,1.895934959349593
2024-11-01,camion_cleas_si,cm_hs_chapa,19268,1.28,7491,24700,1124,17.14,-0.1,0.02,-0.03761931499157767
2024-12-01,camion_cleas_si,cm_hs_chapa,17669,1.25,7694,22055,1105,15.99,-0.08,0.03,-0.06709451575262548
2025-01-01,camion_cleas_si,cm_hs_chapa,17844,1.22,7864,21791,1216,14.67,0.01,0.02,-0.0825515947467167
