año_mes,tva,tipo_costo,valor_costo_hist,var_costo_hist,ipc,valor_costo_ipc,usd_blue,valor_costo_usd,var_costo_usd,ipc_empalme_ipim,var_ipc
2023-01-01,auto,cm_hs_chapa,2883,,8.41,24256,366,7.87,,1202,
2023-02-01,auto,cm_hs_chapa,2997,0.04,7.89,23648,375,7.97,0.01,1282,0.07
2023-03-01,auto,cm_hs_chapa,3201,0.07,7.33,23457,380,8.42,0.06,1381,0.08
2023-04-01,auto,cm_hs_chapa,3368,0.05,6.76,22768,419,8.02,-0.05,1497,0.08
2023-05-01,auto,cm_hs_chapa,3582,0.06,6.27,22468,477,7.5,-0.07,1613,0.08
2023-06-01,auto,cm_hs_chapa,3800,0.06,5.92,22497,487,7.79,0.04,1709,0.06
2023-07-01,auto,cm_hs_chapa,4163,0.1,5.57,23175,516,8.06,0.03,1818,0.06
2023-08-01,auto,cm_hs_chapa,4428,0.06,4.95,21923,646,6.84,-0.15,2044,0.12
2023-09-01,auto,cm_hs_chapa,4880,0.1,4.39,21429,733,6.65,-0.03,2304,0.13
2023-10-01,auto,cm_hs_chapa,5234,0.07,4.05,21221,912,5.73,-0.14,2496,0.08
2023-11-01,auto,cm_hs_chapa,5822,0.11,3.59,20925,931,6.25,0.09,2816,0.13
2023-12-01,auto,cm_hs_chapa,6647,0.14,2.86,19041,965,6.88,0.1,3533,0.25
2024-01-01,auto,cm_hs_chapa,8178,0.23,2.38,19423,1141,7.16,0.04,4261,0.21
2024-02-01,auto,cm_hs_chapa,9552,0.17,2.1,20033,1081,8.83,0.23,4825,0.13
2024-03-01,auto,cm_hs_chapa,10439,0.09,1.89,19722,1001,10.42,0.18,5357,0.11
2024-04-01,auto,cm_hs_chapa,10808,0.04,1.74,18762,1004,10.76,0.03,5830,0.09
2024-05-01,auto,cm_hs_chapa,12680,0.17,1.67,21130,1119,11.33,0.05,6073,0.04
2024-06-01,auto,cm_hs_chapa,12201,-0.04,1.59,19442,1278,9.54,-0.16,6351,0.05
2024-07-01,auto,cm_hs_chapa,15120,0.24,1.53,23159,1416,10.68,0.12,6607,0.04
2024-08-01,auto,cm_hs_chapa,16309,0.08,1.47,23980,1340,12.16,0.14,6883,0.04
2024-09-01,auto,cm_hs_chapa,16890,0.04,1.42,24002,1243,13.59,0.12,7122,0.03
2024-10-01,auto,cm_hs_chapa,17622,0.04,1.38,24386,1201,14.67,0.08,7313,0.03
2024-11-01,auto,cm_hs_chapa,18674,0.06,1.35,25229,1124,16.61,0.13,7491,0.02
2024-12-01,auto,cm_hs_chapa,19017,0.02,1.32,25016,1105,17.21,0.04,7694,0.03
2025-01-01,auto,cm_hs_chapa,20136,0.06,1.29,25915,1216,16.55,-0.04,7864,0.02
2025-02-01,auto,cm_hs_chapa,19054,-0.05,1.26,23947,1212,15.71,-0.05,8052,0.02
2025-03-01,auto,cm_hs_chapa,22571,0.18,1.21,27348,1251,18.03,0.15,8353,0.04
2025-04-01,auto,cm_hs_chapa,22138,-0.02,1.18,26097,1263,17.52,-0.03,8585,0.03
2025-05-01,auto,cm_hs_chapa,22794,0.03,1.16,26473,1162,19.61,0.12,8714,0.02
2025-06-01,auto,cm_hs_chapa,23618,0.04,1.14,26993,1181,19.98,0.02,8855,0.02
2025-07-01,auto,cm_hs_chapa,24603,0.04,1.12,27594,1282,19.18,-0.04,9023,0.02
2025-08-01,auto,cm_hs_chapa,25511,0.04,1.1,28086,1329,19.2,0.0,9193,0.02
