año_mes,tva,tipo_costo,valor_costo
2023-01-01,auto,cm_hs_chapa,2883.44
2023-02-01,auto,cm_hs_chapa,2997.75
2023-03-01,auto,cm_hs_chapa,3201.06
2023-04-01,auto,cm_hs_chapa,3368.59
2023-05-01,auto,cm_hs_chapa,3582.44
2023-06-01,auto,cm_hs_chapa,3800.62
2023-07-01,auto,cm_hs_chapa,4163.5
2023-08-01,auto,cm_hs_chapa,4428.08
2023-09-01,auto,cm_hs_chapa,4880.33
2023-10-01,auto,cm_hs_chapa,5234.6
2023-11-01,auto,cm_hs_chapa,5822.69
2023-12-01,auto,cm_hs_chapa,6647.62
2024-01-01,auto,cm_hs_chapa,8178.68
2024-02-01,auto,cm_hs_chapa,9552.01
2024-03-01,auto,cm_hs_chapa,10439.86
2024-04-01,auto,cm_hs_chapa,10808.61
2024-05-01,auto,cm_hs_chapa,12680.8
2024-06-01,auto,cm_hs_chapa,12201.31
2024-07-01,auto,cm_hs_chapa,15120.12
2024-08-01,auto,cm_hs_chapa,16309.25
2024-09-01,auto,cm_hs_chapa,16890.04
2024-10-01,auto,cm_hs_chapa,17622.28
2024-11-01,auto,cm_hs_chapa,18674.13
2024-12-01,auto,cm_hs_chapa,19017.67
2025-01-01,auto,cm_hs_chapa,20120.1
2025-02-01,auto,cm_hs_chapa,19058.23
2025-03-01,auto,cm_hs_chapa,22507.46
2025-04-01,auto,cm_hs_chapa,22048.11
2025-05-01,auto,cm_hs_chapa,22757.97
2025-06-01,auto,cm_hs_chapa,23510.95
2025-07-01,auto,cm_hs_chapa,24558.4
2023-01-01,camion,cm_hs_chapa,6394.75
2023-02-01,camion,cm_hs_chapa,5688.85
2023-03-01,camion,cm_hs_chapa,5834.19
2023-04-01,camion,cm_hs_chapa,8074.16
2023-05-01,camion,cm_hs_chapa,7482.52
2023-06-01,camion,cm_hs_chapa,7290.22
2023-07-01,camion,cm_hs_chapa,8368.56
2023-08-01,camion,cm_hs_chapa,9615.32
2023-09-01,camion,cm_hs_chapa,9980.46
2023-10-01,camion,cm_hs_chapa,10810.06
2023-11-01,camion,cm_hs_chapa,13853.4
2023-12-01,camion,cm_hs_chapa,16387.26
2024-01-01,camion,cm_hs_chapa,17962.67
2024-02-01,camion,cm_hs_chapa,28789.57
2024-03-01,camion,cm_hs_chapa,23903.9
2024-04-01,camion,cm_hs_chapa,21417.04
2024-05-01,camion,cm_hs_chapa,28126.74
