año_mes,tva,tipo_costo,valor_costo
2023-01-01,auto,cm_hs_chapa_ipc,21629.70817
2023-02-01,auto,cm_hs_chapa_ipc,21089.4388
2023-03-01,auto,cm_hs_chapa_ipc,20914.50442
2023-04-01,auto,cm_hs_chapa_ipc,20303.07691
2023-05-01,auto,cm_hs_chapa_ipc,20034.73736
2023-06-01,auto,cm_hs_chapa_ipc,20061.10292
2023-07-01,auto,cm_hs_chapa_ipc,20665.33544
2023-08-01,auto,cm_hs_chapa_ipc,19546.64323
2023-09-01,auto,cm_hs_chapa_ipc,19106.90432
2023-10-01,auto,cm_hs_chapa_ipc,18922.96598
2023-11-01,auto,cm_hs_chapa_ipc,18658.60284
2023-12-01,auto,cm_hs_chapa_ipc,16978.398
2024-01-01,auto,cm_hs_chapa_ipc,17318.69679
2024-02-01,auto,cm_hs_chapa_ipc,17861.76238
2024-03-01,auto,cm_hs_chapa_ipc,17585.84675
2024-04-01,auto,cm_hs_chapa_ipc,16729.46922
2024-05-01,auto,cm_hs_chapa_ipc,18840.39152
2024-06-01,auto,cm_hs_chapa_ipc,17334.57825
2024-07-01,auto,cm_hs_chapa_ipc,20649.02546
2024-08-01,auto,cm_hs_chapa_ipc,21380.90925
2024-09-01,auto,cm_hs_chapa_ipc,21399.89947
2024-10-01,auto,cm_hs_chapa_ipc,21742.40836
2024-11-01,auto,cm_hs_chapa_ipc,22494.34533
2024-12-01,auto,cm_hs_chapa_ipc,22305.01343
2025-01-01,auto,cm_hs_chapa_ipc,23087.53014
2025-02-01,auto,cm_hs_chapa_ipc,21356.15409
2025-03-01,auto,cm_hs_chapa_ipc,24314.50171
2025-04-01,auto,cm_hs_chapa_ipc,23173.84558
2025-05-01,auto,cm_hs_chapa_ipc,23566.19552
2025-06-01,auto,cm_hs_chapa_ipc,23958.05392
2025-07-01,auto,cm_hs_chapa_ipc,24558.4
2023-01-01,camion,cm_hs_chapa_ipc,47969.29235
2023-02-01,camion,cm_hs_chapa_ipc,40021.56748
2023-03-01,camion,cm_hs_chapa_ipc,38118.37095
2023-04-01,camion,cm_hs_chapa_ipc,48664.36446
2023-05-01,camion,cm_hs_chapa_ipc,41845.87124
2023-06-01,camion,cm_hs_chapa_ipc,38480.52522
2023-07-01,camion,cm_hs_chapa_ipc,41536.95198
