año_mes,tva,tipo_costo,valor_costo
2023-01-01,auto_cleas_si,cm_hs_chapa_ipc,20693.16395
2023-02-01,auto_cleas_si,cm_hs_chapa_ipc,21344.03868
2023-03-01,auto_cleas_si,cm_hs_chapa_ipc,20486.22573
2023-04-01,auto_cleas_si,cm_hs_chapa_ipc,20063.91866
2023-05-01,auto_cleas_si,cm_hs_chapa_ipc,20146.25148
2023-06-01,auto_cleas_si,cm_hs_chapa_ipc,20816.22745
2023-07-01,auto_cleas_si,cm_hs_chapa_ipc,21438.74064
2023-08-01,auto_cleas_si,cm_hs_chapa_ipc,21198.8521
2023-09-01,auto_cleas_si,cm_hs_chapa_ipc,20570.75441
2023-10-01,auto_cleas_si,cm_hs_chapa_ipc,20666.94002
2023-11-01,auto_cleas_si,cm_hs_chapa_ipc,20398.21043
2023-12-01,auto_cleas_si,cm_hs_chapa_ipc,18163.91447
2024-01-01,auto_cleas_si,cm_hs_chapa_ipc,16896.64953
2024-02-01,auto_cleas_si,cm_hs_chapa_ipc,16709.4069
2024-03-01,auto_cleas_si,cm_hs_chapa_ipc,16830.8075
2024-04-01,auto_cleas_si,cm_hs_chapa_ipc,18219.68239
2024-05-01,auto_cleas_si,cm_hs_chapa_ipc,18761.11235
2024-06-01,auto_cleas_si,cm_hs_chapa_ipc,19577.64495
2024-07-01,auto_cleas_si,cm_hs_chapa_ipc,19835.59415
2024-08-01,auto_cleas_si,cm_hs_chapa_ipc,20279.87944
2024-09-01,auto_cleas_si,cm_hs_chapa_ipc,20909.93289
2024-10-01,auto_cleas_si,cm_hs_chapa_ipc,21131.76262
2024-11-01,auto_cleas_si,cm_hs_chapa_ipc,21991.42422
2024-12-01,auto_cleas_si,cm_hs_chapa_ipc,21579.47216
2025-01-01,auto_cleas_si,cm_hs_chapa_ipc,22467.96811
2025-02-01,auto_cleas_si,cm_hs_chapa_ipc,22115.62301
2025-03-01,auto_cleas_si,cm_hs_chapa_ipc,22343.65971
2025-04-01,auto_cleas_si,cm_hs_chapa_ipc,23097.76999
2025-05-01,auto_cleas_si,cm_hs_chapa_ipc,23735.0982
2025-06-01,auto_cleas_si,cm_hs_chapa_ipc,24314.37353
2025-07-01,auto_cleas_si,cm_hs_chapa_ipc,24489.07
2023-01-01,auto_cleas_no,cm_hs_chapa_ipc,21743.57875
