año_mes,tva,tipo_costo,valor_costo_hist,var_costo_hist,ipc,valor_costo_ipc,usd_blue,valor_costo_usd,var_costo_usd,ipc_empalme_ipim,var_ipc
2023-01-01,auto,cm_hs_chapa,2883,,9.21,26546,366,7.88,,1202,
2023-02-01,auto,cm_hs_chapa,2997,0.04,8.64,25881,375,7.99,0.01,1282,0.07
2023-03-01,auto,cm_hs_chapa,3201,0.07,8.02,25672,380,8.42,0.05,1381,0.08
2023-04-01,auto,cm_hs_chapa,3368,0.05,7.4,24917,419,8.04,-0.05,1497,0.08
2023-05-01,auto,cm_hs_chapa,3582,0.06,6.86,24589,477,7.51,-0.07,1613,0.08
2023-06-01,auto,cm_hs_chapa,3800,0.06,6.48,24621,487,7.8,0.04,1709,0.06
2023-07-01,auto,cm_hs_chapa,4163,0.1,6.09,25363,516,8.07,0.03,1818,0.06
2023-08-01,auto,cm_hs_chapa,4428,0.06,5.42,23993,646,6.85,-0.15,2044,0.12
2023-09-01,auto,cm_hs_chapa,4880,0.1,4.81,23452,733,6.66,-0.03,2304,0.13
2023-10-01,auto,cm_hs_chapa,5234,0.07,4.44,23225,912,5.74,-0.14,2496,0.08
2023-11-01,auto,cm_hs_chapa,5822,0.11,3.93,22900,931,6.25,0.09,2816,0.13
2023-12-01,auto,cm_hs_chapa,6647,0.14,3.14,20839,965,6.89,0.1,3533,0.25
2024-01-01,auto,cm_hs_chapa,8178,0.23,2.6,21257,1141,7.17,0.04,4261,0.21
2024-02-01,auto,cm_hs_chapa,9552,0.17,2.3,21925,1081,8.84,0.23,4825,0.13
2024-03-01,auto,cm_hs_chapa,10439,0.09,2.07,21585,1001,10.43,0.18,5357,0.11
2024-04-01,auto,cm_hs_chapa,10808,0.04,1.9,20534,1004,10.76,0.03,5830,0.09
2024-05-01,auto,cm_hs_chapa,12680,0.17,1.82,23125,1119,11.33,0.05,6073,0.04
2024-06-01,auto,cm_hs_chapa,12201,-0.04,1.74,21277,1278,9.55,-0.16,6351,0.05
2024-07-01,auto,cm_hs_chapa,15120,0.24,1.68,25346,1416,10.68,0.12,6607,0.04
2024-08-01,auto,cm_hs_chapa,16309,0.08,1.61,26244,1340,12.17,0.14,6883,0.04
2024-09-01,auto,cm_hs_chapa,16890,0.04,1.56,26268,1243,13.59,0.12,7122,0.03
2024-10-01,auto,cm_hs_chapa,17622,0.04,1.51,26688,1201,14.67,0.08,7313,0.03
2024-11-01,auto,cm_hs_chapa,18674,0.06,1.48,27611,1124,16.61,0.13,7491,0.02
2024-12-01,auto,cm_hs_chapa,19017,0.02,1.44,27378,1105,17.21,0.04,7694,0.03
2025-01-01,auto,cm_hs_chapa,20136,0.06,1.41,28362,1216,16.56,-0.04,7864,0.02
2025-02-01,auto,cm_hs_chapa,19054,-0.05,1.38,26209,1212,15.72,-0.05,8052,0.02
2025-03-01,auto,cm_hs_chapa,22571,0.18,1.33,29930,1251,18.04,0.15,8353,0.04
2025-04-01,auto,cm_hs_chapa,22138,-0.02,1.29,28562,1263,17.53,-0.03,8585,0.03
2025-05-01,auto,cm_hs_chapa,22794,0.03,1.27,28973,1162,19.62,0.12,8714,0.02
2025-06-01,auto,cm_hs_chapa,23618,0.04,1.25,29542,1181,20.0,0.02,8855,0.02
2025-07-01,auto,cm_hs_chapa,24603,0.04,1.23,30200,1282,19.19,-0.04,9023,0.02
2025-08-01,auto,cm_hs_chapa,25511,0.04,1.2,30738,1329,19.2,0.0,9193,0.02
2025-09-01,auto,cm_hs_chapa,25763,0.01,1.18,30411,1406,18.32,-0.05,9384,0.02
2025-10-01,auto,cm_hs_chapa,26562,0.03,1.15,30636,1462,18.17,-0.01,9603,0.02
2025-11-01,auto,cm_hs_chapa,27132,0.02,1.13,30539,1426,19.02,0.05,9841,0.02
2025-12-01,auto,cm_hs_chapa,28060,0.03,1.09,30710,1446,19.39,0.02,10121,0.03
2026-01-01,auto,cm_hs_chapa,28626,0.02,1.06,30452,1448,19.77,0.02,10413,0.03
2026-02-01,auto,cm_hs_chapa,29188,0.02,1.03,30175,1409,20.7,0.05,10714,0.03
2026-03-01,auto,cm_hs_chapa,29791,0.02,1.0,29791,1408,21.15,0.02,11077,0.03
2023-01-01,auto,cm_hs_elect,4442,,9.21,40902,366,12.14,,1202,
2023-02-01,auto,cm_hs_elect,4167,-0.06,8.64,35984,375,11.11,-0.08,1282,0.07
2023-03-01,auto,cm_hs_elect,4185,0.0,8.02,33564,380,11.01,-0.01,1381,0.08
2023-04-01,auto,cm_hs_elect,6396,0.53,7.4,47320,419,15.26,0.39,1497,0.08
2023-05-01,auto,cm_hs_elect,4900,-0.23,6.86,33637,477,10.27,-0.33,1613,0.08
2023-06-01,auto,cm_hs_elect,5696,0.16,6.48,36906,487,11.7,0.14,1709,0.06
2023-07-01,auto,cm_hs_elect,5030,-0.12,6.09,30646,516,9.75,-0.17,1818,0.06
2023-08-01,auto,cm_hs_elect,5531,0.1,5.42,29970,646,8.56,-0.12,2044,0.12
2023-09-01,auto,cm_hs_elect,6698,0.21,4.81,32189,733,9.14,0.07,2304,0.13
2023-10-01,auto,cm_hs_elect,8491,0.27,4.44,37678,912,9.31,0.02,2496,0.08
2023-11-01,auto,cm_hs_elect,8295,-0.02,3.93,32628,931,8.91,-0.04,2816,0.13
2023-12-01,auto,cm_hs_elect,9560,0.15,3.14,29971,965,9.91,0.11,3533,0.25
2024-01-01,auto,cm_hs_elect,10035,0.05,2.6,26084,1141,8.79,-0.11,4261,0.21
2024-02-01,auto,cm_hs_elect,10607,0.06,2.3,24347,1081,9.81,0.12,4825,0.13
2024-03-01,auto,cm_hs_elect,12873,0.21,2.07,26617,1001,12.86,0.31,5357,0.11
2024-04-01,auto,cm_hs_elect,14375,0.12,1.9,27311,1004,14.32,0.11,5830,0.09
