año_mes,tva,tipo_costo,valor_costo_hist,var_costo_hist,ipc,valor_costo_ipc,usd_blue,valor_costo_usd,var_costo_usd,ipc_empalme_ipim,var_ipc
2023-01-01,auto,cm_hs_chapa,2883,,7.98,23019,366,7.87,,1202,
2023-02-01,auto,cm_hs_chapa,2997,0.04,7.49,22444,375,7.97,0.01,1282,0.07
2023-03-01,auto,cm_hs_chapa,3201,0.07,6.95,22258,380,8.42,0.06,1381,0.08
2023-04-01,auto,cm_hs_chapa,3368,0.05,6.41,21607,419,8.02,-0.05,1497,0.08
2023-05-01,auto,cm_hs_chapa,3582,0.06,5.95,21322,477,7.5,-0.07,1613,0.08
2023-06-01,auto,cm_hs_chapa,3800,0.06,5.62,21350,487,7.79,0.04,1709,0.06
2023-07-01,auto,cm_hs_chapa,4163,0.1,5.28,21993,516,8.06,0.03,1818,0.06
2023-08-01,auto,cm_hs_chapa,4428,0.06,4.7,20802,646,6.84,-0.15,2044,0.12
2023-09-01,auto,cm_hs_chapa,4880,0.1,4.17,20334,733,6.65,-0.03,2304,0.13
2023-10-01,auto,cm_hs_chapa,5234,0.07,3.85,20138,912,5.73,-0.14,2496,0.08
2023-11-01,auto,cm_hs_chapa,5822,0.11,3.41,19857,931,6.25,0.09,2816,0.13
2023-12-01,auto,cm_hs_chapa,6647,0.14,2.72,18069,965,6.88,0.1,3533,0.25
2024-01-01,auto,cm_hs_chapa,8178,0.23,2.25,18431,1141,7.16,0.04,4261,0.21
2024-02-01,auto,cm_hs_chapa,9552,0.17,1.99,19009,1081,8.83,0.23,4825,0.13
2024-03-01,auto,cm_hs_chapa,10439,0.09,1.79,18715,1001,10.42,0.18,5357,0.11
2024-04-01,auto,cm_hs_chapa,10808,0.04,1.65,17804,1004,10.76,0.03,5830,0.09
2024-05-01,auto,cm_hs_chapa,12680,0.17,1.58,20051,1119,11.33,0.05,6073,0.04
2024-06-01,auto,cm_hs_chapa,12201,-0.04,1.51,18448,1278,9.54,-0.16,6351,0.05
2024-07-01,auto,cm_hs_chapa,15120,0.24,1.45,21975,1416,10.68,0.12,6607,0.04
2024-08-01,auto,cm_hs_chapa,16309,0.08,1.4,22754,1340,12.16,0.14,6883,0.04
2024-09-01,auto,cm_hs_chapa,16890,0.04,1.35,22775,1243,13.59,0.12,7122,0.03
2024-10-01,auto,cm_hs_chapa,17622,0.04,1.31,23139,1201,14.67,0.08,7313,0.03
2024-11-01,auto,cm_hs_chapa,18674,0.06,1.28,23939,1124,16.61,0.13,7491,0.02
2024-12-01,auto,cm_hs_chapa,19017,0.02,1.25,23738,1105,17.21,0.04,7694,0.03
2025-01-01,auto,cm_hs_chapa,20136,0.06,1.22,24590,1216,16.55,-0.04,7864,0.02
2025-02-01,auto,cm_hs_chapa,19054,-0.05,1.19,22724,1212,15.71,-0.05,8052,0.02
2025-03-01,auto,cm_hs_chapa,22571,0.18,1.15,25950,1251,18.03,0.15,8353,0.04
2025-04-01,auto,cm_hs_chapa,22138,-0.02,1.12,24763,1263,17.52,-0.03,8585,0.03
2025-05-01,auto,cm_hs_chapa,22794,0.03,1.1,25120,1162,19.61,0.12,8714,0.02
2025-06-01,auto,cm_hs_chapa,23618,0.04,1.08,25614,1181,19.98,0.02,8855,0.02
2025-07-01,auto,cm_hs_chapa,24603,0.04,1.06,26184,1282,19.18,-0.04,9023,0.02
