anio_mes,grupo_cesvi,grupo_sls,la_segunda,ipc,grupo_cesvi_ipc,grupo_sls_ipc,la_segunda_ipc,usd_blue,grupo_cesvi_usd,grupo_sls_usd,la_segunda_usd,ipc_empalme_ipim,var_ipc,var_%_grupo_cesvi,var_%_grupo_sls,var_%_la_segunda
2022-07-01,2071,2138,1886,12.23,25322,26145,23068,285,7,7,6,851,,,,
2022-08-01,2218,2276,2084,11.43,25351,26014,23817,289,7,7,7,911,0.07,0.07,0.06,0.1
2022-09-01,2457,2429,2166,10.76,26452,26148,23324,279,8,8,7,967,0.06,0.11,0.07,0.04
2022-10-01,2625,2567,2310,10.12,26571,25987,23386,286,9,8,8,1028,0.06,0.07,0.06,0.07
2022-11-01,2784,2676,2454,9.65,26869,25823,23681,300,9,8,8,1079,0.05,0.06,0.04,0.06
2022-12-01,2961,2875,2658,9.18,27179,26387,24401,325,9,8,8,1134,0.05,0.06,0.07,0.08
2023-01-01,3139,3104,2793,8.66,27174,26869,24177,366,8,8,7,1202,0.06,0.06,0.08,0.05
2023-02-01,3301,3231,2927,8.12,26804,26233,23763,375,8,8,7,1282,0.07,0.05,0.04,0.05
2023-03-01,3480,3372,3113,7.54,26237,25426,23474,380,9,8,8,1381,0.08,0.05,0.04,0.06
2023-04-01,3768,3659,3314,6.95,26209,25449,23054,419,8,8,7,1497,0.08,0.08,0.09,0.06
2023-05-01,4069,3899,3480,6.45,26263,25164,22462,477,8,8,7,1613,0.08,0.08,0.07,0.05
2023-06-01,4327,4176,3728,6.09,26357,25438,22708,487,8,8,7,1709,0.06,0.06,0.07,0.07
2023-07-01,4729,4404,4165,5.73,27090,25225,23858,516,9,8,8,1818,0.06,0.09,0.05,0.12
2023-08-01,5367,5128,4573,5.09,27338,26124,23294,646,8,7,7,2044,0.12,0.13,0.16,0.1
2023-09-01,6395,5641,5233,4.52,28894,25485,23645,733,8,7,7,2304,0.13,0.19,0.1,0.14
2023-10-01,6032,6264,5688,4.17,25165,26131,23728,912,6,6,6,2496,0.08,-0.06,0.11,0.09
2023-11-01,6803,6547,6135,3.7,25156,24211,22687,931,7,7,6,2816,0.13,0.13,0.05,0.08
2023-12-01,7171,7088,6564,2.95,21134,20890,19345,965,7,7,6,3533,0.25,0.05,0.08,0.07
2024-01-01,10491,10587,9881,2.44,25635,25870,24144,1141,9,9,8,4261,0.21,0.46,0.49,0.51
2024-02-01,11502,10666,9346,2.16,24820,23016,20166,1081,10,9,8,4825,0.13,0.1,0.01,-0.05
2024-03-01,11220,11858,10290,1.94,21810,23051,20003,1001,11,11,10,5357,0.11,-0.02,0.11,0.1
2024-04-01,14181,13366,11660,1.79,25329,23873,20825,1004,14,13,11,5830,0.09,0.26,0.13,0.13
2024-05-01,15834,15020,12846,1.71,27147,25752,22024,1119,14,13,11,6073,0.04,0.12,0.12,0.1
2024-06-01,15858,16069,13775,1.64,25998,26343,22583,1278,12,12,10,6351,0.05,0.0,0.07,0.07
2024-07-01,16887,16737,14909,1.58,26612,26375,23495,1416,11,11,10,6607,0.04,0.06,0.04,0.08
2024-08-01,17786,17545,15798,1.51,26906,26542,23899,1340,13,13,11,6883,0.04,0.05,0.05,0.06
2024-09-01,19508,20417,16623,1.46,28521,29851,24304,1243,15,16,13,7122,0.03,0.1,0.16,0.05
2024-10-01,19733,20021,17547,1.42,28094,28504,24982,1201,16,16,14,7313,0.03,0.01,-0.02,0.06
2024-11-01,20811,20975,18336,1.39,28927,29155,25487,1124,18,18,16,7491,0.02,0.05,0.05,0.04
2024-12-01,21610,22684,19000,1.35,29247,30701,25715,1105,19,20,17,7694,0.03,0.04,0.08,0.04
2025-01-01,22585,23413,20257,1.32,29905,31002,26823,1216,18,19,16,7864,0.02,0.05,0.03,0.07
2025-02-01,23002,24210,21088,1.29,29744,31305,27268,1212,18,19,17,8052,0.02,0.02,0.03,0.04
2025-03-01,23399,24840,21368,1.25,29169,30965,26637,1251,18,19,17,8353,0.04,0.02,0.03,0.01
2025-04-01,24213,25834,22613,1.21,29367,31333,27426,1263,19,20,17,8585,0.03,0.03,0.04,0.06
2025-05-01,25264,26572,23360,1.19,30189,31751,27914,1162,21,22,20,8714,0.02,0.04,0.03,0.03
2025-06-01,26614,28582,24283,1.18,31295,33609,28554,1181,22,24,20,8855,0.02,0.05,0.08,0.04
2025-07-01,27638,29073,25106,1.15,31892,33549,28971,1282,21,22,19,9023,0.02,0.04,0.02,0.03
2025-08-01,28533,30030,26152,1.13,32319,34015,29622,1329,21,22,19,9193,0.02,0.03,0.03,0.04
2025-09-01,28852,30375,26818,1.11,32015,33705,29758,1406,20,21,19,9384,0.02,0.01,0.01,0.03
2025-10-01,30030,31361,27100,1.08,32560,34003,29383,1462,20,21,18,9603,0.02,0.04,0.03,0.01
2025-11-01,30998,32694,27903,1.06,32799,34593,29524,1426,21,22,19,9841,0.02,0.03,0.04,0.03
2025-12-01,31591,32825,28414,1.03,32502,33771,29233,1446,21,22,19,10121,0.03,0.02,0.0,0.02
2026-01-01,32066,33584,28820,1.0,32066,33584,28820,1448,22,23,19,10413,0.03,0.02,0.02,0.01
