anio_mes,grupo_cesvi,grupo_sls,la_segunda,san_cristobal,sancor,ipc,grupo_cesvi_ipc,grupo_sls_ipc,la_segunda_ipc,san_cristobal_ipc,sancor_ipc,usd_blue,grupo_cesvi_usd,grupo_sls_usd,la_segunda_usd,san_cristobal_usd,sancor_usd,var_ipc,var_%_grupo_cesvi,var_%_grupo_sls,var_%_la_segunda,var_%_san_cristobal,var_%_sancor
2022-07-01,2071,2138,1886,2477,2038,10.79,22356,23082,20366,26739,22003,285,7,7,6,8,7,,,,,,
2022-08-01,2218,2276,2084,2584,2171,10.09,22381,22966,21027,26075,21910,289,7,7,7,8,7,-0.06,0.07,0.06,0.1,0.04,0.07
2022-09-01,2457,2429,2166,2733,2369,9.5,23354,23085,20592,25975,22517,279,8,8,7,9,8,-0.06,0.11,0.07,0.04,0.06,0.09
2022-10-01,2625,2567,2310,2914,2482,8.94,23458,22943,20646,26048,22181,286,9,8,8,10,8,-0.06,0.07,0.06,0.07,0.07,0.05
2022-11-01,2784,2676,2454,2920,2640,8.52,23721,22798,20907,24880,22491,300,9,8,8,9,8,-0.05,0.06,0.04,0.06,0.0,0.06
2022-12-01,2961,2875,2658,3141,2817,8.1,23995,23296,21542,25457,22827,325,9,8,8,9,8,-0.05,0.06,0.07,0.08,0.08,0.07
2023-01-01,3139,3104,2793,3412,3069,7.64,23991,23721,21345,26081,23453,366,8,8,7,9,8,-0.06,0.06,0.08,0.05,0.09,0.09
2023-02-01,3301,3231,2927,3424,3258,7.17,23664,23160,20980,24546,23351,375,8,8,7,9,8,-0.06,0.05,0.04,0.05,0.0,0.06
2023-03-01,3480,3372,3113,3582,3380,6.66,23164,22448,20724,23846,22501,380,9,8,8,9,8,-0.07,0.05,0.04,0.06,0.05,0.04
2023-04-01,3768,3659,3314,3946,3660,6.14,23139,22468,20354,24233,22476,419,8,8,7,9,8,-0.08,0.08,0.09,0.06,0.1,0.08
2023-05-01,4069,3899,3480,4148,3959,5.7,23186,22216,19830,23634,22558,477,8,8,7,8,8,-0.07,0.08,0.07,0.05,0.05,0.08
2023-06-01,4327,4176,3728,4404,4280,5.38,23269,22458,20048,23685,23018,487,8,8,7,9,8,-0.06,0.06,0.07,0.07,0.06,0.08
2023-07-01,4729,4404,4165,4436,4504,5.06,23917,22270,21063,22433,22775,516,9,8,8,8,8,-0.06,0.09,0.05,0.12,0.01,0.05
2023-08-01,5367,5128,4573,5093,5394,4.5,24136,23064,20565,22906,24257,646,8,7,7,7,8,-0.11,0.13,0.16,0.1,0.15,0.2
2023-09-01,6395,5641,5233,5685,5847,3.99,25509,22500,20875,22676,23320,733,8,7,7,7,7,-0.11,0.19,0.1,0.14,0.12,0.08
2023-10-01,6032,6264,5688,6339,6210,3.68,22217,23070,20948,23346,22871,912,6,6,6,6,6,-0.08,-0.06,0.11,0.09,0.12,0.06
2023-11-01,6803,6547,6135,6417,6865,3.26,22209,21374,20029,20948,22412,931,7,7,6,6,7,-0.11,0.13,0.05,0.08,0.01,0.11
2023-12-01,7171,7088,6564,6368,7623,2.6,18658,18443,17079,16569,19835,965,7,7,6,6,7,-0.2,0.05,0.08,0.07,-0.01,0.11
