fecha,marca,zona,tipo_cristal,precio_ipc,instalacion_ipc
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,95426.69435195785,44135.28050355568
2023-12-01,CHEVROLET,CABA,Custodia/Coleta,248008.7339140654,44135.28050355568
2023-12-01,CHEVROLET,CABA,Luneta,271883.2763861009,72364.55467392229
2023-12-01,CHEVROLET,CABA,Parabrisas,401310.61568737816,100425.56929804441
2023-12-01,CHEVROLET,CABA,Puerta,134106.33219308293,29423.37658985821
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,89973.74038898882,48217.79395013458
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,233836.80626183312,48217.79395013458
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Luneta,256347.08916403804,79058.2759812601
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,378378.58050524234,109714.93445811352
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Puerta,126443.11321062107,32145.03892442009
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,84520.78642601981,48217.79395013458
2023-12-01,CHEVROLET,Rosario,Custodia/Coleta,219664.8786096008,48217.79395013458
2023-12-01,CHEVROLET,Rosario,Luneta,240810.90194197508,79058.2759812601
2023-12-01,CHEVROLET,Rosario,Parabrisas,355446.5453231064,109714.93445811352
2023-12-01,CHEVROLET,Rosario,Puerta,118779.89422815919,32145.03892442009
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,163588.6188890706,86505.14978696914
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,425157.8295669693,86505.14978696914
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,466085.61666188727,141834.5271608877
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,687961.0554640769,196834.1158241671
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,229896.5694738565,57669.818116122085
2023-12-01,FIAT,CABA,Aleta/Ventilete,78344.60909727294,44135.28050355568
2023-12-01,FIAT,CABA,Custodia/Coleta,199501.73448359157,44135.28050355568
2023-12-01,FIAT,CABA,Luneta,270072.7378483486,66890.61211321595
