fecha,marca,zona,tipo_cristal,precio_usd,instalacion_usd
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,38.0,17.6
2023-12-01,CHEVROLET,CABA,Custodia/Coleta,98.7,17.6
2023-12-01,CHEVROLET,CABA,Luneta,108.2,28.8
2023-12-01,CHEVROLET,CABA,Parabrisas,159.7,40.0
2023-12-01,CHEVROLET,CABA,Puerta,53.4,11.7
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,35.8,19.2
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,93.1,19.2
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Luneta,102.0,31.5
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,150.6,43.7
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Puerta,50.3,12.8
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,33.6,19.2
2023-12-01,CHEVROLET,Rosario,Custodia/Coleta,87.4,19.2
2023-12-01,CHEVROLET,Rosario,Luneta,95.9,31.5
2023-12-01,CHEVROLET,Rosario,Parabrisas,141.5,43.7
2023-12-01,CHEVROLET,Rosario,Puerta,47.3,12.8
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,65.1,34.4
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,169.2,34.4
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,185.5,56.5
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,273.8,78.3
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,91.5,23.0
2023-12-01,FIAT,CABA,Aleta/Ventilete,31.2,17.6
2023-12-01,FIAT,CABA,Custodia/Coleta,79.4,17.6
2023-12-01,FIAT,CABA,Luneta,107.5,26.6
2023-12-01,FIAT,CABA,Parabrisas,166.8,40.2
2023-12-01,FIAT,CABA,Puerta,44.0,11.7
2023-12-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,29.4,19.2
2023-12-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,74.9,19.2
2023-12-01,FIAT,CORD_TUC_STAFE,Luneta,101.4,29.1
2023-12-01,FIAT,CORD_TUC_STAFE,Parabrisas,157.2,44.0
2023-12-01,FIAT,CORD_TUC_STAFE,Puerta,41.5,12.8
2023-12-01,FIAT,Rosario,Aleta/Ventilete,27.6,19.2
2023-12-01,FIAT,Rosario,Custodia/Coleta,70.3,19.2
2023-12-01,FIAT,Rosario,Luneta,95.2,29.1
2023-12-01,FIAT,Rosario,Parabrisas,147.7,44.0
2023-12-01,FIAT,Rosario,Puerta,38.9,12.8
2023-12-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,53.5,34.4
2023-12-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,136.1,34.4
2023-12-01,FIAT,TIERRA DEL FUEGO,Luneta,184.3,52.2
2023-12-01,FIAT,TIERRA DEL FUEGO,Parabrisas,285.9,78.8
2023-12-01,FIAT,TIERRA DEL FUEGO,Puerta,75.4,23.0
2023-12-01,FORD,CABA,Aleta/Ventilete,37.9,17.6
2023-12-01,FORD,CABA,Custodia/Coleta,42.5,17.6
2023-12-01,FORD,CABA,Luneta,110.8,27.9
2023-12-01,FORD,CABA,Parabrisas,192.1,40.0
2023-12-01,FORD,CABA,Puerta,53.4,11.7
2023-12-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,35.8,19.2
2023-12-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,40.1,19.2
2023-12-01,FORD,CORD_TUC_STAFE,Luneta,104.4,30.5
2023-12-01,FORD,CORD_TUC_STAFE,Parabrisas,181.1,43.7
2023-12-01,FORD,CORD_TUC_STAFE,Puerta,50.3,12.8
2023-12-01,FORD,Rosario,Aleta/Ventilete,33.6,19.2
2023-12-01,FORD,Rosario,Custodia/Coleta,37.7,19.2
2023-12-01,FORD,Rosario,Luneta,98.1,30.5
2023-12-01,FORD,Rosario,Parabrisas,170.1,43.7
2023-12-01,FORD,Rosario,Puerta,47.3,12.8
2023-12-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,65.0,34.4
2023-12-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,72.9,34.4
2023-12-01,FORD,TIERRA DEL FUEGO,Luneta,189.9,54.7
2023-12-01,FORD,TIERRA DEL FUEGO,Parabrisas,329.3,78.4
2023-12-01,FORD,TIERRA DEL FUEGO,Puerta,91.5,23.0
2023-12-01,PEUGEOT,CABA,Aleta/Ventilete,113.0,17.6
2023-12-01,PEUGEOT,CABA,Custodia/Coleta,66.4,17.6
2023-12-01,PEUGEOT,CABA,Luneta,119.6,28.7
2023-12-01,PEUGEOT,CABA,Parabrisas,203.9,39.9
2023-12-01,PEUGEOT,CABA,Puerta,44.6,11.7
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,112.4,19.2
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,62.6,19.2
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Luneta,112.8,31.3
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Parabrisas,192.3,43.6
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Puerta,42.1,12.8
2023-12-01,PEUGEOT,Rosario,Aleta/Ventilete,111.7,19.2
2023-12-01,PEUGEOT,Rosario,Custodia/Coleta,58.8,19.2
2023-12-01,PEUGEOT,Rosario,Luneta,105.9,31.3
2023-12-01,PEUGEOT,Rosario,Parabrisas,180.6,43.6
2023-12-01,PEUGEOT,Rosario,Puerta,39.5,12.8
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,120.6,34.4
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,113.9,34.4
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Luneta,205.0,56.2
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Parabrisas,349.6,78.2
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Puerta,76.5,23.0
2023-12-01,RENAULT,CABA,Aleta/Ventilete,41.2,17.6
2023-12-01,RENAULT,CABA,Custodia/Coleta,95.1,17.6
2023-12-01,RENAULT,CABA,Luneta,97.9,26.2
2023-12-01,RENAULT,CABA,Parabrisas,150.7,39.4
2023-12-01,RENAULT,CABA,Puerta,47.1,11.7
2023-12-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,38.8,19.2
2023-12-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,89.7,19.2
2023-12-01,RENAULT,CORD_TUC_STAFE,Luneta,92.3,28.7
2023-12-01,RENAULT,CORD_TUC_STAFE,Parabrisas,142.1,43.0
2023-12-01,RENAULT,CORD_TUC_STAFE,Puerta,44.4,12.8
2023-12-01,RENAULT,Rosario,Aleta/Ventilete,36.5,19.2
2023-12-01,RENAULT,Rosario,Custodia/Coleta,84.2,19.2
2023-12-01,RENAULT,Rosario,Luneta,86.7,28.7
2023-12-01,RENAULT,Rosario,Parabrisas,133.5,43.0
2023-12-01,RENAULT,Rosario,Puerta,41.8,12.8
2023-12-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,70.6,34.4
2023-12-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,163.1,34.4
2023-12-01,RENAULT,TIERRA DEL FUEGO,Luneta,167.8,51.4
2023-12-01,RENAULT,TIERRA DEL FUEGO,Parabrisas,258.4,77.2
2023-12-01,RENAULT,TIERRA DEL FUEGO,Puerta,80.8,23.0
2023-12-01,TOYOTA,CABA,Aleta/Ventilete,37.7,17.6
2023-12-01,TOYOTA,CABA,Custodia/Coleta,127.1,17.6
2023-12-01,TOYOTA,CABA,Luneta,179.6,28.7
2023-12-01,TOYOTA,CABA,Parabrisas,209.8,39.9
2023-12-01,TOYOTA,CABA,Puerta,62.8,11.7
2023-12-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,35.5,19.2
2023-12-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,119.9,19.2
2023-12-01,TOYOTA,CORD_TUC_STAFE,Luneta,169.3,31.4
2023-12-01,TOYOTA,CORD_TUC_STAFE,Parabrisas,197.8,43.6
2023-12-01,TOYOTA,CORD_TUC_STAFE,Puerta,59.2,12.8
2023-12-01,TOYOTA,Rosario,Aleta/Ventilete,33.4,19.2
2023-12-01,TOYOTA,Rosario,Custodia/Coleta,112.6,19.2
2023-12-01,TOYOTA,Rosario,Luneta,159.1,31.4
2023-12-01,TOYOTA,Rosario,Parabrisas,185.8,43.6
2023-12-01,TOYOTA,Rosario,Puerta,55.6,12.8
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,64.6,34.4
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,218.0,34.4
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Luneta,307.9,56.3
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Parabrisas,359.6,78.2
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Puerta,107.7,23.0
2023-12-01,VOLKSWAGEN,CABA,Aleta/Ventilete,38.5,17.6
2023-12-01,VOLKSWAGEN,CABA,Custodia/Coleta,49.9,17.6
2023-12-01,VOLKSWAGEN,CABA,Luneta,127.2,28.6
2023-12-01,VOLKSWAGEN,CABA,Parabrisas,178.0,40.2
2023-12-01,VOLKSWAGEN,CABA,Puerta,50.2,11.7
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,36.3,19.2
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,47.1,19.2
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Luneta,119.9,31.3
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Parabrisas,167.8,43.9
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Puerta,47.4,12.8
2023-12-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,34.1,19.2
2023-12-01,VOLKSWAGEN,Rosario,Custodia/Coleta,44.2,19.2
2023-12-01,VOLKSWAGEN,Rosario,Luneta,112.7,31.3
2023-12-01,VOLKSWAGEN,Rosario,Parabrisas,157.6,43.9
2023-12-01,VOLKSWAGEN,Rosario,Puerta,44.5,12.8
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,66.0,34.4
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,85.6,34.4
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Luneta,218.0,56.1
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Parabrisas,305.1,78.8
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Puerta,86.1,23.0
2024-02-01,CHEVROLET,CABA,Aleta/Ventilete,35.6,17.1
2024-02-01,CHEVROLET,CABA,Custodia/Coleta,92.6,17.1
2024-02-01,CHEVROLET,CABA,Luneta,102.4,28.0
2024-02-01,CHEVROLET,CABA,Parabrisas,152.9,38.9
2024-02-01,CHEVROLET,CABA,Puerta,50.0,11.4
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,33.6,18.7
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,87.3,18.7
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Luneta,96.6,30.6
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,144.2,42.5
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Puerta,47.2,12.5
2024-02-01,CHEVROLET,Rosario,Aleta/Ventilete,31.5,18.7
2024-02-01,CHEVROLET,Rosario,Custodia/Coleta,82.0,18.7
2024-02-01,CHEVROLET,Rosario,Luneta,90.7,30.6
2024-02-01,CHEVROLET,Rosario,Parabrisas,135.4,42.5
2024-02-01,CHEVROLET,Rosario,Puerta,44.3,12.5
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,61.0,33.5
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,158.7,33.5
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,175.6,54.9
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,262.1,76.3
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,85.8,22.3
2024-02-01,FIAT,CABA,Aleta/Ventilete,29.2,17.1
2024-02-01,FIAT,CABA,Custodia/Coleta,74.5,17.1
2024-02-01,FIAT,CABA,Luneta,102.0,25.9
2024-02-01,FIAT,CABA,Parabrisas,161.2,39.2
2024-02-01,FIAT,CABA,Puerta,41.2,11.4
2024-02-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,27.6,18.7
2024-02-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,70.2,18.7
2024-02-01,FIAT,CORD_TUC_STAFE,Luneta,96.1,28.3
2024-02-01,FIAT,CORD_TUC_STAFE,Parabrisas,152.0,42.8
2024-02-01,FIAT,CORD_TUC_STAFE,Puerta,38.9,12.5
2024-02-01,FIAT,Rosario,Aleta/Ventilete,25.9,18.7
2024-02-01,FIAT,Rosario,Custodia/Coleta,65.9,18.7
2024-02-01,FIAT,Rosario,Luneta,90.3,28.3
2024-02-01,FIAT,Rosario,Parabrisas,142.7,42.8
2024-02-01,FIAT,Rosario,Puerta,36.5,12.5
2024-02-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,50.1,33.5
2024-02-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,127.6,33.5
2024-02-01,FIAT,TIERRA DEL FUEGO,Luneta,174.8,50.8
2024-02-01,FIAT,TIERRA DEL FUEGO,Parabrisas,276.3,76.7
2024-02-01,FIAT,TIERRA DEL FUEGO,Puerta,70.7,22.3
2024-02-01,FORD,CABA,Aleta/Ventilete,35.6,17.1
2024-02-01,FORD,CABA,Custodia/Coleta,39.9,17.1
2024-02-01,FORD,CABA,Luneta,106.0,27.1
2024-02-01,FORD,CABA,Parabrisas,185.0,38.9
2024-02-01,FORD,CABA,Puerta,50.1,11.4
2024-02-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,33.5,18.7
2024-02-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,37.6,18.7
2024-02-01,FORD,CORD_TUC_STAFE,Luneta,99.9,29.7
2024-02-01,FORD,CORD_TUC_STAFE,Parabrisas,174.4,42.5
2024-02-01,FORD,CORD_TUC_STAFE,Puerta,47.2,12.5
2024-02-01,FORD,Rosario,Aleta/Ventilete,31.5,18.7
2024-02-01,FORD,Rosario,Custodia/Coleta,35.3,18.7
2024-02-01,FORD,Rosario,Luneta,93.9,29.7
2024-02-01,FORD,Rosario,Parabrisas,163.8,42.5
2024-02-01,FORD,Rosario,Puerta,44.3,12.5
2024-02-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,61.0,33.5
2024-02-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,68.3,33.5
2024-02-01,FORD,TIERRA DEL FUEGO,Luneta,181.7,53.2
2024-02-01,FORD,TIERRA DEL FUEGO,Parabrisas,317.1,76.3
2024-02-01,FORD,TIERRA DEL FUEGO,Puerta,85.8,22.3
2024-02-01,PEUGEOT,CABA,Aleta/Ventilete,106.8,17.1
2024-02-01,PEUGEOT,CABA,Custodia/Coleta,62.3,17.1
2024-02-01,PEUGEOT,CABA,Luneta,115.7,27.9
2024-02-01,PEUGEOT,CABA,Parabrisas,197.5,38.8
2024-02-01,PEUGEOT,CABA,Puerta,41.9,11.4
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,106.2,18.7
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,58.7,18.7
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Luneta,109.1,30.5
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Parabrisas,186.2,42.4
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Puerta,39.5,12.5
2024-02-01,PEUGEOT,Rosario,Aleta/Ventilete,105.7,18.7
2024-02-01,PEUGEOT,Rosario,Custodia/Coleta,55.2,18.7
2024-02-01,PEUGEOT,Rosario,Luneta,102.5,30.5
2024-02-01,PEUGEOT,Rosario,Parabrisas,174.9,42.4
2024-02-01,PEUGEOT,Rosario,Puerta,37.1,12.5
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,114.0,33.5
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,106.8,33.5
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Luneta,198.3,54.7
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Parabrisas,338.5,76.1
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Puerta,71.8,22.3
2024-02-01,RENAULT,CABA,Aleta/Ventilete,38.6,17.1
2024-02-01,RENAULT,CABA,Custodia/Coleta,89.2,17.1
2024-02-01,RENAULT,CABA,Luneta,93.9,25.5
2024-02-01,RENAULT,CABA,Parabrisas,146.5,38.3
2024-02-01,RENAULT,CABA,Puerta,44.2,11.4
2024-02-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,36.4,18.7
2024-02-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,84.1,18.7
2024-02-01,RENAULT,CORD_TUC_STAFE,Luneta,88.6,27.9
2024-02-01,RENAULT,CORD_TUC_STAFE,Parabrisas,138.1,41.9
2024-02-01,RENAULT,CORD_TUC_STAFE,Puerta,41.7,12.5
2024-02-01,RENAULT,Rosario,Aleta/Ventilete,34.2,18.7
2024-02-01,RENAULT,Rosario,Custodia/Coleta,79.0,18.7
2024-02-01,RENAULT,Rosario,Luneta,83.2,27.9
2024-02-01,RENAULT,Rosario,Parabrisas,129.8,41.9
2024-02-01,RENAULT,Rosario,Puerta,39.1,12.5
2024-02-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,66.2,33.5
2024-02-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,152.9,33.5
2024-02-01,RENAULT,TIERRA DEL FUEGO,Luneta,161.0,50.1
2024-02-01,RENAULT,TIERRA DEL FUEGO,Parabrisas,251.1,75.1
2024-02-01,RENAULT,TIERRA DEL FUEGO,Puerta,75.8,22.3
2024-02-01,TOYOTA,CABA,Aleta/Ventilete,35.3,17.1
2024-02-01,TOYOTA,CABA,Custodia/Coleta,119.2,17.1
2024-02-01,TOYOTA,CABA,Luneta,172.3,27.9
2024-02-01,TOYOTA,CABA,Parabrisas,202.1,38.9
2024-02-01,TOYOTA,CABA,Puerta,58.9,11.4
2024-02-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,33.3,18.7
2024-02-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,112.4,18.7
2024-02-01,TOYOTA,CORD_TUC_STAFE,Luneta,162.4,30.5
2024-02-01,TOYOTA,CORD_TUC_STAFE,Parabrisas,190.6,42.4
2024-02-01,TOYOTA,CORD_TUC_STAFE,Puerta,55.5,12.5
2024-02-01,TOYOTA,Rosario,Aleta/Ventilete,31.3,18.7
