fecha,marca,zona,tipo_cristal,instalacion_ipc
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,41218.11674438507
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,45030.79254324067
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,45030.792541315175
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,80787.50881899473
2023-12-01,FIAT,CABA,Aleta/Ventilete,41218.11674438507
2023-12-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,45030.79254324067
2023-12-01,FIAT,Rosario,Aleta/Ventilete,45030.792541315175
2023-12-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,80787.50881899473
2023-12-01,FORD,CABA,Aleta/Ventilete,41218.11674438507
2023-12-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,45030.79254324067
2023-12-01,FORD,Rosario,Aleta/Ventilete,45030.792541315175
2023-12-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,80787.50881899473
2023-12-01,PEUGEOT,CABA,Aleta/Ventilete,41218.11674438507
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,45030.79254324067
2023-12-01,PEUGEOT,Rosario,Aleta/Ventilete,45030.792541315175
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,80787.50881899473
2023-12-01,RENAULT,CABA,Aleta/Ventilete,41218.11674438507
2023-12-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,45030.79254324067
2023-12-01,RENAULT,Rosario,Aleta/Ventilete,45030.792541315175
2023-12-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,80787.50881899473
2023-12-01,TOYOTA,CABA,Aleta/Ventilete,41218.11674438507
2023-12-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,45030.79254324067
2023-12-01,TOYOTA,Rosario,Aleta/Ventilete,45030.792541315175
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,80787.50881899473
2023-12-01,VOLKSWAGEN,CABA,Aleta/Ventilete,41218.11674438507
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,45030.79254324067
2023-12-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,45030.792541315175
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,80787.50881899473
2024-02-01,CHEVROLET,CABA,Aleta/Ventilete,32893.77047604387
