anio_mes,aseguradora,monto_historico,monto_ipc,monto_usd,tipo
2022-07-01,Grupo Cesvi,71785.0,774792.0,251.0,Mano de Obra
2022-07-01,Grupo Sls,77865.0,840423.0,272.0,Mano de Obra
2022-07-01,La Segunda,83624.0,902578.0,292.0,Mano de Obra
2022-07-01,San Cristobal,79310.0,856020.0,277.0,Mano de Obra
2022-07-01,Sancor,98239.0,1060315.0,343.0,Mano de Obra
2022-08-01,Grupo Cesvi,75908.0,765907.0,262.0,Mano de Obra
2022-08-01,Grupo Sls,83167.0,839150.0,287.0,Mano de Obra
2022-08-01,La Segunda,91286.0,921076.0,315.0,Mano de Obra
2022-08-01,San Cristobal,81386.0,821182.0,281.0,Mano de Obra
2022-08-01,Sancor,90077.0,908869.0,311.0,Mano de Obra
2022-09-01,Grupo Cesvi,80257.0,762761.0,286.0,Mano de Obra
2022-09-01,Grupo Sls,86576.0,822820.0,309.0,Mano de Obra
2022-09-01,La Segunda,92038.0,874726.0,329.0,Mano de Obra
2022-09-01,San Cristobal,87735.0,833835.0,313.0,Mano de Obra
2022-09-01,Sancor,81915.0,778516.0,292.0,Mano de Obra
2022-10-01,Grupo Cesvi,84716.0,757082.0,296.0,Mano de Obra
2022-10-01,Grupo Sls,91816.0,820537.0,320.0,Mano de Obra
2022-10-01,La Segunda,100268.0,896067.0,350.0,Mano de Obra
2022-10-01,San Cristobal,92581.0,827374.0,323.0,Mano de Obra
2022-10-01,Sancor,85411.0,763294.0,298.0,Mano de Obra
2022-11-01,Grupo Cesvi,90882.0,774128.0,302.0,Mano de Obra
2022-11-01,Grupo Sls,97727.0,832437.0,325.0,Mano de Obra
2022-11-01,La Segunda,105788.0,901104.0,352.0,Mano de Obra
2022-11-01,San Cristobal,97008.0,826315.0,323.0,Mano de Obra
2022-11-01,Sancor,93030.0,792431.0,309.0,Mano de Obra
2022-12-01,Grupo Cesvi,97248.0,787977.0,298.0,Mano de Obra
2022-12-01,Grupo Sls,105455.0,854474.0,323.0,Mano de Obra
2022-12-01,La Segunda,117206.0,949692.0,359.0,Mano de Obra
2022-12-01,San Cristobal,106342.0,861661.0,326.0,Mano de Obra
2022-12-01,Sancor,97761.0,792135.0,300.0,Mano de Obra
2023-01-01,Grupo Cesvi,103403.0,790219.0,282.0,Mano de Obra
2023-01-01,Grupo Sls,113266.0,865591.0,309.0,Mano de Obra
2023-01-01,La Segunda,121915.0,931686.0,332.0,Mano de Obra
2023-01-01,San Cristobal,115384.0,881777.0,315.0,Mano de Obra
2023-01-01,Sancor,106679.0,815250.0,291.0,Mano de Obra
2023-02-01,Grupo Cesvi,109111.0,782007.0,290.0,Mano de Obra
