anio_mes,grupo_cesvi,grupo_sls,la_segunda,san_cristobal,sancor,part_grupo_sls_vs_cesvi,part_la_segunda_vs_cesvi,part_san_cristobal_vs_cesvi,part_sancor_vs_cesvi,var_%_grupo_cesvi,var_%_grupo_sls,var_%_la_segunda,var_%_san_cristobal,var_%_sancor
2022-07-01,36529,15554,4274,5029,6251,0.43,0.12,0.14,0.17,,,,,
2022-08-01,40218,17494,5232,5553,6709,0.43,0.13,0.14,0.17,0.1,0.12,0.22,0.1,0.07
2022-09-01,38113,16282,4501,5212,6569,0.43,0.12,0.14,0.17,-0.05,-0.07,-0.14,-0.06,-0.02
2022-10-01,34495,14735,4150,4564,6021,0.43,0.12,0.13,0.17,-0.09,-0.1,-0.08,-0.12,-0.08
2022-11-01,37100,15926,4326,4929,6671,0.43,0.12,0.13,0.18,0.08,0.08,0.04,0.08,0.11
2022-12-01,33301,14160,3698,4316,6146,0.43,0.11,0.13,0.18,-0.1,-0.11,-0.15,-0.12,-0.08
2023-01-01,37732,16013,4107,4929,6977,0.42,0.11,0.13,0.18,0.13,0.13,0.11,0.14,0.14
2023-02-01,28605,12230,2933,3979,5318,0.43,0.1,0.14,0.19,-0.24,-0.24,-0.29,-0.19,-0.24
2023-03-01,39879,17328,4513,5403,7412,0.43,0.11,0.14,0.19,0.39,0.42,0.54,0.36,0.39
2023-04-01,35050,15433,3959,4792,6682,0.44,0.11,0.14,0.19,-0.12,-0.11,-0.12,-0.11,-0.1
2023-05-01,37127,16078,3946,5035,7097,0.43,0.11,0.14,0.19,0.06,0.04,-0.0,0.05,0.06
2023-06-01,35479,15436,3873,4590,6973,0.44,0.11,0.13,0.2,-0.04,-0.04,-0.02,-0.09,-0.02
2023-07-01,36176,15766,3704,4754,7308,0.44,0.1,0.13,0.2,0.02,0.02,-0.04,0.04,0.05
2023-08-01,42052,17567,4432,5202,7933,0.42,0.11,0.12,0.19,0.16,0.11,0.2,0.09,0.09
2023-09-01,35844,15245,4250,4989,6989,0.43,0.12,0.14,0.19,-0.15,-0.13,-0.04,-0.04,-0.12
2023-10-01,38460,14648,3639,4400,7190,0.38,0.09,0.11,0.19,0.07,-0.04,-0.14,-0.12,0.03
2023-11-01,35844,15562,3818,4817,6927,0.43,0.11,0.13,0.19,-0.07,0.06,0.05,0.09,-0.04
2023-12-01,30060,12518,2869,3917,5732,0.42,0.1,0.13,0.19,-0.16,-0.2,-0.25,-0.19,-0.17
2024-01-01,39020,16309,4053,5156,7126,0.42,0.1,0.13,0.18,0.3,0.3,0.41,0.32,0.24
2024-02-01,31425,13651,3417,4328,5906,0.43,0.11,0.14,0.19,-0.19,-0.16,-0.16,-0.16,-0.17
2024-03-01,30473,12823,3067,4092,5664,0.42,0.1,0.13,0.19,-0.03,-0.06,-0.1,-0.05,-0.04
2024-04-01,33128,14227,3548,4455,6224,0.43,0.11,0.13,0.19,0.09,0.11,0.16,0.09,0.1
2024-05-01,33499,14338,3581,4594,6163,0.43,0.11,0.14,0.18,0.01,0.01,0.01,0.03,-0.01
2024-06-01,24775,10840,2550,3406,4884,0.44,0.1,0.14,0.2,-0.26,-0.24,-0.29,-0.26,-0.21
2024-07-01,32623,14426,3507,4585,6334,0.44,0.11,0.14,0.19,0.32,0.33,0.38,0.35,0.3
2024-08-01,30584,13596,3232,4349,6015,0.44,0.11,0.14,0.2,-0.06,-0.06,-0.08,-0.05,-0.05
2024-09-01,29408,12870,2928,4197,5745,0.44,0.1,0.14,0.2,-0.04,-0.05,-0.09,-0.03,-0.04
2024-10-01,30610,13393,3275,4002,6116,0.44,0.11,0.13,0.2,0.04,0.04,0.12,-0.05,0.06
2024-11-01,27812,12693,2992,4191,5510,0.46,0.11,0.15,0.2,-0.09,-0.05,-0.09,0.05,-0.1
2024-12-01,26082,11477,2551,3706,5220,0.44,0.1,0.14,0.2,-0.06,-0.1,-0.15,-0.12,-0.05
2025-01-01,30183,13246,3120,4292,5834,0.44,0.1,0.14,0.19,0.16,0.15,0.22,0.16,0.12
2025-02-01,26357,11263,2648,3690,4925,0.43,0.1,0.14,0.19,-0.13,-0.15,-0.15,-0.14,-0.16
2025-03-01,26742,11532,2677,3817,5038,0.43,0.1,0.14,0.19,0.01,0.02,0.01,0.03,0.02
2025-04-01,29837,12721,3067,4065,5589,0.43,0.1,0.14,0.19,0.12,0.1,0.15,0.06,0.11
2025-05-01,32526,13884,3431,4461,5992,0.43,0.11,0.14,0.18,0.09,0.09,0.12,0.1,0.07
2025-06-01,29312,12805,2990,4185,5630,0.44,0.1,0.14,0.19,-0.1,-0.08,-0.13,-0.06,-0.06
2025-07-01,32237,14016,3314,4476,6226,0.43,0.1,0.14,0.19,0.1,0.09,0.11,0.07,0.11
2025-08-01,28620,13280,3035,4209,6036,0.46,0.11,0.15,0.21,-0.11,-0.05,-0.08,-0.06,-0.03
