anio_mes,grupo_cesvi,grupo_sls,la_segunda,part_grupo_sls_vs_cesvi,part_la_segunda_vs_cesvi,var_%_grupo_cesvi,var_%_grupo_sls,var_%_la_segunda
2022-07-01,36529,15554,4274,0.43,0.12,,,
2022-08-01,40218,17494,5232,0.43,0.13,0.1,0.12,0.22
2022-09-01,38113,16282,4501,0.43,0.12,-0.05,-0.07,-0.14
2022-10-01,34495,14735,4150,0.43,0.12,-0.09,-0.1,-0.08
2022-11-01,37100,15926,4326,0.43,0.12,0.08,0.08,0.04
2022-12-01,33301,14160,3698,0.43,0.11,-0.1,-0.11,-0.15
2023-01-01,37732,16013,4107,0.42,0.11,0.13,0.13,0.11
2023-02-01,28605,12230,2933,0.43,0.1,-0.24,-0.24,-0.29
2023-03-01,39879,17328,4513,0.43,0.11,0.39,0.42,0.54
2023-04-01,35050,15433,3959,0.44,0.11,-0.12,-0.11,-0.12
2023-05-01,37127,16078,3946,0.43,0.11,0.06,0.04,-0.0
2023-06-01,35479,15436,3873,0.44,0.11,-0.04,-0.04,-0.02
2023-07-01,36176,15766,3704,0.44,0.1,0.02,0.02,-0.04
2023-08-01,42052,17567,4432,0.42,0.11,0.16,0.11,0.2
2023-09-01,35844,15245,4250,0.43,0.12,-0.15,-0.13,-0.04
2023-10-01,38460,14648,3639,0.38,0.09,0.07,-0.04,-0.14
2023-11-01,35844,15562,3818,0.43,0.11,-0.07,0.06,0.05
2023-12-01,30060,12518,2869,0.42,0.1,-0.16,-0.2,-0.25
2024-01-01,39020,16309,4053,0.42,0.1,0.3,0.3,0.41
2024-02-01,31425,13651,3417,0.43,0.11,-0.19,-0.16,-0.16
2024-03-01,30473,12823,3067,0.42,0.1,-0.03,-0.06,-0.1
2024-04-01,33128,14227,3548,0.43,0.11,0.09,0.11,0.16
2024-05-01,33499,14338,3581,0.43,0.11,0.01,0.01,0.01
2024-06-01,24775,10840,2550,0.44,0.1,-0.26,-0.24,-0.29
2024-07-01,32623,14426,3507,0.44,0.11,0.32,0.33,0.38
2024-08-01,30584,13596,3232,0.44,0.11,-0.06,-0.06,-0.08
2024-09-01,29408,12870,2928,0.44,0.1,-0.04,-0.05,-0.09
2024-10-01,30610,13393,3275,0.44,0.11,0.04,0.04,0.12
2024-11-01,27812,12693,2992,0.46,0.11,-0.09,-0.05,-0.09
2024-12-01,26082,11477,2551,0.44,0.1,-0.06,-0.1,-0.15
2025-01-01,30183,13246,3120,0.44,0.1,0.16,0.15,0.22
2025-02-01,26357,11263,2648,0.43,0.1,-0.13,-0.15,-0.15
2025-03-01,26742,11532,2677,0.43,0.1,0.01,0.02,0.01
2025-04-01,29837,12721,3067,0.43,0.1,0.12,0.1,0.15
2025-05-01,32526,13884,3431,0.43,0.11,0.09,0.09,0.12
2025-06-01,29312,12805,2990,0.44,0.1,-0.1,-0.08,-0.13
2025-07-01,32237,14016,3314,0.43,0.1,0.1,0.09,0.11
2025-08-01,28620,13280,3035,0.46,0.11,-0.11,-0.05,-0.08
2025-09-01,30722,13518,3144,0.44,0.1,0.07,0.02,0.04
2025-10-01,31724,14230,3252,0.45,0.1,0.03,0.05,0.03
2025-11-01,27249,12476,2948,0.46,0.11,-0.14,-0.12,-0.09
2025-12-01,28975,12779,2937,0.44,0.1,0.06,0.02,-0.0
2026-01-01,32567,14549,3684,0.45,0.11,0.12,0.14,0.25
