año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva
2023,2023-01-01,3827,18479,-,4.8,48734,-,900572527,7.6,6882234083,372435,-,366,2459358,133,-,auto
2023,2023-02-01,3013,13812,-25.3%,4.6,52141,7.0%,720176981,7.2,5161546594,373700,0.3%,375,1915664,138,4.2%,auto
2023,2023-03-01,4583,21641,56.7%,4.7,52706,1.1%,1140626266,6.7,7592208673,350825,-6.1%,380,3000103,138,-0.0%,auto
2023,2023-04-01,3927,19181,-11.4%,4.9,55159,4.7%,1058022162,6.1,6496500470,338694,-3.5%,419,2520335,131,-5.2%,auto
2023,2023-05-01,3991,19624,2.3%,4.9,60550,9.8%,1188246371,5.7,6769899620,344980,1.9%,477,2487290,126,-3.5%,auto
2023,2023-06-01,4021,20307,3.5%,5.1,69735,15.2%,1416127975,5.4,7615069365,374997,8.7%,487,2902289,142,12.8%,auto
2023,2023-07-01,4028,19487,-4.0%,4.8,71827,3.0%,1399706287,5.1,7077694420,363200,-3.1%,516,2709608,139,-2.7%,auto
2023,2023-08-01,4380,21335,9.5%,4.9,85557,19.1%,1825369770,4.5,8208779425,384756,5.9%,646,2821555,132,-4.9%,auto
2023,2023-09-01,4188,19406,-9.0%,4.6,93471,9.2%,1813901740,4.0,7234789531,372811,-3.1%,733,2471676,127,-3.7%,auto
2023,2023-10-01,3882,18136,-6.5%,4.7,106557,14.0%,1932529819,3.7,7117097512,392429,5.3%,912,2117222,116,-8.3%,auto
2023,2023-11-01,4394,21733,19.8%,4.9,132900,24.7%,2888328162,3.3,9429159689,433863,10.6%,931,3099896,142,22.2%,auto
2023,2023-12-01,3531,16228,-25.3%,4.6,173029,30.2%,2807920303,2.6,7306111669,450216,3.8%,965,2908175,179,25.6%,auto
2024,2024-01-01,4422,18908,16.5%,4.3,198392,14.7%,3751201685,2.2,8092326779,427984,-4.9%,1141,3285340,173,-3.0%,auto
2024,2024-02-01,3728,16634,-12.0%,4.5,219423,10.6%,3649898016,1.9,6953144794,418007,-2.3%,1081,3375303,202,16.8%,auto
2024,2024-03-01,3571,16069,-3.4%,4.5,228261,4.0%,3667933142,1.7,6294496913,391716,-6.3%,1001,3662060,227,12.3%,auto
2024,2024-04-01,3851,18330,14.1%,4.8,222205,-2.7%,4073020379,1.6,6422437742,350378,-10.6%,1004,4053764,221,-3.0%,auto
2024,2024-05-01,3971,18105,-1.2%,4.6,234125,5.4%,4238838438,1.5,6415952485,354374,1.1%,1119,3786085,209,-5.4%,auto
2024,2024-06-01,2939,14222,-21.4%,4.8,230658,-1.5%,3280419331,1.4,4747961462,333846,-5.8%,1278,2565611,180,-13.7%,auto
2024,2024-07-01,3886,18809,32.3%,4.8,233774,1.4%,4397068629,1.4,6117564690,325246,-2.6%,1416,3105224,165,-8.5%,auto
2024,2024-08-01,3748,18013,-4.2%,4.8,232618,-0.5%,4190159555,1.3,5596206678,310675,-4.5%,1340,3125394,173,5.1%,auto
2024,2024-09-01,3385,16540,-8.2%,4.9,236771,1.8%,3916199088,1.3,5054949503,305619,-1.6%,1243,3149920,190,9.8%,auto
2024,2024-10-01,3597,16624,0.5%,4.6,234442,-1.0%,3897367113,1.3,4898779271,294681,-3.6%,1201,3245101,195,2.5%,auto
2024,2024-11-01,3454,15328,-7.8%,4.4,241984,3.2%,3709133287,1.2,4551729288,296955,0.8%,1124,3299800,215,10.3%,auto
2024,2024-12-01,2937,13598,-11.3%,4.6,257275,6.3%,3498432922,1.2,4180129513,307407,3.5%,1105,3165429,232,8.1%,auto
