año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,var_costo_prom_%,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,3827,18479,-,4.83,48734,,-,900572527,8.91,8021168584,434061,,366,2460580,133,-,auto,1202,,-
2023,2023-02-01,3013,13812,"-25,3 %",4.58,52141,0.07,"7,0 %",720176981,8.35,6015726126,435540,0.0,375,1920471,138,"4,2 %",auto,1282,0.0662772168092709,"6,63%"
2023,2023-03-01,4583,21641,"56,7 %",4.72,52706,0.01,"1,1 %",1140626266,7.76,8848636213,408877,-0.06,380,3001648,138,"0,0 %",auto,1381,0.07675239849783555,"7,68%"
2023,2023-04-01,3927,19181,"-11,4 %",4.88,55159,0.05,"4,7 %",1058022162,7.16,7571600276,394738,-0.03,419,2525112,131,"-5,2 %",auto,1497,0.08402689883670966,"8,40%"
2023,2023-05-01,3991,19624,"2,3 %",4.92,60550,0.1,"9,8 %",1188246371,6.64,7890243997,402066,0.02,477,2491082,126,"-3,5 %",auto,1613,0.07772752965890595,"7,77%"
2023,2023-06-01,4021,20307,"3,5 %",5.05,69735,0.15,"15,2 %",1416127975,6.27,8875280093,437049,0.09,487,2907860,142,"12,8 %",auto,1709,0.05950831980500615,"5,95%"
2023,2023-07-01,4028,19487,"-4,0 %",4.84,71827,0.03,"3,0 %",1399706287,5.89,8248975473,423302,-0.03,516,2712609,139,"-2,7 %",auto,1818,0.06344850862315798,"6,34%"
2023,2023-08-01,4380,21335,"9,5 %",4.87,85557,0.19,"19,1 %",1825369770,5.24,9567242681,448426,0.06,646,2825649,132,"-4,9 %",auto,2044,0.12441637728689958,"12,44%"
2023,2023-09-01,4188,19406,"-9,0 %",4.63,93471,0.09,"9,2 %",1813901740,4.65,8432068109,434507,-0.03,733,2474627,127,"-3,7 %",auto,2304,0.12749750132466953,"12,75%"
2023,2023-10-01,3882,18136,"-6,5 %",4.67,106557,0.14,"14,0 %",1932529819,4.29,8294899347,457369,0.05,912,2119001,116,"-8,3 %",auto,2496,0.08301739380410011,"8,30%"
2023,2023-11-01,4394,21733,"19,8 %",4.95,132900,0.25,"24,7 %",2888328162,3.8,10989582540,505661,0.11,931,3102393,142,"22,2 %",auto,2816,0.1281069017691574,"12,81%"
2023,2023-12-01,3531,16228,"-25,3 %",4.6,173029,0.3,"30,2 %",2807920303,3.03,8515193280,524721,0.04,965,2909761,179,"25,6 %",auto,3533,0.2546567498423684,"25,47%"
2024,2024-01-01,4422,18908,"16,5 %",4.28,198392,0.15,"14,7 %",3751201685,2.51,9431518398,498810,-0.05,1141,3287643,173,"-3,0 %",auto,4261,0.20614225288961063,"20,61%"
2024,2024-02-01,3728,16634,"-12,0 %",4.46,219423,0.11,"10,6 %",3649898016,2.22,8103814247,487181,-0.02,1081,3376408,202,"16,8 %",auto,4825,0.1324067605352477,"13,24%"
2024,2024-03-01,3571,16069,"-3,4 %",4.5,228261,0.04,"4,0 %",3667933142,2.0,7336167341,456540,-0.06,1001,3664268,227,"12,3 %",auto,5357,0.11009700156540236,"11,01%"
2024,2024-04-01,3851,18330,"14,1 %",4.76,222205,-0.03,"-2,7 %",4073020379,1.84,7485280979,408362,-0.11,1004,4056793,221,"-3,0 %",auto,5830,0.08831920760605083,"8,83%"
2024,2024-05-01,3971,18105,"-1,2 %",4.56,234125,0.05,"5,4 %",4238838438,1.76,7477722481,413019,0.01,1119,3788059,209,"-5,4 %",auto,6073,0.04176327882665154,"4,18%"
2024,2024-06-01,2939,14222,"-21,4 %",4.84,230658,-0.01,"-1,5 %",3280419331,1.69,5533697180,389094,-0.06,1278,2566838,180,"-13,7 %",auto,6351,0.04577065788302748,"4,58%"
2024,2024-07-01,3886,18809,"32,3 %",4.84,233774,0.01,"1,4 %",4397068629,1.62,7129954770,379070,-0.03,1416,3105274,165,"-8,5 %",auto,6607,0.04030933695146399,"4,03%"
2024,2024-08-01,3748,18013,"-4,2 %",4.81,232618,0.0,"-0,5 %",4190159555,1.56,6522317705,362088,-0.04,1340,3126984,173,"5,1 %",auto,6883,0.04172273279372529,"4,17%"
