año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,var_costo_prom_%,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,3827,18479,-,4.83,48734,,-,900572527,9.21,8292494413,448743,,366,2460580,133,-,auto,1202,,-
2023,2023-02-01,3013,13812,-0.2525569565,4.58,52141,0.07,"7,0%",720176981,8.64,6219215413,450272,0.0,375,1920471,138,"4,2 %",auto,1282,0.07,"6,63%"
2023,2023-03-01,4583,21641,0.5668259485,4.72,52706,0.01,"1,1%",1140626266,8.02,9147952144,422708,-0.06,380,3001648,138,"0,0 %",auto,1381,0.08,"7,68%"
2023,2023-04-01,3927,19181,-0.1136731205,4.88,55159,0.05,"4,7%",1058022162,7.4,7827718908,408090,-0.03,419,2525112,131,"-5,2 %",auto,1497,0.08,"8,40%"
2023,2023-05-01,3991,19624,0.02309577186,4.92,60550,0.1,"9,8%",1188246371,6.86,8157141142,415667,0.02,477,2491082,126,"-3,5 %",auto,1613,0.08,"7,77%"
2023,2023-06-01,4021,20307,0.03480432124,5.05,69735,0.15,"15,2%",1416127975,6.48,9175497287,451832,0.09,487,2907860,142,"12,8 %",auto,1709,0.06,"5,95%"
2023,2023-07-01,4028,19487,-0.04038016448,4.84,71827,0.03,"3,0%",1399706287,6.09,8528007149,437621,-0.03,516,2712609,139,"-2,7 %",auto,1818,0.06,"6,34%"
2023,2023-08-01,4380,21335,0.0948324524,4.87,85557,0.19,"19,1%",1825369770,5.42,9890866355,463595,0.06,646,2825649,132,"-4,9 %",auto,2044,0.12,"12,44%"
2023,2023-09-01,4188,19406,-0.09041481134,4.63,93471,0.09,"9,2%",1813901740,4.81,8717293114,449205,-0.03,733,2474627,127,"-3,7 %",auto,2304,0.13,"12,75%"
2023,2023-10-01,3882,18136,-0.06544367721,4.67,106557,0.14,"14,0%",1932529819,4.44,8575484453,472840,0.05,912,2119001,116,"-8,3 %",auto,2496,0.08,"8,30%"
2023,2023-11-01,4394,21733,0.1983348037,4.95,132900,0.25,"24,7%",2888328162,3.93,11361318598,522765,0.11,931,3102393,142,"22,2 %",auto,2816,0.13,"12,81%"
2023,2023-12-01,3531,16228,-0.253301431,4.6,173029,0.3,"30,2%",2807920303,3.14,8803230099,542470,0.04,965,2909761,179,"25,6 %",auto,3533,0.25,"25,47%"
2024,2024-01-01,4422,18908,0.1651466601,4.28,198392,0.15,"14,7%",3751201685,2.6,9750551030,515683,-0.05,1141,3287643,173,"-3,0 %",auto,4261,0.21,"20,61%"
2024,2024-02-01,3728,16634,-0.1202665538,4.46,219423,0.11,"10,6%",3649898016,2.3,8377935666,503661,-0.02,1081,3376408,202,"16,8 %",auto,4825,0.13,"13,24%"
2024,2024-03-01,3571,16069,-0.03396657449,4.5,228261,0.04,"4,0%",3667933142,2.07,7584322164,471983,-0.06,1001,3664268,227,"12,3 %",auto,5357,0.11,"11,01%"
2024,2024-04-01,3851,18330,0.1407057066,4.76,222205,-0.03,"-2,7%",4073020379,1.9,7738479753,422175,-0.11,1004,4056793,221,"-3,0 %",auto,5830,0.09,"8,83%"
2024,2024-05-01,3971,18105,-0.01227495908,4.56,234125,0.05,"5,4%",4238838438,1.82,7730665581,426990,0.01,1119,3788059,209,"-5,4 %",auto,6073,0.04,"4,18%"
2024,2024-06-01,2939,14222,-0.2144711406,4.84,230658,-0.01,"-1,5%",3280419331,1.74,5720881250,402255,-0.06,1278,2566838,180,"-13,7 %",auto,6351,0.05,"4,58%"
2024,2024-07-01,3886,18809,0.322528477,4.84,233774,0.01,"1,4%",4397068629,1.68,7371134204,391892,-0.03,1416,3105274,165,"-8,5 %",auto,6607,0.04,"4,03%"
2024,2024-08-01,3748,18013,-0.04232016588,4.81,232618,0.0,"-0,5%",4190159555,1.61,6742943073,374336,-0.04,1340,3126984,173,"5,1 %",auto,6883,0.04,"4,17%"
2024,2024-09-01,3385,16540,-0.08177427414,4.89,236771,0.02,"1,8%",3916199088,1.56,6090775180,368244,-0.02,1243,3150602,190,"9,8 %",auto,7122,0.03,"3,47%"
2024,2024-10-01,3597,16624,0.00507859734,4.62,234442,-0.01,"-1,0%",3897367113,1.51,5902603610,355064,-0.04,1201,3245101,195,"2,5 %",auto,7313,0.03,"2,69%"
2024,2024-11-01,3454,15328,-0.07795957652,4.44,241984,0.03,"3,2%",3709133287,1.48,5484438519,357804,0.01,1124,3299940,215,"10,3 %",auto,7491,0.02,"2,43%"
2024,2024-12-01,2937,13598,-0.1128653445,4.63,257275,0.06,"6,3%",3498432922,1.44,5036693059,370398,0.04,1105,3166002,232,"8,1 %",auto,7694,0.03,"2,70%"
2025,2025-01-01,3481,16899,0.2427562877,4.85,255408,-0.01,"-0,7%",4316148442,1.41,6079536435,359756,-0.03,1216,3549464,209,"-9,8 %",auto,7864,0.02,"2,21%"
2025,2025-02-01,3119,14965,-0.1144446417,4.8,252197,-0.01,"-1,3%",3774128294,1.38,5191392831,346902,-0.04,1212,3113967,207,"-0,9 %",auto,8052,0.02,"2,40%"
