año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,var_costo_prom_%,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,3827,18479,-,4.83,48734,,-,900572527,7.98,7189630529,389070,-,366,2459358,133,-,auto,1202,,-
2023,2023-02-01,3013,13812,"-25,3 %",4.58,52141,0.07,"7,0 %",720176981,7.49,5392088169,390391,"0,3 %",375,1915664,138,"4,2 %",auto,1282,0.0662772168092709,6.63%
2023,2023-03-01,4583,21641,"56,7 %",4.72,52706,0.01,"1,1 %",1140626266,6.95,7931316285,366494,"-6,1 %",380,3000103,138,"0,0 %",auto,1381,0.07675239849783555,7.68%
2023,2023-04-01,3927,19181,"-11,4 %",4.88,55159,0.05,"4,7 %",1058022162,6.41,6786668042,353822,"-3,5 %",419,2520335,131,"-5,2 %",auto,1497,0.08402689883670966,8.4%
2023,2023-05-01,3991,19624,"2,3 %",4.92,60550,0.1,"9,8 %",1188246371,5.95,7072278624,360389,"1,9 %",477,2487290,126,"-3,5 %",auto,1613,0.07772752965890595,7.77%
2023,2023-06-01,4021,20307,"3,5 %",5.05,69735,0.15,"15,2 %",1416127975,5.62,7955198055,391746,"8,7 %",487,2902289,142,"12,8 %",auto,1709,0.05950831980500615,5.95%
2023,2023-07-01,4028,19487,"-4,0 %",4.84,71827,0.03,"3,0 %",1399706287,5.28,7393821145,379423,"-3,1 %",516,2709608,139,"-2,7 %",auto,1818,0.06344850862315798,6.34%
2023,2023-08-01,4380,21335,"9,5 %",4.87,85557,0.19,"19,1 %",1825369770,4.7,8575426301,401941,"5,9 %",646,2821555,132,"-4,9 %",auto,2044,0.12441637728689958,12.44%
2023,2023-09-01,4188,19406,"-9,0 %",4.63,93471,0.09,"9,2 %",1813901740,4.17,7557932942,389463,"-3,1 %",733,2471676,127,"-3,7 %",auto,2304,0.12749750132466953,12.75%
2023,2023-10-01,3882,18136,"-6,5 %",4.67,106557,0.14,"14,0 %",1932529819,3.85,7434984184,409957,"5,3 %",912,2117222,116,"-8,3 %",auto,2496,0.08301739380410011,8.3%
2023,2023-11-01,4394,21733,"19,8 %",4.95,132900,0.25,"24,7 %",2888328162,3.41,9850315109,453242,"10,6 %",931,3099896,142,"22,2 %",auto,2816,0.1281069017691574,12.81%
2023,2023-12-01,3531,16228,"-25,3 %",4.6,173029,0.3,"30,2 %",2807920303,2.72,7632440697,470325,"3,8 %",965,2908175,179,"25,6 %",auto,3533,0.2546567498423684,25.47%
2024,2024-01-01,4422,18908,"16,5 %",4.28,198392,0.15,"14,7 %",3751201685,2.25,8453772274,447100,"-4,9 %",1141,3285340,173,"-3,0 %",auto,4261,0.20614225288961063,20.61%
2024,2024-02-01,3728,16634,"-12,0 %",4.46,219423,0.11,"10,6 %",3649898016,1.99,7263708484,436678,"-2,3 %",1081,3375303,202,"16,8 %",auto,4825,0.1324067605352477,13.24%
2024,2024-03-01,3571,16069,"-3,4 %",4.5,228261,0.04,"4,0 %",3667933142,1.79,6575641955,409212,"-6,3 %",1001,3662060,227,"12,3 %",auto,5357,0.11009700156540236,11.01%
2024,2024-04-01,3851,18330,"14,1 %",4.76,222205,-0.03,"-2,7 %",4073020379,1.65,6709297287,366028,"-10,6 %",1004,4053764,221,"-3,0 %",auto,5830,0.08831920760605083,8.83%
2024,2024-05-01,3971,18105,"-1,2 %",4.56,234125,0.05,"5,4 %",4238838438,1.58,6702522365,370202,"1,1 %",1119,3786085,209,"-5,4 %",auto,6073,0.04176327882665154,4.18%
2024,2024-06-01,2939,14222,"-21,4 %",4.84,230658,-0.01,"-1,5 %",3280419331,1.51,4960030169,348757,"-5,8 %",1278,2565611,180,"-13,7 %",auto,6351,0.04577065788302748,4.58%
2024,2024-07-01,3886,18809,"32,3 %",4.84,233774,0.01,"1,4 %",4397068629,1.45,6390807015,339773,"-2,6 %",1416,3105224,165,"-8,5 %",auto,6607,0.04030933695146399,4.03%
2024,2024-08-01,3748,18013,"-4,2 %",4.81,232618,0.0,"-0,5 %",4190159555,1.4,5846162435,324552,"-4,5 %",1340,3125394,173,"5,1 %",auto,6883,0.04172273279372529,4.17%
2024,2024-09-01,3385,16540,"-8,2 %",4.89,236771,0.02,"1,8 %",3916199088,1.35,5280729895,319270,"-1,6 %",1243,3149920,190,"9,8 %",auto,7122,0.034692081048066425,3.47%
2024,2024-10-01,3597,16624,"0,5 %",4.62,234442,-0.01,"-1,0 %",3897367113,1.31,5117584285,307843,"-3,6 %",1201,3245101,195,"2,5 %",auto,7313,0.026917380413114644,2.69%
2024,2024-11-01,3454,15328,"-7,8 %",4.44,241984,0.03,"3,2 %",3709133287,1.28,4755033241,310218,"0,8 %",1124,3299800,215,"10,3 %",auto,7491,0.02426556075508368,2.43%
2024,2024-12-01,2937,13598,"-11,3 %",4.63,257275,0.06,"6,3 %",3498432922,1.25,4366835884,321138,"3,5 %",1105,3165429,232,"8,1 %",auto,7694,0.02704104051463374,2.7%
2025,2025-01-01,3481,16899,"24,3 %",4.85,255408,-0.01,"-0,7 %",4316148442,1.22,5270985852,311911,"-2,9 %",1216,3547172,209,"-9,8 %",auto,7864,0.022110480136651844,2.21%
2025,2025-02-01,3119,14965,"-11,4 %",4.8,252197,-0.01,"-1,3 %",3774128294,1.19,4500961293,300765,"-3,6 %",1212,3112099,207,"-0,9 %",auto,8052,0.02401627430751785,2.4%
