año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva
2023,2023-01-01,3827,18479,-,4.82858636,48734,-,900572527,7.80071156686858,7025106531,380167,-,366,2459358,133,-,auto
2023,2023-02-01,3013,13812,"-25,3 %",4.584135413,52141,"7,0 %",720176981,7.31583817406456,5268698253,381458,"0,3 %",375,1915664,138,"4,2 %",auto
2023,2023-03-01,4583,21641,"56,7 %",4.722016147,52706,"1,1 %",1140626266,6.7943551221904,7749819913,358108,"-6,1 %",380,3000103,138,"0,0 %",auto
2023,2023-04-01,3927,19181,"-11,4 %",4.88439012,55159,"4,7 %",1058022162,6.26769974940802,6631365242,345725,"-3,5 %",419,2520335,131,"-5,2 %",auto
2023,2023-05-01,3991,19624,"2,3 %",4.917063393,60550,"9,8 %",1188246371,5.81566265769578,6910440050,352142,"1,9 %",477,2487290,126,"-3,5 %",auto
2023,2023-06-01,4021,20307,"3,5 %",5.05023626,69735,"15,2 %",1416127975,5.48902028326319,7773155183,382782,"8,7 %",487,2902289,142,"12,8 %",auto
2023,2023-07-01,4028,19487,"-4,0 %",4.837884806,71827,"3,0 %",1399706287,5.16152896802667,7224624548,370740,"-3,1 %",516,2709608,139,"-2,7 %",auto
2023,2023-08-01,4380,21335,"9,5 %",4.871004566,85557,"19,1 %",1825369770,4.59040714124149,8379190428,392743,"5,9 %",646,2821555,132,"-4,9 %",auto
2023,2023-09-01,4188,19406,"-9,0 %",4.633715377,93471,"9,2 %",1813901740,4.07132356022814,7384980891,380551,"-3,1 %",733,2471676,127,"-3,7 %",auto
2023,2023-10-01,3882,18136,"-6,5 %",4.67181865,106557,"14,0 %",1932529819,3.75924115671643,7264845632,400575,"5,3 %",912,2117222,116,"-8,3 %",auto
2023,2023-11-01,4394,21733,"19,8 %",4.946062813,132900,"24,7 %",2888328162,3.33234479003806,9624905303,442870,"10,6 %",931,3099896,142,"22,2 %",auto
2023,2023-12-01,3531,16228,"-25,3 %",4.595865194,173029,"30,2 %",2807920303,2.65598123985443,7457783648,459562,"3,8 %",965,2908175,179,"25,6 %",auto
2024,2024-01-01,4422,18908,"16,5 %",4.275893261,198392,"14,7 %",3751201685,2.20204642818156,8260320272,436869,"-4,9 %",1141,3285340,173,"-3,0 %",auto
2024,2024-02-01,3728,16634,"-12,0 %",4.461909871,219423,"10,6 %",3649898016,1.94457195499322,7097489321,426685,"-2,3 %",1081,3375303,202,"16,8 %",auto
2024,2024-03-01,3571,16069,"-3,4 %",4.499859983,228261,"4,0 %",3667933142,1.75171354597939,6425168171,399848,"-6,3 %",1001,3662060,227,"12,3 %",auto
2024,2024-04-01,3851,18330,"14,1 %",4.759802649,222205,"-2,7 %",4073020379,1.60955860535861,6555765001,357652,"-10,6 %",1004,4053764,221,"-3,0 %",auto
2024,2024-05-01,3971,18105,"-1,2 %",4.559304961,234125,"5,4 %",4238838438,1.54503296293135,6549145112,361731,"1,1 %",1119,3786085,209,"-5,4 %",auto
2024,2024-06-01,2939,14222,"-21,4 %",4.839060905,230658,"-1,5 %",3280419331,1.47741089433412,4846527258,340776,"-5,8 %",1278,2565611,180,"-13,7 %",auto
2024,2024-07-01,3886,18809,"32,3 %",4.840195574,233774,"1,4 %",4397068629,1.42016498541054,6244562906,331998,"-2,6 %",1416,3105224,165,"-8,5 %",auto
2024,2024-08-01,3748,18013,"-4,2 %",4.806029883,232618,"-0,5 %",4190159555,1.36328500924799,5712381707,317125,"-4,5 %",1340,3125394,173,"5,1 %",auto
2024,2024-09-01,3385,16540,"-8,2 %",4.886262925,236771,"1,8 %",3916199088,1.31757557076022,5159888248,311964,"-1,6 %",1243,3149920,190,"9,8 %",auto
2024,2024-10-01,3597,16624,"0,5 %",4.621629135,234442,"-1,0 %",3897367113,1.28303950823209,5000475985,300798,"-3,6 %",1201,3245101,195,"2,5 %",auto
2024,2024-11-01,3454,15328,"-7,8 %",4.437753329,241984,"3,2 %",3709133287,1.25264341338025,4646221382,303119,"0,8 %",1124,3299800,215,"10,3 %",auto
2024,2024-12-01,2937,13598,"-11,3 %",4.62989445,257275,"6,3 %",3498432922,1.21966247108545,4266907343,313789,"3,5 %",1105,3165429,232,"8,1 %",auto
2025,2025-01-01,3481,16899,"24,3 %",4.854639471,255408,"-0,7 %",4316148442,1.19327851028627,5150367184,304773,"-2,9 %",1216,3547172,209,"-9,8 %",auto
2025,2025-02-01,3119,14965,"-11,4 %",4.798012183,252197,"-1,3 %",3774128294,1.16529252534899,4397963491,293883,"-3,6 %",1212,3112099,207,"-0,9 %",auto
2025,2025-03-01,3134,14525,"-2,9 %",4.634652202,250686,"-0,6 %",3641216895,1.12339727416986,4090533134,281620,"-4,2 %",1251,2908866,200,"-3,7 %",auto
2025,2025-04-01,3838,16990,"17,0 %",4.426784784,260828,"4,0 %",4431471668,1.09300266429594,4843610340,285085,"1,2 %",1263,3506219,206,"3,0 %",auto
2025,2025-05-01,3872,17888,"5,3 %",4.619834711,259068,"-0,7 %",4634211759,1.07683815379106,4990296035,278974,"-2,1 %",1162,3987643,222,"8,0 %",auto
2025,2025-06-01,3400,16247,"-9,2 %",4.778529412,258973,"0,0 %",4207550500,1.05968268709943,4458668420,274430,"-1,6 %",1181,3560162,219,"-1,7 %",auto
2025,2025-07-01,3490,17117,"5,4 %",4.904584527,267697,"3,4 %",4582177912,1.03990694564357,4765038637,278380,"1,4 %",1282,3572215,208,"-4,8 %",auto
2025,2025-08-01,3491,16339,"-4,5 %",4.68,269088,"0,5 %",4396635464,1.02075960323951,4487907871,274674,"-1,3 %",1329,3308109,214,"2,7 %",auto
2025,2025-09-01,3558,16610,"1,7 %",4.67,284774,"5,8 %",4730111647,1.0,4730111647,284774,"3,7 %",1406,3362195,233,"8,9 %",auto
2023,2023-01-01,20,268,-,13.4,88674,-,23764796,7.80071156686858,185382326,691725,-,366,64898,242,-,camion
2023,2023-02-01,17,83,"-69,0 %",4.882352941,104515,"17,9 %",8674756,7.31583817406456,63463114,764615,"10,5 %",375,23074,278,"14,8 %",camion
2023,2023-03-01,38,327,"294,0 %",8.605263158,101630,"-2,8 %",33233302,6.7943551221904,225798857,690516,"-9,7 %",380,87411,267,"-3,8 %",camion
2023,2023-04-01,39,294,"-10,1 %",7.538461538,227918,"124,3 %",67008033,6.26769974940802,419986233,1428524,"106,9 %",419,159621,542,"103,1 %",camion
2023,2023-05-01,25,334,"13,6 %",13.36,123260,"-45,9 %",41169041,5.81566265769578,239425259,716842,"-49,8 %",477,86176,258,"-52,5 %",camion
2023,2023-06-01,26,343,"2,7 %",13.19230769,130548,"5,9 %",44778225,5.48902028326319,245788590,716584,"0,0 %",487,91770,267,"3,7 %",camion
2023,2023-07-01,20,153,"-55,4 %",7.65,141985,"8,8 %",21723804,5.16152896802667,112128048,732863,"2,3 %",516,42053,274,"2,7 %",camion
2023,2023-08-01,46,556,"263,4 %",12.08695652,198241,"39,6 %",110222498,4.59040714124149,505966143,910011,"24,2 %",646,170375,306,"11,5 %",camion
2023,2023-09-01,47,335,"-39,7 %",7.127659574,273188,"37,8 %",91518028,4.07132356022814,372599505,1112237,"22,2 %",733,124705,372,"21,5 %",camion
2023,2023-10-01,44,263,"-21,5 %",5.977272727,229202,"-16,1 %",60280385,3.75924115671643,226608506,861629,"-22,5 %",912,66041,251,"-32,5 %",camion
2023,2023-11-01,58,405,"54,0 %",6.982758621,304415,"32,8 %",123288258,3.33234479003806,410838986,1014417,"17,7 %",931,132319,326,"30,1 %",camion
2023,2023-12-01,28,136,"-66,4 %",4.857142857,506551,"66,4 %",68890939,2.65598123985443,182973043,1345390,"32,6 %",965,71350,524,"60,6 %",camion
2024,2024-01-01,47,676,"397,1 %",14.38297872,401490,"-20,7 %",271407319,2.20204642818156,597651518,884099,"-34,3 %",1141,237701,351,"-33,0 %",camion
2024,2024-02-01,32,537,"-20,6 %",16.78125,380230,"-5,3 %",204183664,1.94457195499322,397049827,739385,"-16,4 %",1081,188822,351,"0,0 %",camion
2024,2024-03-01,47,476,"-11,4 %",10.12765957,492012,"29,4 %",234197994,1.75171354597939,410247799,861865,"16,6 %",1001,233822,491,"39,7 %",camion
2024,2024-04-01,34,273,"-42,6 %",8.029411765,394722,"-19,8 %",107759355,1.60955860535861,173444997,635329,"-26,3 %",1004,107249,392,"-20,0 %",camion
2024,2024-05-01,40,333,"22,0 %",8.325,452833,"14,7 %",150793712,1.54503296293135,232981256,699643,"10,1 %",1119,134687,404,"3,0 %",camion
2024,2024-06-01,31,362,"8,7 %",11.67741935,512015,"13,1 %",185349644,1.47741089433412,273837584,756457,"8,1 %",1278,144961,400,"-1,0 %",camion
2024,2024-07-01,43,707,"95,3 %",16.44186047,469738,"-8,3 %",332104865,1.42016498541054,471643701,667105,"-11,8 %",1416,234533,331,"-17,2 %",camion
2024,2024-08-01,45,619,"-12,4 %",13.75555556,708014,"50,7 %",438260888,1.36328500924799,597474499,965225,"44,7 %",1340,326894,528,"59,2 %",camion
2024,2024-09-01,41,385,"-37,8 %",9.390243902,491453,"-30,6 %",189209464,1.31757557076022,249297767,647526,"-32,9 %",1243,152187,395,"-25,1 %",camion
2024,2024-10-01,27,405,"5,2 %",15.0,519416,"5,7 %",210363663,1.28303950823209,269904891,666431,"2,9 %",1201,175157,432,"9,4 %",camion
2024,2024-11-01,28,358,"-11,6 %",12.78571429,493978,"-4,9 %",176844256,1.25264341338025,221522793,618778,"-7,2 %",1124,157328,439,"1,6 %",camion
2024,2024-12-01,26,380,"6,1 %",14.61538462,521670,"5,6 %",198234699,1.21966247108545,241779423,636261,"2,8 %",1105,179365,472,"7,4 %",camion
2025,2025-01-01,46,444,"16,8 %",9.652173913,648830,"24,4 %",288080698,1.19327851028627,343760507,774235,"21,7 %",1216,236755,533,"13,0 %",camion
2025,2025-02-01,43,585,"31,8 %",13.60465116,553379,"-14,7 %",323726745,1.16529252534899,377236356,644848,"-16,7 %",1212,266941,456,"-14,4 %",camion
2025,2025-03-01,39,439,"-25,0 %",11.25641026,503787,"-9,0 %",221162852,1.12339727416986,248453745,565953,"-12,2 %",1251,176680,402,"-11,8 %",camion
2025,2025-04-01,40,352,"-19,8 %",8.8,470877,"-6,5 %",165748908,1.09300266429594,181163998,514670,"-9,1 %",1263,131141,372,"-7,4 %",camion
2025,2025-05-01,24,451,"28,1 %",18.79166667,466050,"-1,0 %",210188849,1.07683815379106,226339372,501861,"-2,5 %",1162,180863,401,"7,6 %",camion
2025,2025-06-01,15,231,"-48,8 %",15.4,649394,"39,3 %",150010125,1.05968268709943,158963132,688152,"37,1 %",1181,126929,549,"37,0 %",camion
2025,2025-07-01,38,447,"93,5 %",11.76315789,549187,"-15,4 %",245486802,1.03990694564357,255283430,571103,"-17,0 %",1282,191378,428,"-22,1 %",camion
2025,2025-08-01,35,409,"-8,5 %",11.69,676370,"23,2 %",276635530,1.02075960323951,282378374,690411,"20,9 %",1329,208145,508,"18,9 %",camion
2025,2025-09-01,30,263,"-35,7 %",8.77,751556,"11,1 %",197659273,1.0,197659273,751556,"8,9 %",1406,140497,534,"5,0 %",camion
