año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,var_costo_prom_%,monto_total_compras,ipc,var_ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva
2023,2023-01-01,3827,18479,-,4.82858636,48734.91679,,-,900572527.430001,7.800711567,,7025106532.0,380167.0291,-,366.1818182,2459358.938,133.0893954,-,auto
2023,2023-02-01,3013,13812,"-25,3 %",4.584135413,52141.39745,0.07,"7,0 %",720176981.56,7.315838174,-0.06,5268698254.0,381458.0259,"0,3 %",375.9411765,1915664.01,138.6956277,"4,2 %",auto
2023,2023-03-01,4583,21641,"56,7 %",4.722016147,52706.7264,0.01,"1,1 %",1140626266.03,6.794355122,-0.07,7749819913.0,358108.2165,"-6,1 %",380.1956522,3000103.393,138.6305343,"0,0 %",auto
2023,2023-04-01,3927,19181,"-11,4 %",4.88439012,55159.90628,0.05,"4,7 %",1058022162.4,6.267699749,-0.08,6631365242.0,345725.7308,"-3,5 %",419.7941176,2520335.845,131.3975207,"-5,2 %",auto
2023,2023-05-01,3991,19624,"2,3 %",4.917063393,60550.67119,0.1,"9,8 %",1188246371.45,5.815662658,-0.07,6910440051.0,352142.2773,"1,9 %",477.7272727,2487290.216,126.7473612,"-3,5 %",auto
2023,2023-06-01,4021,20307,"3,5 %",5.05023626,69735.95194,0.15,"15,2 %",1416127975.97,5.489020283,-0.06,7773155184.0,382782.0547,"8,7 %",487.9347826,2902289.458,142.9206411,"12,8 %",auto
2023,2023-07-01,4028,19487,"-4,0 %",4.837884806,71827.69473,0.03,"3,0 %",1399706287.23,5.161528968,-0.06,7224624548.0,370740.7271,"-3,1 %",516.5714286,2709608.41,139.0469754,"-2,7 %",auto
2023,2023-08-01,4380,21335,"9,5 %",4.871004566,85557.5238,0.19,"19,1 %",1825369770.26,4.590407141,-0.11,8379190429.0,392743.8682,"5,9 %",646.9375,2821555.05,132.2500609,"-4,9 %",auto
2023,2023-09-01,4188,19406,"-9,0 %",4.633715377,93471.1811,0.09,"9,2 %",1813901740.34,4.07132356,-0.11,7384980891.0,380551.4218,"-3,1 %",733.875,2471676.703,127.3666239,"-3,7 %",auto
2023,2023-10-01,3882,18136,"-6,5 %",4.67181865,106557.6654,0.14,"14,0 %",1932529819.08,3.759241157,-0.08,7264845632.0,400575.9613,"5,3 %",912.7666667,2117222.166,116.7414075,"-8,3 %",auto
2023,2023-11-01,4394,21733,"19,8 %",4.946062813,132900.5734,0.25,"24,7 %",2888328162.23,3.33234479,-0.11,9624905303.0,442870.5334,"10,6 %",931.75,3099896.069,142.6354424,"22,2 %",auto
2023,2023-12-01,3531,16228,"-25,3 %",4.595865194,173029.3507,0.3,"30,2 %",2807920303.15,2.65598124,-0.2,7457783648.0,459562.7094,"3,8 %",965.5263158,2908175.839,179.2072861,"25,6 %",auto
2024,2024-01-01,4422,18908,"16,5 %",4.275893261,198392.3041,0.15,"14,7 %",3751201685.21,2.202046428,-0.17,8260320272.0,436869.0646,"-4,9 %",1141.8,3285340.414,173.7539885,"-3,0 %",auto
2024,2024-02-01,3728,16634,"-12,0 %",4.461909871,219423.9519,0.11,"10,6 %",3649898016.57,1.944571955,-0.12,7097489322.0,426685.6631,"-2,3 %",1081.354167,3375303.05,202.9158981,"16,8 %",auto
2024,2024-03-01,3571,16069,"-3,4 %",4.499859983,228261.4439,0.04,"4,0 %",3667933142.28,1.751713546,-0.1,6425168171.0,399848.6633,"-6,3 %",1001.603774,3662060.027,227.8959504,"12,3 %",auto
