año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,marca
2023,2023-01-01,596,2834,4.76,43208.21,122452061.64,7.501355385,918556432.0,324120.1242,366.1818182,334402.353,117.996596,volkswagen
2023,2023-02-01,539,2381,4.42,52820.69,125766070.52999997,7.03508925,884775530.8,371598.291,375.9411765,334536.5669,140.502548,volkswagen
2023,2023-03-01,721,3444,4.78,49810.55,171547542.4,6.533618369,1120826174.0,325443.14,380.1956522,451208.5854,131.0129458,volkswagen
2023,2023-04-01,644,2981,4.63,51923.26,154783228.61,6.027173658,932905398.2,312950.4858,419.7941176,368712.238,123.6874331,volkswagen
2023,2023-05-01,610,2801,4.59,59314.43,166139713.07,5.592483714,929133639.6,331714.9731,477.7272727,347771.0454,124.1596021,volkswagen
2023,2023-06-01,677,3224,4.76,64448.56,207782149.37,5.278376403,1096752394.0,340183.7451,487.9347826,425840.0032,132.0843682,volkswagen
2023,2023-07-01,651,3298,5.07,57904.9,190970350.58,4.96345273,947872307.9,287408.2195,516.5714286,369688.1787,112.094657,volkswagen
2023,2023-08-01,709,3215,4.53,66561.64,213995666.44,4.414247987,944629939.8,293819.5769,646.9375,330782.5971,102.8872775,volkswagen
2023,2023-09-01,628,2941,4.68,75770.96,222842391.65999997,3.915084496,872446792.7,296649.7085,733.875,303651.7004,103.247773,volkswagen
2023,2023-10-01,603,2782,4.61,93592.68,260374825.14,3.61497841,941249371.3,338335.5037,912.7666667,285258.9108,102.5373511,volkswagen
2023,2023-11-01,648,3036,4.69,108306.15,328817481.38000005,3.204464403,1053683914.0,347063.2129,931.75,352903.1193,116.2394991,volkswagen
2023,2023-12-01,563,2497,4.44,130958.2,327002619.08000004,2.55405664,835183210.7,334474.6539,965.5263158,338678.101,135.6340012,volkswagen
2024,2024-01-01,721,3138,4.35,172178.27,540295418.5699999,2.117541803,1144098135.0,364594.6892,1141.8,473196.1977,150.7954741,volkswagen
2024,2024-02-01,589,2543,4.32,194895.05,495618108.69000006,1.86994804,926780111.0,364443.6142,1081.354167,458330.9742,180.2323925,volkswagen
2024,2024-03-01,510,2396,4.7,204679.52,490412128.5600001,1.684490668,826094654.2,344780.7405,1001.603774,489626.8779,204.3517854,volkswagen
2024,2024-04-01,570,2526,4.43,199334.11,503517971.2699999,1.547790994,779340581.4,308527.5461,1004.75,501137.5678,198.3917529,volkswagen
2024,2024-05-01,638,2970,4.66,209962.63,623589005.75,1.485741555,926492099.4,311950.2018,1119.583333,556983.109,187.5364003,volkswagen
2024,2024-06-01,461,2205,4.78,226804.76,500104496.75,1.420714517,710505718.7,322224.8157,1278.611111,391131.0424,177.3836927,volkswagen
2024,2024-07-01,660,3057,4.63,200081.32,611648602.2299999,1.365665449,835307362.7,273244.1488,1416.022727,431948.2946,141.298101,volkswagen
2024,2024-08-01,633,3019,4.77,213510.44,644588020.18,1.31096827,845034441.5,279905.4129,1340.681818,480791.2,159.2551176,volkswagen
