año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_costo_prom,var_cant_piezas,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,3,12,4.0,208527,2502329,8.91,22287602,1857296,-,366,6836,569,-,FORD,-,,-,1202,,-
2023,2023-02-01,1,5,5.0,66483,332418,8.35,2776728,555340,"-70,10%",375,886,177,"-68,88%",FORD,"-68,12%",-0.68,-0.5833333333,1282,0.07,"6,63%"
2023,2023-04-01,4,29,7.0,240554,6976087,7.16,49923474,1721493,"209,99%",419,16649,574,"223,83%",FORD,"261,83%",2.62,4.8,1497,0.17,"16,72%"
2023,2023-05-01,1,4,4.0,89023,356093,6.64,2364543,591134,"-65,66%",477,746,186,"-67,49%",FORD,"-62,99%",-0.63,-0.8620689655,1613,0.08,"7,77%"
2023,2023-06-01,2,25,12.0,81885,2047141,6.27,12830019,513196,"-13,18%",487,4203,168,"-9,91%",FORD,"-8,02%",-0.08,5.25,1709,0.06,"5,95%"
2023,2023-07-01,4,48,12.0,120007,5760348,5.89,33947814,707244,"37,81%",516,11163,232,"38,32%",FORD,"46,56%",0.47,0.92,1818,0.06,"6,34%"
2023,2023-08-01,1,4,4.0,47659,190639,5.24,999189,249793,"-64,68%",646,295,73,"-68,28%",FORD,"-60,29%",-0.6,-0.9166666667,2044,0.12,"12,44%"
2023,2023-09-01,3,4,1.0,241767,967069,4.65,4495498,1123873,"349,92%",733,1319,329,"347,08%",FORD,"407,29%",4.07,0,2304,0.13,"12,75%"
2023,2023-10-01,11,80,7.0,166067,13285417,4.29,57024318,712800,"-36,58%",912,14567,182,"-44,79%",FORD,"-31,31%",-0.31,19,2496,0.08,"8,30%"
2023,2023-11-01,6,33,5.0,254471,8397549,3.8,31951202,968217,"35,83%",931,9019,273,"50,11%",FORD,"53,23%",0.53,-0.5875,2816,0.13,"12,81%"
2023,2023-12-01,1,1,1.0,1785000,1785000,3.03,5413123,5413123,"459,08%",965,1849,1849,"576,74%",FORD,"601,46%",6.01,-0.9696969697,3533,0.25,"25,47%"
2024,2024-01-01,1,7,7.0,235085,1645600,2.51,4137475,591066,"-89,08%",1141,1442,206,"-88,86%",FORD,"-86,83%",-0.87,6,4261,0.21,"20,61%"
2024,2024-02-01,3,6,2.0,243870,1463221,2.22,3248767,541460,"-8,39%",1081,1353,225,"9,49%",FORD,"3,74%",0.04,-0.1428571429,4825,0.13,"13,24%"
2024,2024-03-01,8,40,5.0,318513,12740541,2.0,25482127,637052,"17,65%",1001,12727,318,"41,05%",FORD,"30,61%",0.31,5.666666667,5357,0.11,"11,01%"
2024,2024-04-01,2,10,5.0,96407,964075,1.84,1771749,177174,"-72,19%",1004,960,96,"-69,82%",FORD,"-69,73%",-0.7,-0.75,5830,0.09,"8,83%"
2024,2024-05-01,4,41,10.0,313536,12855011,1.76,22677487,553107,"212,18%",1119,11487,280,"191,80%",FORD,"225,22%",2.25,3.1,6073,0.04,"4,18%"
2024,2024-06-01,4,10,2.0,269894,2698944,1.69,4552813,455280,"-17,69%",1278,2111,211,"-24,63%",FORD,"-13,92%",-0.14,-0.756097561,6351,0.05,"4,58%"
2024,2024-07-01,7,162,23.0,310315,50271169,1.62,81515935,503183,"10,52%",1416,35502,219,"3,77%",FORD,"14,98%",0.15,15.2,6607,0.04,"4,03%"
2024,2024-08-01,2,34,17.0,682864,23217390,1.56,36139720,1062932,"111,24%",1340,17326,509,"132,54%",FORD,"120,06%",1.2,-0.7901234568,6883,0.04,"4,17%"
2024,2024-09-01,4,17,4.0,165077,2806318,1.5,4221795,248340,"-76,64%",1243,2257,132,"-73,94%",FORD,"-75,83%",-0.76,-0.5,7122,0.03,"3,47%"
2024,2024-11-01,3,21,7.0,157584,3309271,1.43,4733087,225384,"-9,24%",1124,2944,140,"5,57%",FORD,"-4,54%",-0.05,0.2352941176,7491,0.05,"5,18%"
2024,2024-12-01,1,2,2.0,651000,1302000,1.39,1813156,906578,"302,24%",1105,1178,589,"320,22%",FORD,"313,11%",3.13,-0.9047619048,7694,0.03,"2,70%"
2025,2025-03-01,9,37,4.0,443285,16401565,1.28,21037948,568592,"-37,28%",1251,13110,354,"-39,85%",FORD,"-31,91%",-0.32,17.5,8353,0.09,"8,57%"
2025,2025-04-01,3,12,4.0,413062,4956750,1.25,6185901,515491,"-9,34%",1263,3924,327,"-7,70%",FORD,"-6,82%",-0.07,-0.6756756757,8585,0.03,"2,78%"
2025,2025-05-01,1,2,2.0,26919,53838,1.23,66194,33097,"-93,58%",1162,46,23,"-92,92%",FORD,"-93,48%",-0.93,-0.8333333333,8714,0.02,"1,50%"
2025,2025-06-01,2,15,7.0,587165,8807477,1.21,10656438,710429,"2046,48%",1181,7457,497,"2046,14%",FORD,"2081,23%",20.81,6.5,8855,0.02,"1,62%"
