año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_costo_prom,var_cant_piezas,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,3,12,4,208527,2502329,7.98,19519951,1626662,-,366,6833,569,-,FORD,-,,-,1202,,-
2023,2023-02-01,1,5,5,66483,332418,7.49,2431923,486384,"-70,10%",375,884,176,"-69,07%",FORD,"-68,12%",-0.68,"-58,33%",1282,0.0662772168092709,6.63%
2023,2023-04-01,4,29,7,240554,6976087,6.41,43724021,1507724,"209,99%",419,16617,573,"225,57%",FORD,"261,83%",2.62,"480,00%",1497,0.1672285633585977,16.72%
2023,2023-05-01,1,4,4,89023,356093,5.95,2070918,517729,"-65,66%",477,745,186,"-67,54%",FORD,"-62,99%",-0.63,"-86,21%",1613,0.07772752965890595,7.77%
2023,2023-06-01,2,25,12,81885,2047141,5.62,11236803,449472,"-13,18%",487,4195,167,"-10,22%",FORD,"-8,02%",-0.08,"525,00%",1709,0.05950831980500615,5.95%
2023,2023-07-01,4,48,12,120007,5760348,5.28,29732203,619420,"37,81%",516,11151,232,"38,92%",FORD,"46,56%",0.47,"92,00%",1818,0.06344850862315798,6.34%
2023,2023-08-01,1,4,4,47659,190639,4.7,875112,218778,"-64,68%",646,294,73,"-68,53%",FORD,"-60,29%",-0.6,"-91,67%",2044,0.12441637728689958,12.44%
2023,2023-09-01,3,4,1,241767,967069,4.17,3937250,984312,"349,91%",733,1317,329,"350,68%",FORD,"407,29%",4.07,"0,00%",2304,0.12749750132466953,12.75%
2023,2023-10-01,11,80,7,166067,13285417,3.85,49943088,624288,"-36,58%",912,14555,181,"-44,98%",FORD,"-31,31%",-0.31,"1900,00%",2496,0.08301739380410011,8.3%
2023,2023-11-01,6,33,5,254471,8397549,3.41,27983530,847985,"35,83%",931,9012,273,"50,83%",FORD,"53,23%",0.53,"-58,75%",2816,0.1281069017691574,12.81%
2023,2023-12-01,1,1,1,1785000,1785000,2.72,4740926,4740926,"459,08%",965,1848,1848,"576,92%",FORD,"601,46%",6.01,"-96,97%",3533,0.2546567498423684,25.47%
2024,2024-01-01,1,7,7,235085,1645600,2.25,3623687,517669,"-89,08%",1141,1441,205,"-88,91%",FORD,"-86,83%",-0.87,"600,00%",4261,0.20614225288961063,20.61%
2024,2024-02-01,3,6,2,243870,1463221,1.99,2845338,474223,"-8,39%",1081,1353,225,"9,76%",FORD,"3,74%",0.04,"-14,29%",4825,0.1324067605352477,13.24%
2024,2024-03-01,8,40,5,318513,12740541,1.79,22317779,557944,"17,65%",1001,12720,318,"41,33%",FORD,"30,61%",0.31,"566,67%",5357,0.11009700156540236,11.01%
2024,2024-04-01,2,10,5,96407,964075,1.65,1551735,155173,"-72,19%",1004,959,95,"-70,13%",FORD,"-69,73%",-0.7,"-75,00%",5830,0.08831920760605083,8.83%
2024,2024-05-01,4,41,10,313536,12855011,1.58,19861416,484424,"212,18%",1119,11481,280,"194,74%",FORD,"225,22%",2.25,"310,00%",6073,0.04176327882665154,4.18%
2024,2024-06-01,4,10,2,269894,2698944,1.51,3987449,398744,"-17,69%",1278,2110,211,"-24,64%",FORD,"-13,92%",-0.14,"-75,61%",6351,0.04577065788302748,4.58%
2024,2024-07-01,7,162,23,310315,50271169,1.45,71393355,440699,"10,52%",1416,35501,219,"3,79%",FORD,"14,98%",0.15,"1520,00%",6607,0.04030933695146399,4.03%
2024,2024-08-01,2,34,17,682864,23217390,1.4,31651920,930938,"111,24%",1340,17317,509,"132,42%",FORD,"120,06%",1.2,"-79,01%",6883,0.04172273279372529,4.17%
2024,2024-09-01,4,17,4,165077,2806318,1.35,3697536,217502,"-76,64%",1243,2257,132,"-74,07%",FORD,"-75,83%",-0.76,"-50,00%",7122,0.034692081048066425,3.47%
2024,2024-11-01,3,21,7,157584,3309271,1.28,4145336,197396,"-9,24%",1124,2944,140,"6,06%",FORD,"-4,54%",-0.05,"23,53%",7491,0.05183610649798043,5.18%
2024,2024-12-01,1,2,2,651000,1302000,1.25,1588000,794000,"302,24%",1105,1178,589,"320,71%",FORD,"313,11%",3.13,"-90,48%",7694,0.02704104051463374,2.7%
2025,2025-03-01,9,37,4,443285,16401565,1.15,18425474,497985,"-37,28%",1251,13102,354,"-39,90%",FORD,"-31,91%",-0.32,"1750,00%",8353,0.08569114339958728,8.57%
2025,2025-04-01,3,12,4,413062,4956750,1.12,5417741,451478,"-9,34%",1263,3921,326,"-7,91%",FORD,"-6,82%",-0.07,"-67,57%",8585,0.027808358448509596,2.78%
2025,2025-05-01,1,2,2,26919,53838,1.1,57975,28987,"-93,58%",1162,46,23,"-92,94%",FORD,"-93,48%",-0.93,"-83,33%",8714,0.015011086343823088,1.5%
2025,2025-06-01,2,15,7,587165,8807477,1.08,9333131,622208,"2046,45%",1181,7452,496,"2056,52%",FORD,"2081,23%",20.81,"650,00%",8855,0.016189248819933333,1.62%
2025,2025-07-01,3,3,1,337276,1011830,1.06,1052209,350736,"-43,63%",1282,788,262,"-47,18%",FORD,"-42,56%",-0.43,"-80,00%",9023,0.01901683755331285,1.9%
2025,2025-08-01,1,2,2,157110,314220,1.04,320743,160371,"-54,28%",1329,236,118,"-54,96%",FORD,"-53,42%",-0.53,"-33,33%",9193,0.018757935113502766,1.88%
2025,2025-10-01,3,27,9,426337,11511108,1.0,11511108,426337,"165,84%",1462,7870,291,"147,02%",FORD,"171,36%",1.71,"1250,00%",9603,0.04466521235958498,4.47%
2023,2023-01-01,4,106,26,74490,7895975,7.98,61594229,581077,-,366,21562,203,-,IVECO,-,,-,1202,,-
2023,2023-02-01,2,6,3,63013,378079,7.49,2765970,460995,"-20,67%",375,1005,167,"-17,73%",IVECO,"-15,41%",-0.15,"-94,34%",1282,0.0662772168092709,6.63%
2023,2023-03-01,5,27,5,79436,2144781,6.95,14572408,539718,"17,08%",380,5641,208,"24,55%",IVECO,"26,06%",0.26,"350,00%",1381,0.07675239849783555,7.68%
2023,2023-04-01,9,76,8,71294,5418392,6.41,33960854,446853,"-17,21%",419,12907,169,"-18,75%",IVECO,"-10,25%",-0.1,"181,48%",1497,0.08402689883670966,8.4%
2023,2023-05-01,4,149,37,130923,19507529,5.95,113449211,761404,"70,39%",477,40834,274,"62,13%",IVECO,"83,64%",0.84,"96,05%",1613,0.07772752965890595,7.77%
2023,2023-06-01,3,119,39,153677,18287650,5.62,100381284,843540,"10,79%",487,37479,314,"14,60%",IVECO,"17,38%",0.17,"-20,13%",1709,0.05950831980500615,5.95%
