año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,var_costo_pieza_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca
2023,2023-01-01,3,8,2.67,81507,-,652057,7.800711567,5086510,635813,-,366,1780,222,-,MERCEDES BENZ
2023,2023-02-01,8,30,3.75,58657,"-28,03%",1759713,7.315838174,12873775,429125,"-32,51%",375,4680,156,"-29,90%",MERCEDES BENZ
2023,2023-03-01,16,112,7.0,122678,"109,14%",13739952,6.794355122,93354118,833518,"94,24%",380,36139,322,"106,80%",MERCEDES BENZ
2023,2023-05-01,7,20,2.86,164834,"34,36%",3296690,5.815662658,19172438,958621,"15,01%",477,6900,345,"6,93%",MERCEDES BENZ
2023,2023-06-01,10,51,5.1,159041,"-3,51%",8111137,5.489020283,44522197,872984,"-8,93%",487,16623,325,"-5,53%",MERCEDES BENZ
2023,2023-07-01,4,14,3.5,133989,"-15,75%",1875850,5.161528968,9682256,691589,"-20,78%",516,3631,259,"-20,42%",MERCEDES BENZ
2023,2023-08-01,7,43,6.14,205232,"53,17%",8825002,4.590407141,40510352,942101,"36,22%",646,13641,317,"22,31%",MERCEDES BENZ
2023,2023-09-01,11,109,9.91,265944,"29,58%",28987959,4.07132356,118019363,1082746,"14,93%",733,39499,362,"14,23%",MERCEDES BENZ
2023,2023-10-01,10,37,3.7,386231,"45,23%",14290555,3.759241157,53721643,1451936,"34,10%",912,15656,423,"16,77%",MERCEDES BENZ
2023,2023-11-01,15,129,8.6,323180,"-16,32%",41690315,3.33234479,138926504,1076949,"-25,83%",931,44744,346,"-18,03%",MERCEDES BENZ
2023,2023-12-01,6,9,1.5,427645,"32,32%",3848809,2.65598124,10222365,1135818,"5,47%",965,3986,442,"27,69%",MERCEDES BENZ
2024,2024-01-01,12,155,12.92,541745,"26,68%",83970597,2.202046428,184907154,1192949,"5,03%",1141,73542,474,"7,12%",MERCEDES BENZ
2024,2024-02-01,8,34,4.25,451052,"-16,74%",15335795,1.944571955,29821557,877104,"-26,48%",1081,14182,417,"-12,09%",MERCEDES BENZ
2024,2024-03-01,10,47,4.7,750431,"66,37%",35270292,1.751713546,61783448,1314541,"49,87%",1001,35213,749,"79,62%",MERCEDES BENZ
2024,2024-04-01,14,81,5.79,374513,"-50,09%",30335560,1.609558605,48826862,602800,"-54,14%",1004,30192,372,"-50,25%",MERCEDES BENZ
2024,2024-05-01,7,42,6.0,232833,"-37,83%",9778992,1.545032963,15108865,359734,"-40,32%",1119,8734,207,"-44,21%",MERCEDES BENZ
2024,2024-06-01,6,34,5.67,380103,"63,25%",12923523,1.477410894,19093354,561569,"56,11%",1278,10107,297,"42,95%",MERCEDES BENZ
2024,2024-07-01,6,117,19.5,755599,"98,79%",88405116,1.420164985,125549851,1073075,"91,09%",1416,62431,533,"79,50%",MERCEDES BENZ
2024,2024-08-01,12,144,12.0,1578307,"108,88%",227276231,1.363285009,309842279,2151682,"100,52%",1340,169522,1177,"120,62%",MERCEDES BENZ
2024,2024-09-01,6,54,9.0,549233,"-65,20%",29658610,1.317575571,39077460,723656,"-66,37%",1243,23855,441,"-62,47%",MERCEDES BENZ
2024,2024-10-01,6,25,4.17,480039,"-12,60%",12000984,1.283039508,15397736,615909,"-14,89%",1201,9992,399,"-9,52%",MERCEDES BENZ
2024,2024-11-01,7,95,13.57,522501,"8,85%",49637641,1.252643413,62178264,654508,"6,27%",1124,44159,464,"16,30%",MERCEDES BENZ
2024,2024-12-01,7,95,13.57,597317,"14,32%",56745127,1.219662471,69209902,728525,"11,31%",1105,51343,540,"16,27%",MERCEDES BENZ
2025,2025-01-01,18,94,5.22,597219,"-0,02%",56138657,1.19327851,66989053,712649,"-2,18%",1216,46136,490,"-9,19%",MERCEDES BENZ
2025,2025-02-01,14,83,5.93,830889,"39,13%",68963796,1.165292525,80362996,968228,"35,86%",1212,56866,685,"39,59%",MERCEDES BENZ
2025,2025-03-01,7,84,12.0,414689,"-50,09%",34833886,1.123397274,39132292,465860,"-51,89%",1251,27827,331,"-51,65%",MERCEDES BENZ
2025,2025-04-01,3,6,2.0,551296,"32,94%",3307776,1.093002664,3615408,602568,"29,35%",1263,2617,436,"31,67%",MERCEDES BENZ
2025,2025-05-01,8,110,13.75,419114,"-23,98%",46102600,1.076838154,49645039,451318,"-25,10%",1162,39670,360,"-17,32%",MERCEDES BENZ
2025,2025-06-01,4,36,9.0,930851,"122,10%",33510670,1.059682687,35510677,986407,"118,56%",1181,28354,787,"118,40%",MERCEDES BENZ
2025,2025-07-01,13,108,8.31,592244,"-36,38%",63962396,1.039906946,66514939,615879,"-37,56%",1282,49864,461,"-41,38%",MERCEDES BENZ
2025,2025-08-01,9,96,10.67,798604,"34,84%",76666051,1.020759603,78257608,815183,"32,36%",1329,57684,600,"30,14%",MERCEDES BENZ
2025,2025-09-01,2,9,4.5,1105304,"38,40%",9947741,1.0,9947741,1105304,"35,59%",1406,7070,785,"30,75%",MERCEDES BENZ
2023,2023-01-01,3,12,4.0,208527,-,2502329,7.800711567,19519951,1626662,-,366,6833,569,-,FORD
2023,2023-02-01,1,5,5.0,66483,"-68,12%",332418,7.315838174,2431923,486384,"-70,10%",375,884,176,"-68,95%",FORD
2023,2023-04-01,4,29,7.25,240554,"261,82%",6976087,6.267699749,43724021,1507724,"209,99%",419,16617,573,"224,03%",FORD
2023,2023-05-01,1,4,4.0,89023,"-62,99%",356093,5.815662658,2070918,517729,"-65,66%",477,745,186,"-67,48%",FORD
2023,2023-06-01,2,25,12.5,81885,"-8,02%",2047141,5.489020283,11236803,449472,"-13,18%",487,4195,167,"-9,94%",FORD
2023,2023-07-01,4,48,12.0,120007,"46,55%",5760348,5.161528968,29732203,619420,"37,81%",516,11151,232,"38,43%",FORD
2023,2023-08-01,1,4,4.0,47659,"-60,29%",190639,4.590407141,875112,218778,"-64,68%",646,294,73,"-68,29%",FORD
2023,2023-09-01,3,4,1.33,241767,"407,28%",967069,4.07132356,3937250,984312,"349,91%",733,1317,329,"347,18%",FORD
2023,2023-10-01,11,80,7.27,166067,"-31,31%",13285417,3.759241157,49943088,624288,"-36,58%",912,14555,181,"-44,77%",FORD
2023,2023-11-01,6,33,5.5,254471,"53,23%",8397549,3.33234479,27983530,847985,"35,83%",931,9012,273,"50,11%",FORD
2023,2023-12-01,1,1,1.0,1785000,"601,45%",1785000,2.65598124,4740926,4740926,"459,08%",965,1848,1848,"576,92%",FORD
2024,2024-01-01,1,7,7.0,235085,"-86,83%",1645600,2.202046428,3623687,517669,"-89,08%",1141,1441,205,"-88,86%",FORD
2024,2024-02-01,3,6,2.0,243870,"3,74%",1463221,1.944571955,2845338,474223,"-8,39%",1081,1353,225,"9,54%",FORD
2024,2024-03-01,8,40,5.0,318513,"30,61%",12740541,1.751713546,22317779,557944,"17,65%",1001,12720,318,"41,01%",FORD
2024,2024-04-01,2,10,5.0,96407,"-69,73%",964075,1.609558605,1551735,155173,"-72,19%",1004,959,95,"-69,83%",FORD
2024,2024-05-01,4,41,10.25,313536,"225,22%",12855011,1.545032963,19861416,484424,"212,18%",1119,11481,280,"191,86%",FORD
2024,2024-06-01,4,10,2.5,269894,"-13,92%",2698944,1.477410894,3987449,398744,"-17,69%",1278,2110,211,"-24,63%",FORD
