año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_ipc,var_costo_prom,var_ipc_%,var_cant_piezas
2023,2023-01-01,3,8,2.67,81507,652057,7.800711567,5086510,635813,-,366,1780,222,-,MERCEDES BENZ,-,,,-,-
2023,2023-02-01,8,30,3.75,58657,1759713,7.315838174,12873775,429125,"-32,51%",375,4680,156,"-29,90%",MERCEDES BENZ,"-28,03%",-0.062157585091493495,-0.2803440195320648,-6.22%,275.0%
2023,2023-03-01,16,112,7.0,122678,13739952,6.794355122,93354118,833518,"94,24%",380,36139,322,"106,80%",MERCEDES BENZ,"109,14%",-0.0712813815173381,1.0914468861346474,-7.13%,273.33%
2023,2023-05-01,7,20,2.86,164834,3296690,5.815662658,19172438,958621,"15,01%",477,6900,345,"6,93%",MERCEDES BENZ,"34,36%",-0.14404493825043252,0.3436312949347071,-14.4%,-82.14%
2023,2023-06-01,10,51,5.1,159041,8111137,5.489020283,44522197,872984,"-8,93%",487,16623,325,"-5,53%",MERCEDES BENZ,"-3,51%",-0.05616597698469872,-0.03514444835410169,-5.62%,155.0%
2023,2023-07-01,4,14,3.5,133989,1875850,5.161528968,9682256,691589,"-20,78%",516,3631,259,"-20,42%",MERCEDES BENZ,"-15,75%",-0.059662981391100156,-0.1575191302871587,-5.97%,-72.55%
2023,2023-08-01,7,43,6.14,205232,8825002,4.590407141,40510352,942101,"36,22%",646,13641,317,"22,31%",MERCEDES BENZ,"53,17%",-0.11064973780846554,0.5317078267618984,-11.06%,207.14%
2023,2023-09-01,11,109,9.91,265944,28987959,4.07132356,118019363,1082746,"14,93%",733,39499,362,"14,23%",MERCEDES BENZ,"29,58%",-0.11308007439334022,0.295821314414906,-11.31%,153.49%
2023,2023-10-01,10,37,3.7,386231,14290555,3.759241157,53721643,1451936,"34,10%",912,15656,423,"16,77%",MERCEDES BENZ,"45,23%",-0.07665379535690842,0.45230198838853286,-7.67%,-66.06%
2023,2023-11-01,15,129,8.6,323180,41690315,3.33234479,138926504,1076949,"-25,83%",931,44744,346,"-18,03%",MERCEDES BENZ,"-16,32%",-0.11355918632809325,-0.1632468652179654,-11.36%,248.65%
2023,2023-12-01,6,9,1.5,427645,3848809,2.65598124,10222365,1135818,"5,47%",965,3986,442,"27,69%",MERCEDES BENZ,"32,32%",-0.2029692581721113,0.32324091837366176,-20.3%,-93.02%
2024,2024-01-01,12,155,12.92,541745,83970597,2.202046428,184907154,1192949,"5,03%",1141,73542,474,"7,12%",MERCEDES BENZ,"26,68%",-0.1709103984484469,0.26681008780647497,-17.09%,1622.22%
2024,2024-02-01,8,34,4.25,451052,15335795,1.944571955,29821557,877104,"-26,48%",1081,14182,417,"-12,09%",MERCEDES BENZ,"-16,74%",-0.11692508828428749,-0.16740902084929254,-11.69%,-78.06%
2024,2024-03-01,10,47,4.7,750431,35270292,1.751713546,61783448,1314541,"49,87%",1001,35213,749,"79,62%",MERCEDES BENZ,"66,37%",-0.09917782085878124,0.6637350017292907,-9.92%,38.24%
2024,2024-04-01,14,81,5.79,374513,30335560,1.609558605,48826862,602800,"-54,14%",1004,30192,372,"-50,25%",MERCEDES BENZ,"-50,09%",-0.08115193338808602,-0.5009361287047044,-8.12%,72.34%
2024,2024-05-01,7,42,6.0,232833,9778992,1.545032963,15108865,359734,"-40,32%",1119,8734,207,"-44,21%",MERCEDES BENZ,"-37,83%",-0.04008902925283664,-0.37830462493958816,-4.01%,-48.15%
2024,2024-06-01,6,34,5.67,380103,12923523,1.477410894,19093354,561569,"56,11%",1278,10107,297,"42,95%",MERCEDES BENZ,"63,25%",-0.04376739566041221,0.6325134323742769,-4.38%,-19.05%
2024,2024-07-01,6,117,19.5,755599,88405116,1.420164985,125549851,1073075,"91,09%",1416,62431,533,"79,50%",MERCEDES BENZ,"98,79%",-0.03874745288022763,0.9878796010555033,-3.87%,244.12%
2024,2024-08-01,12,144,12.0,1578307,227276231,1.363285009,309842279,2151682,"100,52%",1340,169522,1177,"120,62%",MERCEDES BENZ,"108,88%",-0.04005166765888124,1.0888156283954848,-4.01%,23.08%
2024,2024-09-01,6,54,9.0,549233,29658610,1.317575571,39077460,723656,"-66,37%",1243,23855,441,"-62,47%",MERCEDES BENZ,"-65,20%",-0.0335288935902911,-0.6520113007165272,-3.35%,-62.5%
2024,2024-10-01,6,25,4.17,480039,12000984,1.283039508,15397736,615909,"-14,89%",1201,9992,399,"-9,52%",MERCEDES BENZ,"-12,60%",-0.026211827055800607,-0.12598296169385304,-2.62%,-53.7%
2024,2024-11-01,7,95,13.57,522501,49637641,1.252643413,62178264,654508,"6,27%",1124,44159,464,"16,30%",MERCEDES BENZ,"8,85%",-0.02369069292915349,0.08845531300581833,-2.37%,280.0%
2024,2024-12-01,7,95,13.57,597317,56745127,1.219662471,69209902,728525,"11,31%",1105,51343,540,"16,27%",MERCEDES BENZ,"14,32%",-0.026329074705316757,0.14318824270192776,-2.63%,0.0%
2025,2025-01-01,18,94,5.22,597219,56138657,1.19327851,66989053,712649,"-2,18%",1216,46136,490,"-9,19%",MERCEDES BENZ,"-0,02%",-0.021632182367936292,-0.00016406698620663462,-2.16%,-1.05%
2025,2025-02-01,14,83,5.93,830889,68963796,1.165292525,80362996,968228,"35,86%",1212,56866,685,"39,59%",MERCEDES BENZ,"39,13%",-0.023453020200623675,0.3912635063519412,-2.35%,-11.7%
2025,2025-03-01,7,84,12.0,414689,34833886,1.123397274,39132292,465860,"-51,89%",1251,27827,331,"-51,65%",MERCEDES BENZ,"-50,09%",-0.035952561353639445,-0.5009092670621467,-3.6%,1.2%
2025,2025-04-01,3,6,2.0,551296,3307776,1.093002664,3615408,602568,"29,35%",1263,2617,436,"31,67%",MERCEDES BENZ,"32,94%",-0.027055976281459393,0.3294203608005035,-2.71%,-92.86%
2025,2025-05-01,8,110,13.75,419114,46102600,1.076838154,49645039,451318,"-25,10%",1162,39670,360,"-17,32%",MERCEDES BENZ,"-23,98%",-0.014789085637580746,-0.23976593336429064,-1.48%,1733.33%
2025,2025-06-01,4,36,9.0,930851,33510670,1.059682687,35510677,986407,"118,56%",1181,28354,787,"118,40%",MERCEDES BENZ,"122,10%",-0.015931332797110453,1.2209971511331048,-1.59%,-67.27%
2025,2025-07-01,13,108,8.31,592244,63962396,1.039906946,66514939,615879,"-37,56%",1282,49864,461,"-41,38%",MERCEDES BENZ,"-36,38%",-0.01866194592268533,-0.3637606878007329,-1.87%,200.0%
2025,2025-08-01,9,96,10.67,798604,76666051,1.020759603,78257608,815183,"32,36%",1329,57684,600,"30,14%",MERCEDES BENZ,"34,84%",-0.018412554194055963,0.3484374683407514,-1.84%,-11.11%
2025,2025-09-01,2,9,4.5,1105304,9947741,1.0,9947741,1105304,"35,59%",1406,7070,785,"30,75%",MERCEDES BENZ,"38,40%",-0.02033740651470506,0.38404515880210965,-2.03%,-90.62%
2023,2023-01-01,3,12,4.0,208527,2502329,7.800711567,19519951,1626662,-,366,6833,569,-,FORD,-,,,-,-
2023,2023-02-01,1,5,5.0,66483,332418,7.315838174,2431923,486384,"-70,10%",375,884,176,"-68,95%",FORD,"-68,12%",-0.062157585091493495,-0.6811779769526248,-6.22%,-58.33%
2023,2023-04-01,4,29,7.25,240554,6976087,6.267699749,43724021,1507724,"209,99%",419,16617,573,"224,03%",FORD,"261,82%",-0.1432697662347171,2.6182783568731858,-14.33%,480.0%
2023,2023-05-01,1,4,4.0,89023,356093,5.815662658,2070918,517729,"-65,66%",477,745,186,"-67,48%",FORD,"-62,99%",-0.07212168883363024,-0.6299250895848749,-7.21%,-86.21%
2023,2023-06-01,2,25,12.5,81885,2047141,5.489020283,11236803,449472,"-13,18%",487,4195,167,"-9,94%",FORD,"-8,02%",-0.05616597698469872,-0.08018152612246277,-5.62%,525.0%
2023,2023-07-01,4,48,12.0,120007,5760348,5.161528968,29732203,619420,"37,81%",516,11151,232,"38,43%",FORD,"46,55%",-0.059662981391100156,0.4655553520180742,-5.97%,92.0%
2023,2023-08-01,1,4,4.0,47659,190639,4.590407141,875112,218778,"-64,68%",646,294,73,"-68,29%",FORD,"-60,29%",-0.11064973780846554,-0.6028648328847483,-11.06%,-91.67%
2023,2023-09-01,3,4,1.33,241767,967069,4.07132356,3937250,984312,"349,91%",733,1317,329,"347,18%",FORD,"407,28%",-0.11308007439334022,4.072850878113263,-11.31%,0.0%
2023,2023-10-01,11,80,7.27,166067,13285417,3.759241157,49943088,624288,"-36,58%",912,14555,181,"-44,77%",FORD,"-31,31%",-0.07665379535690842,-0.3131113841012214,-7.67%,1900.0%
2023,2023-11-01,6,33,5.5,254471,8397549,3.33234479,27983530,847985,"35,83%",931,9012,273,"50,11%",FORD,"53,23%",-0.11355918632809325,0.5323393570065094,-11.36%,-58.75%
2023,2023-12-01,1,1,1.0,1785000,1785000,2.65598124,4740926,4740926,"459,08%",965,1848,1848,"576,92%",FORD,"601,45%",-0.2029692581721113,6.014551756388744,-20.3%,-96.97%
2024,2024-01-01,1,7,7.0,235085,1645600,2.202046428,3623687,517669,"-89,08%",1141,1441,205,"-88,86%",FORD,"-86,83%",-0.1709103984484469,-0.8682997198879552,-17.09%,600.0%
2024,2024-02-01,3,6,2.0,243870,1463221,1.944571955,2845338,474223,"-8,39%",1081,1353,225,"9,54%",FORD,"3,74%",-0.11692508828428749,0.0373694621094498,-11.69%,-14.29%
2024,2024-03-01,8,40,5.0,318513,12740541,1.751713546,22317779,557944,"17,65%",1001,12720,318,"41,01%",FORD,"30,61%",-0.09917782085878124,0.30607700824209627,-9.92%,566.67%
2024,2024-04-01,2,10,5.0,96407,964075,1.609558605,1551735,155173,"-72,19%",1004,959,95,"-69,83%",FORD,"-69,73%",-0.08115193338808602,-0.6973216163861444,-8.12%,-75.0%
2024,2024-05-01,4,41,10.25,313536,12855011,1.545032963,19861416,484424,"212,18%",1119,11481,280,"191,86%",FORD,"225,22%",-0.04008902925283664,2.2522119763087742,-4.01%,310.0%
2024,2024-06-01,4,10,2.5,269894,2698944,1.477410894,3987449,398744,"-17,69%",1278,2110,211,"-24,63%",FORD,"-13,92%",-0.04376739566041221,-0.1391929475403143,-4.38%,-75.61%
2024,2024-07-01,7,162,23.14,310315,50271169,1.420164985,71393355,440699,"10,52%",1416,35501,219,"3,82%",FORD,"14,98%",-0.03874745288022763,0.14976620450991862,-3.87%,1520.0%
2024,2024-08-01,2,34,17.0,682864,23217390,1.363285009,31651920,930938,"111,24%",1340,17317,509,"132,42%",FORD,"120,05%",-0.04005166765888124,1.2005510529623127,-4.01%,-79.01%
2024,2024-09-01,4,17,4.25,165077,2806318,1.317575571,3697536,217502,"-76,64%",1243,2257,132,"-73,93%",FORD,"-75,83%",-0.0335288935902911,-0.7582578668666089,-3.35%,-50.0%
2024,2024-11-01,3,21,7.0,157584,3309271,1.252643413,4145336,197396,"-9,24%",1124,2944,140,"5,59%",FORD,"-4,54%",-0.04928154363906312,-0.04539093877402667,-4.93%,23.53%
2024,2024-12-01,1,2,2.0,651000,1302000,1.219662471,1588000,794000,"302,24%",1105,1178,589,"320,16%",FORD,"313,11%",-0.026329074705316757,3.131130063965885,-2.63%,-90.48%
2025,2025-03-01,9,37,4.11,443285,16401565,1.123397274,18425474,497985,"-37,28%",1251,13102,354,"-39,88%",FORD,"-31,91%",-0.07892773557349209,-0.3190706605222734,-7.89%,1750.0%
2025,2025-04-01,3,12,4.0,413062,4956750,1.093002664,5417741,451478,"-9,34%",1263,3921,326,"-7,71%",FORD,"-6,82%",-0.027055976281459393,-0.06817961356689262,-2.71%,-67.57%
2025,2025-05-01,1,2,2.0,26919,53838,1.076838154,57975,28987,"-93,58%",1162,46,23,"-92,91%",FORD,"-93,48%",-0.014789085637580746,-0.9348306065433276,-1.48%,-83.33%
2025,2025-06-01,2,15,7.5,587165,8807477,1.059682687,9333131,622208,"2046,45%",1181,7452,496,"2044,85%",FORD,"2081,20%",-0.015931332797110453,20.81228871800587,-1.59%,650.0%
2025,2025-07-01,3,3,1.0,337276,1011830,1.039906946,1052209,350736,"-43,63%",1282,788,262,"-47,08%",FORD,"-42,56%",-0.01866194592268533,-0.42558565309580787,-1.87%,-80.0%
2025,2025-08-01,1,2,2.0,157110,314220,1.020759603,320743,160371,"-54,28%",1329,236,118,"-55,04%",FORD,"-53,42%",-0.018412554194055963,-0.5341797222452829,-1.84%,-33.33%
2023,2023-01-01,4,106,26.5,74490,7895975,7.800711567,61594229,581077,-,366,21562,203,-,IVECO,-,,,-,-
2023,2023-02-01,2,6,3.0,63013,378079,7.315838174,2765970,460995,"-20,67%",375,1005,167,"-17,60%",IVECO,"-15,41%",-0.062157585091493495,-0.1540743723989797,-6.22%,-94.34%
2023,2023-03-01,5,27,5.4,79436,2144781,6.794355122,14572408,539718,"17,08%",380,5641,208,"24,65%",IVECO,"26,06%",-0.0712813815173381,0.2606287591449383,-7.13%,350.0%
2023,2023-04-01,9,76,8.44,71294,5418392,6.267699749,33960854,446853,"-17,21%",419,12907,169,"-18,72%",IVECO,"-10,25%",-0.07751366590991082,-0.10249760813736841,-7.75%,181.48%
2023,2023-05-01,4,149,37.25,130923,19507529,5.815662658,113449211,761404,"70,39%",477,40834,274,"61,37%",IVECO,"83,64%",-0.07212168883363024,0.8363817432041967,-7.21%,96.05%
2023,2023-06-01,3,119,39.67,153677,18287650,5.489020283,100381284,843540,"10,79%",487,37479,314,"14,92%",IVECO,"17,38%",-0.05616597698469872,0.17379681186651696,-5.62%,-20.13%
2023,2023-07-01,10,85,8.5,148503,12622785,5.161528968,65152873,766504,"-9,13%",516,24435,287,"-8,72%",IVECO,"-3,37%",-0.059662981391100156,-0.033668017985775345,-5.97%,-28.57%
2023,2023-08-01,11,153,13.91,159361,24382267,4.590407141,111924533,731532,"-4,56%",646,37688,246,"-14,31%",IVECO,"7,31%",-0.11064973780846554,0.07311636801950128,-11.06%,80.0%
2023,2023-09-01,17,92,5.41,170239,15662075,4.07132356,63765376,693101,"-5,25%",733,21341,231,"-5,83%",IVECO,"6,83%",-0.11308007439334022,0.06826011382960706,-11.31%,-39.87%
2023,2023-10-01,8,45,5.62,165215,7434696,3.759241157,27948817,621084,"-10,39%",912,8145,181,"-21,97%",IVECO,"-2,95%",-0.07665379535690842,-0.02951145154753021,-7.67%,-51.09%
2023,2023-11-01,6,65,10.83,218115,14177511,3.33234479,47244357,726836,"17,03%",931,15216,234,"29,33%",IVECO,"32,02%",-0.11355918632809325,0.3201888448385437,-11.36%,44.44%
2023,2023-12-01,4,11,2.75,360039,3960433,2.65598124,10518838,956258,"31,56%",965,4101,372,"59,29%",IVECO,"65,07%",-0.2029692581721113,0.6506842720583179,-20.3%,-83.08%
2024,2024-01-01,11,33,3.0,441101,14556334,2.202046428,32053724,971324,"1,58%",1141,12748,386,"3,60%",IVECO,"22,51%",-0.1709103984484469,0.22514783120717485,-17.09%,200.0%
2024,2024-02-01,8,245,30.62,435527,106704247,1.944571955,207494087,846914,"-12,81%",1081,98676,402,"4,26%",IVECO,"-1,26%",-0.11692508828428749,-0.012636561694487236,-11.69%,642.42%
