año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,marca
2023,2023-01-01,3,8,2.67,81507.16,652057.25,7.501355385,4891313.164,611414.1455,366.1818182,1780.692589,222.5865737,MERCEDES BENZ
2023,2023-02-01,8,30,3.75,58657.1,1759713.0,7.03508925,12379738.01,412657.9336,375.9411765,4680.820059,156.0273353,MERCEDES BENZ
2023,2023-03-01,16,112,7.0,122678.15,13739952.71,6.533618369,89771607.42,801532.2091,380.1956522,36139.16317,322.6710997,MERCEDES BENZ
2023,2023-05-01,7,20,2.86,164834.51,3296690.27,5.592483714,18436686.65,921834.3323,477.7272727,6900.778872,345.0389436,MERCEDES BENZ
2023,2023-06-01,10,51,5.1,159041.91,8111137.290000001,5.278376403,42813635.67,839483.0524,487.9347826,16623.40456,325.949109,MERCEDES BENZ
2023,2023-07-01,4,14,3.5,133989.32,1875850.49,4.96345273,9310695.235,665049.6597,516.5714286,3631.347741,259.3819815,MERCEDES BENZ
2023,2023-08-01,7,43,6.14,205232.6,8825002.0,4.414247987,38955747.31,905947.6119,646.9375,13641.19718,317.2371437,MERCEDES BENZ
2023,2023-09-01,11,109,9.91,265944.59,28987959.849999994,3.915084496,113490312.2,1041195.525,733.875,39499.86013,362.3840379,MERCEDES BENZ
2023,2023-10-01,10,37,3.7,386231.22,14290555.189999998,3.61497841,51660048.48,1396217.526,912.7666667,15656.30704,423.1434335,MERCEDES BENZ
2023,2023-11-01,15,129,8.6,323180.74,41690315.19,3.204464403,133595131.0,1035621.17,931.75,44744.10002,346.8534885,MERCEDES BENZ
2023,2023-12-01,6,9,1.5,427645.49,3848809.44,2.55405664,9830077.308,1092230.812,965.5263158,3986.229455,442.9143839,MERCEDES BENZ
2024,2024-01-01,12,155,12.92,541745.79,83970597.41999999,2.117541803,177811250.2,1147169.356,1141.8,73542.29937,474.4664475,MERCEDES BENZ
2024,2024-02-01,8,34,4.25,451052.81,15335795.46,1.86994804,28677140.67,843445.3137,1081.354167,14182.02836,417.1184812,MERCEDES BENZ
2024,2024-03-01,10,47,4.7,750431.74,35270292.0,1.684490668,59412477.75,1264095.271,1001.603774,35213.81701,749.2301492,MERCEDES BENZ
2024,2024-04-01,14,81,5.79,374513.09,30335560.340000007,1.547790994,46953107.1,579667.9889,1004.75,30192.14764,372.7425634,MERCEDES BENZ
2024,2024-05-01,7,42,6.0,232833.15,9778992.25,1.485741555,14529055.16,345929.8847,1119.583333,8734.49252,207.9641076,MERCEDES BENZ
2024,2024-06-01,6,34,5.67,380103.63,12923523.3,1.420714517,18360637.17,540018.7402,1278.611111,10107.46988,297.278526,MERCEDES BENZ
2024,2024-07-01,6,117,19.5,755599.29,88405116.92,1.365665449,120731813.7,1031895.843,1416.022727,62431.99012,533.6067532,MERCEDES BENZ
2024,2024-08-01,12,144,12.0,1578307.16,227276231.66999996,1.31096827,297951928.2,2069110.612,1340.681818,169522.8716,1177.242164,MERCEDES BENZ
2024,2024-09-01,6,54,9.0,549233.52,29658610.0,1.267012954,37577843.06,695885.9826,1243.269231,23855.33983,441.7655524,MERCEDES BENZ
2024,2024-10-01,6,25,4.17,480039.37,12000984.29,1.23380223,14806841.18,592273.647,1201.0,9992.493164,399.6997266,MERCEDES BENZ
2024,2024-11-01,7,95,13.57,522501.49,49637641.629999995,1.2045726,59792143.04,629390.9794,1124.047619,44159.73202,464.8392844,MERCEDES BENZ
2024,2024-12-01,7,95,13.57,597317.13,56745127.27,1.172857318,66553937.77,700567.766,1105.2,51343.76336,540.460667,MERCEDES BENZ
2025,2025-01-01,18,94,5.22,597219.76,56138657.69,1.147485855,64418315.6,685301.2298,1216.785714,46136.84812,490.8175332,MERCEDES BENZ
2025,2025-02-01,14,83,5.93,830889.11,68963796.16,1.120573846,77279026.28,931072.6058,1212.727273,56866.69848,685.1409456,MERCEDES BENZ
2025,2025-03-01,7,84,12.0,414689.12,34833886.309999995,1.080286346,37630571.75,447982.997,1251.764706,27827.82271,331.2836037,MERCEDES BENZ
2025,2025-04-01,3,6,2.0,551296.01,3307776.04,1.051058144,3476664.946,579444.1576,1263.888889,2617.141482,436.190247,MERCEDES BENZ
2025,2025-05-01,8,110,13.75,419114.55,46102600.31000002,1.035513955,47739885.97,433998.9633,1162.142857,39670.33831,360.6394392,MERCEDES BENZ
