año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_costo_prom,var_cant_piezas,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,452,1988,4.4,47943,95311916,8.41,801915337,403372,-,366,260415,130,-,chevrolet,-,,-,1202,,-
2023,2023-02-01,347,1774,5.11,45348,80447591,7.89,634781459,357823,"-11,29%",375,214526,120,"-7,68%",chevrolet,"-5,41%",-0.05,"-10,76%",1282,0.07,"6,63%"
2023,2023-03-01,551,2478,4.5,45812,113524255,7.33,831924669,335717,"-6,18%",380,298748,120,"-0,31%",chevrolet,"1,02%",0.01,"39,68%",1381,0.08,"7,68%"
2023,2023-04-01,495,2304,4.65,53048,122224044,6.76,826250874,358611,"6,82%",419,291704,126,"5,02%",chevrolet,"15,79%",0.16,"-7,02%",1497,0.08,"8,40%"
2023,2023-05-01,527,2750,5.22,54728,150503836,6.27,944047563,343285,"-4,27%",477,315521,114,"-9,38%",chevrolet,"3,17%",0.03,"19,36%",1613,0.08,"7,77%"
2023,2023-06-01,463,1958,4.23,52565,102923431,5.92,609335092,311199,"-9,35%",487,211341,107,"-5,92%",chevrolet,"-3,95%",-0.04,"-28,80%",1709,0.06,"5,95%"
2023,2023-07-01,457,2212,4.84,60498,133823459,5.57,745002482,336795,"8,23%",516,259347,117,"8,62%",chevrolet,"15,09%",0.15,"12,97%",1818,0.06,"6,34%"
2023,2023-08-01,554,2647,4.78,86172,228099535,4.95,1129334787,426642,"26,68%",646,353095,133,"13,77%",chevrolet,"42,44%",0.42,"19,67%",2044,0.12,"12,44%"
2023,2023-09-01,474,2046,4.32,77194,157940256,4.39,693546454,338973,"-20,55%",733,215471,105,"-21,05%",chevrolet,"-10,42%",-0.1,"-22,70%",2304,0.13,"12,75%"
2023,2023-10-01,488,2193,4.49,96112,210774289,4.05,854603996,389695,"14,96%",912,231112,105,"0,07%",chevrolet,"24,51%",0.25,"7,18%",2496,0.08,"8,30%"
2023,2023-11-01,512,2357,4.6,134970,318125010,3.59,1143391194,485103,"24,48%",931,341702,144,"37,56%",chevrolet,"40,43%",0.4,"7,48%",2816,0.13,"12,81%"
2023,2023-12-01,404,1912,4.73,161708,309186788,2.86,885713022,463237,"-4,51%",965,320400,167,"15,59%",chevrolet,"19,81%",0.2,"-18,88%",3533,0.25,"25,47%"
2024,2024-01-01,553,2245,4.06,184614,414460129,2.38,984365374,438468,"-5,35%",1141,363242,161,"-3,44%",chevrolet,"14,17%",0.14,"17,42%",4261,0.21,"20,61%"
2024,2024-02-01,395,1680,4.25,191542,321791750,2.1,674910248,401730,"-8,38%",1081,297679,177,"9,51%",chevrolet,"3,75%",0.04,"-25,17%",4825,0.13,"13,24%"
2024,2024-03-01,440,1876,4.26,182218,341841670,1.89,645855242,344271,"-14,30%",1001,341500,182,"2,74%",chevrolet,"-4,87%",-0.05,"11,67%",5357,0.11,"11,01%"
2024,2024-04-01,462,1891,4.09,185562,350899150,1.74,609166777,322138,"-6,43%",1004,349501,184,"1,53%",chevrolet,"1,84%",0.02,"0,80%",5830,0.09,"8,83%"
2024,2024-05-01,451,2020,4.48,175107,353716469,1.67,589440713,291802,"-9,42%",1119,316100,156,"-15,33%",chevrolet,"-5,63%",-0.06,"6,82%",6073,0.04,"4,18%"
2024,2024-06-01,336,1688,5.02,189690,320197281,1.59,510230054,302268,"3,59%",1278,250545,148,"-5,15%",chevrolet,"8,33%",0.08,"-16,44%",6351,0.05,"4,58%"
2024,2024-07-01,489,2204,4.51,168950,372367081,1.53,570370664,258787,"-14,38%",1416,262971,119,"-19,61%",chevrolet,"-10,93%",-0.11,"30,57%",6607,0.04,"4,03%"
2024,2024-08-01,452,2196,4.86,163636,359346543,1.47,528381045,240609,"-7,02%",1340,268169,122,"2,35%",chevrolet,"-3,15%",-0.03,"-0,36%",6883,0.04,"4,17%"
2024,2024-09-01,409,1989,4.86,150663,299670026,1.42,425859107,214106,"-11,02%",1243,241086,121,"-0,74%",chevrolet,"-7,93%",-0.08,"-9,43%",7122,0.03,"3,47%"
2024,2024-10-01,469,2239,4.77,164939,369299551,1.38,511052960,228249,"6,61%",1201,307493,137,"13,30%",chevrolet,"9,48%",0.09,"12,57%",7313,0.03,"2,69%"
2024,2024-11-01,423,1928,4.56,169945,327655019,1.35,442681510,229605,"0,59%",1124,291508,151,"10,09%",chevrolet,"3,04%",0.03,"-13,89%",7491,0.02,"2,43%"
2024,2024-12-01,376,1732,4.61,172380,298562275,1.32,392754972,226763,"-1,24%",1105,270192,156,"3,18%",chevrolet,"1,43%",0.01,"-10,17%",7694,0.03,"2,70%"
2025,2025-01-01,433,2102,4.85,165528,347941009,1.29,447810773,213039,"-6,05%",1216,286135,136,"-12,74%",chevrolet,"-3,97%",-0.04,"21,36%",7864,0.02,"2,21%"
2025,2025-02-01,400,1974,4.93,178692,352738677,1.26,443338188,224588,"5,42%",1212,291038,147,"8,31%",chevrolet,"7,95%",0.08,"-6,09%",8052,0.02,"2,40%"
2025,2025-03-01,358,1479,4.13,173345,256378191,1.21,310642980,210035,"-6,48%",1251,204938,138,"-6,02%",chevrolet,"-2,99%",-0.03,"-25,08%",8353,0.04,"3,73%"
2025,2025-04-01,454,2031,4.47,185871,377503995,1.18,445030598,219118,"4,32%",1263,298894,147,"6,21%",chevrolet,"7,23%",0.07,"37,32%",8585,0.03,"2,78%"
2025,2025-05-01,454,1820,4.01,193364,351923340,1.16,408738554,224581,"2,49%",1162,302860,166,"13,07%",chevrolet,"4,03%",0.04,"-10,39%",8714,0.02,"1,50%"
2025,2025-06-01,412,1899,4.61,186252,353693464,1.14,404249948,212874,"-5,21%",1181,299486,157,"-5,23%",chevrolet,"-3,68%",-0.04,"4,34%",8855,0.02,"1,62%"
2025,2025-07-01,434,2335,5.38,201858,471339137,1.12,528658331,226405,"6,36%",1282,367659,157,"-0,16%",chevrolet,"8,38%",0.08,"22,96%",9023,0.02,"1,90%"
2025,2025-08-01,388,1837,4.73,233658,429231327,1.1,472565470,257247,"13,62%",1329,322973,175,"11,66%",chevrolet,"15,75%",0.16,"-21,33%",9193,0.02,"1,88%"
