año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_costo_prom,var_cant_piezas,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,452,1988,4.4,47943,95311916,8.91,848918797,427016,-,366,260415,130,-,chevrolet,-,,-,1202,,-
2023,2023-02-01,347,1774,5.11,45348,80447591,8.35,671988535,378797,-0.1129199709,375,214526,120,-0.07682773293,chevrolet,-0.05412677555,-0.16,-0.1076458753,1282,0.07,"6,63%"
2023,2023-03-01,551,2478,4.5,45812,113524255,7.76,880687096,355395,-0.06177874763,380,298748,120,-0.003060542332,chevrolet,0.01023198377,0.41,0.396843292,1381,0.08,"7,68%"
2023,2023-04-01,495,2304,4.65,53048,122224044,7.16,874680737,379631,0.06819294173,419,291704,126,0.05016934417,chevrolet,0.1579498821,0.08,-0.07021791768,1497,0.08,"8,40%"
2023,2023-05-01,527,2750,5.22,54728,150503836,6.64,999381961,363407,-0.04273631034,477,315521,114,-0.09377465035,chevrolet,0.03166943146,0.23,0.1935763889,1613,0.08,"7,77%"
2023,2023-06-01,463,1958,4.23,52565,102923431,6.27,645050655,329439,-0.09346887469,487,211341,107,-0.05924505646,chevrolet,-0.03952273059,-0.32,-0.288,1709,0.06,"5,95%"
2023,2023-07-01,457,2212,4.84,60498,133823459,5.89,788670052,356536,0.08225071718,516,259347,117,0.08623454018,chevrolet,0.1509179112,0.3,0.1297242084,1818,0.06,"6,34%"
2023,2023-08-01,554,2647,4.78,86172,228099535,5.24,1195529609,451650,0.2667706501,646,353095,133,0.1377381971,chevrolet,0.4243776654,0.7,0.1966546112,2044,0.12,"12,44%"
2023,2023-09-01,474,2046,4.32,77194,157940256,4.65,734197981,358842,-0.2054855783,733,215471,105,-0.2105113039,chevrolet,-0.1041869749,-0.31,-0.22704949,2304,0.13,"12,75%"
2023,2023-10-01,488,2193,4.49,96112,210774289,4.29,904695749,412536,0.1496314532,912,231112,105,0.0006983998847,chevrolet,0.2450708604,0.33,0.07184750733,2496,0.08,"8,30%"
2023,2023-11-01,512,2357,4.6,134970,318125010,3.8,1210409919,513537,0.2448280822,931,341702,144,0.3756399846,chevrolet,0.404299151,0.51,0.07478340173,2816,0.13,"12,81%"
2023,2023-12-01,404,1912,4.73,161708,309186788,3.03,937628200,490389,-0.04507485237,965,320400,167,0.1558903168,chevrolet,0.1981032822,-0.03,-0.1887993212,3533,0.25,"25,47%"
2024,2024-01-01,553,2245,4.06,184614,414460129,2.51,1042062960,464168,-0.05346953926,1141,363242,161,-0.03444993971,chevrolet,0.1416503822,0.34,0.1741631799,4261,0.21,"20,61%"
2024,2024-02-01,395,1680,4.25,191542,321791750,2.22,714469433,425277,-0.08378598199,1081,297679,177,0.09511401277,chevrolet,0.03752694812,-0.22,-0.2516703786,4825,0.13,"13,24%"
2024,2024-03-01,440,1876,4.26,182218,341841670,2.0,683711397,364450,-0.1430286004,1001,341500,182,0.02735106203,chevrolet,-0.04867861879,0.06,0.1166666667,5357,0.11,"11,01%"
2024,2024-04-01,462,1891,4.09,185562,350899150,1.84,644872475,341020,-0.06428955982,1004,349501,184,0.01530876133,chevrolet,0.01835164473,0.03,0.007995735608,5830,0.09,"8,83%"
2024,2024-05-01,451,2020,4.48,175107,353716469,1.76,623990187,308905,-0.0941726738,1119,316100,156,-0.1533223628,chevrolet,-0.05634235458,0.01,0.06821787414,6073,0.04,"4,18%"
2024,2024-06-01,336,1688,5.02,189690,320197281,1.69,540136675,319985,0.03586814222,1278,250545,148,-0.05149382707,chevrolet,0.08328050849,-0.09,-0.1643564356,6351,0.05,"4,58%"
2024,2024-07-01,489,2204,4.51,168950,372367081,1.62,603802366,273956,-0.1438472359,1416,262971,119,-0.1961382577,chevrolet,-0.1093362855,0.16,0.3056872038,6607,0.04,"4,03%"
2024,2024-08-01,452,2196,4.86,163636,359346543,1.56,559351568,254712,-0.07024501163,1340,268169,122,0.02347941853,chevrolet,-0.03145309263,-0.03,-0.003629764065,6883,0.04,"4,17%"
2024,2024-09-01,409,1989,4.86,150663,299670026,1.5,450820409,226655,-0.1101503566,1243,241086,121,-0.007429357709,chevrolet,-0.07927962062,-0.17,-0.09426229508,7122,0.03,"3,47%"
2024,2024-10-01,469,2239,4.77,164939,369299551,1.46,541007815,241628,0.06605900277,1201,307493,137,0.1330390228,chevrolet,0.09475451836,0.23,0.1256913022,7313,0.03,"2,69%"
2024,2024-11-01,423,1928,4.56,169945,327655019,1.43,468628841,243063,0.005940894478,1124,291508,151,0.1009351317,chevrolet,0.03035061447,-0.11,-0.1389012952,7491,0.02,"2,43%"
2024,2024-12-01,376,1732,4.61,172380,298562275,1.39,415775909,240055,-0.01237815685,1105,270192,156,0.03176910177,chevrolet,0.01432816499,-0.09,-0.101659751,7694,0.03,"2,70%"
2025,2025-01-01,433,2102,4.85,165528,347941009,1.36,474058750,225526,-0.06052170756,1216,286135,136,-0.1274038462,chevrolet,-0.03974939088,0.17,0.2136258661,7864,0.02,"2,21%"
2025,2025-02-01,400,1974,4.93,178692,352738677,1.33,469324009,237752,0.05420915448,1212,291038,147,0.08309012719,chevrolet,0.07952733072,0.01,-0.0608943863,8052,0.02,"2,40%"
2025,2025-03-01,358,1479,4.13,173345,256378191,1.28,328851005,222346,-0.0647997491,1251,204938,138,-0.06016520475,chevrolet,-0.02992299599,-0.27,-0.2507598784,8353,0.04,"3,73%"
2025,2025-04-01,454,2031,4.47,185871,377503995,1.25,471115618,231962,0.0432494661,1263,298894,147,0.06207277251,chevrolet,0.07226052093,0.47,0.3732251521,8585,0.03,"2,78%"
2025,2025-05-01,454,1820,4.01,193364,351923340,1.23,432696353,237744,0.02492762847,1162,302860,166,0.1307359718,chevrolet,0.04031290519,-0.07,-0.1038897095,8714,0.02,"1,50%"
2025,2025-06-01,412,1899,4.61,186252,353693464,1.21,427944651,225352,-0.05212574538,1181,299486,157,-0.05227670885,chevrolet,-0.03678037277,0.01,0.04340659341,8855,0.02,"1,62%"
2025,2025-07-01,434,2335,5.38,201858,471339137,1.19,559645107,239676,0.06356407948,1282,367659,157,-0.001594664006,chevrolet,0.08378970427,0.33,0.2295945234,9023,0.02,"1,90%"
2025,2025-08-01,388,1837,4.73,233658,429231327,1.17,500264419,272325,0.1362232828,1329,322973,175,0.1166002822,chevrolet,0.157536486,-0.09,-0.2132762313,9193,0.02,"1,88%"
