año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_costo_prom,var_cant_piezas,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,452,1988,4.4,47943,95311916,9.21,877634512,441460,-,366,260415,130,-,chevrolet,-,,-,1202,,-
2023,2023-02-01,347,1774,5.11,45348,80447591,8.64,694719369,391610,"-11,29%",375,214526,120,"-7,68%",chevrolet,"-5,41%",-0.05,-0.1076458753,1282,0.07,"6,63%"
2023,2023-03-01,551,2478,4.5,45812,113524255,8.02,910477413,367417,"-6,18%",380,298748,120,"-0,31%",chevrolet,"1,02%",0.01,0.396843292,1381,0.08,"7,68%"
2023,2023-04-01,495,2304,4.65,53048,122224044,7.4,904267882,392472,"6,82%",419,291704,126,"5,02%",chevrolet,"15,79%",0.16,-0.07021791768,1497,0.08,"8,40%"
2023,2023-05-01,527,2750,5.22,54728,150503836,6.86,1033187277,375699,"-4,27%",477,315521,114,"-9,38%",chevrolet,"3,17%",0.03,0.1935763889,1613,0.08,"7,77%"
2023,2023-06-01,463,1958,4.23,52565,102923431,6.48,666870281,340583,"-9,35%",487,211341,107,"-5,92%",chevrolet,"-3,95%",-0.04,-0.288,1709,0.06,"5,95%"
2023,2023-07-01,457,2212,4.84,60498,133823459,6.09,815347780,368596,"8,23%",516,259347,117,"8,62%",chevrolet,"15,09%",0.15,0.1297242084,1818,0.06,"6,34%"
2023,2023-08-01,554,2647,4.78,86172,228099535,5.42,1235969859,466927,"26,68%",646,353095,133,"13,77%",chevrolet,"42,44%",0.42,0.1966546112,2044,0.12,"12,44%"
2023,2023-09-01,474,2046,4.32,77194,157940256,4.81,759033125,370980,"-20,55%",733,215471,105,"-21,05%",chevrolet,"-10,42%",-0.1,-0.22704949,2304,0.13,"12,75%"
2023,2023-10-01,488,2193,4.49,96112,210774289,4.44,935298188,426491,"14,96%",912,231112,105,"0,07%",chevrolet,"24,51%",0.25,0.07184750733,2496,0.08,"8,30%"
2023,2023-11-01,512,2357,4.6,134970,318125010,3.93,1251353513,530908,"24,48%",931,341702,144,"37,56%",chevrolet,"40,43%",0.4,0.07478340173,2816,0.13,"12,81%"
2023,2023-12-01,404,1912,4.73,161708,309186788,3.14,969344619,506977,"-4,51%",965,320400,167,"15,59%",chevrolet,"19,81%",0.2,-0.1887993212,3533,0.25,"25,47%"
2024,2024-01-01,553,2245,4.06,184614,414460129,2.6,1077312013,479869,"-5,35%",1141,363242,161,"-3,44%",chevrolet,"14,17%",0.14,0.1741631799,4261,0.21,"20,61%"
2024,2024-02-01,395,1680,4.25,191542,321791750,2.3,738637235,439663,"-8,38%",1081,297679,177,"9,51%",chevrolet,"3,75%",0.04,-0.2516703786,4825,0.13,"13,24%"
2024,2024-03-01,440,1876,4.26,182218,341841670,2.07,706838771,376778,"-14,30%",1001,341500,182,"2,74%",chevrolet,"-4,87%",-0.05,0.1166666667,5357,0.11,"11,01%"
2024,2024-04-01,462,1891,4.09,185562,350899150,1.9,666686074,352556,"-6,43%",1004,349501,184,"1,53%",chevrolet,"1,84%",0.02,0.007995735608,5830,0.09,"8,83%"
2024,2024-05-01,451,2020,4.48,175107,353716469,1.82,645097418,319354,"-9,42%",1119,316100,156,"-15,33%",chevrolet,"-5,63%",-0.06,0.06821787414,6073,0.04,"4,18%"
2024,2024-06-01,336,1688,5.02,189690,320197281,1.74,558407458,330809,"3,59%",1278,250545,148,"-5,15%",chevrolet,"8,33%",0.08,-0.1643564356,6351,0.05,"4,58%"
2024,2024-07-01,489,2204,4.51,168950,372367081,1.68,624226719,283223,"-14,38%",1416,262971,119,"-19,61%",chevrolet,"-10,93%",-0.11,0.3056872038,6607,0.04,"4,03%"
2024,2024-08-01,452,2196,4.86,163636,359346543,1.61,578272319,263328,"-7,02%",1340,268169,122,"2,35%",chevrolet,"-3,15%",-0.03,-0.003629764065,6883,0.04,"4,17%"
2024,2024-09-01,409,1989,4.86,150663,299670026,1.56,466069961,234322,"-11,02%",1243,241086,121,"-0,74%",chevrolet,"-7,93%",-0.08,-0.09426229508,7122,0.03,"3,47%"
2024,2024-10-01,469,2239,4.77,164939,369299551,1.51,559308066,249801,"6,61%",1201,307493,137,"13,30%",chevrolet,"9,48%",0.09,0.1256913022,7313,0.03,"2,69%"
2024,2024-11-01,423,1928,4.56,169945,327655019,1.48,484480785,251285,"0,59%",1124,291508,151,"10,09%",chevrolet,"3,04%",0.03,-0.1389012952,7491,0.02,"2,43%"
2024,2024-12-01,376,1732,4.61,172380,298562275,1.44,429840037,248175,"-1,24%",1105,270192,156,"3,18%",chevrolet,"1,43%",0.01,-0.101659751,7694,0.03,"2,70%"
2025,2025-01-01,433,2102,4.85,165528,347941009,1.41,490094367,233155,"-6,05%",1216,286135,136,"-12,74%",chevrolet,"-3,97%",-0.04,0.2136258661,7864,0.02,"2,21%"
2025,2025-02-01,400,1974,4.93,178692,352738677,1.38,485199467,245794,"5,42%",1212,291038,147,"8,31%",chevrolet,"7,95%",0.08,-0.0608943863,8052,0.02,"2,40%"
2025,2025-03-01,358,1479,4.13,173345,256378191,1.33,339974792,229867,"-6,48%",1251,204938,138,"-6,02%",chevrolet,"-2,99%",-0.03,-0.2507598784,8353,0.04,"3,73%"
2025,2025-04-01,454,2031,4.47,185871,377503995,1.29,487051680,239808,"4,32%",1263,298894,147,"6,21%",chevrolet,"7,23%",0.07,0.3732251521,8585,0.03,"2,78%"
2025,2025-05-01,454,1820,4.01,193364,351923340,1.27,447332836,245786,"2,49%",1162,302860,166,"13,07%",chevrolet,"4,03%",0.04,-0.1038897095,8714,0.02,"1,50%"
2025,2025-06-01,412,1899,4.61,186252,353693464,1.25,442420402,232974,"-5,21%",1181,299486,157,"-5,23%",chevrolet,"-3,68%",-0.04,0.04340659341,8855,0.02,"1,62%"
2025,2025-07-01,434,2335,5.38,201858,471339137,1.23,578575786,247783,"6,36%",1282,367659,157,"-0,16%",chevrolet,"8,38%",0.08,0.2295945234,9023,0.02,"1,90%"
2025,2025-08-01,388,1837,4.73,233658,429231327,1.2,517186474,281537,"13,62%",1329,322973,175,"11,66%",chevrolet,"15,75%",0.16,-0.2132762313,9193,0.02,"1,88%"
2025,2025-09-01,417,1905,4.57,217576,414482324,1.18,489258396,256828,"-8,78%",1406,294795,154,"-11,98%",chevrolet,"-6,88%",-0.07,0.03701687534,9384,0.02,"2,08%"
2025,2025-10-01,410,1914,4.67,231583,443250539,1.15,511243604,267107,"4,00%",1462,303180,158,"2,36%",chevrolet,"6,44%",0.06,0.004724409449,9603,0.02,"2,34%"
2025,2025-11-01,398,1690,4.25,203385,343721720,1.13,386880180,228923,"-14,30%",1427,240870,142,"-10,02%",chevrolet,"-12,18%",-0.12,-0.1170323929,9841,0.02,"2,47%"
