año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_costo_prom,var_cant_piezas,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,452,1988,4.4,47943,95311916,7.98,760913130.5,382748.1363,-,366,260415.071,130.9918033,-,chevrolet,-,,-,1202,,-
2023,2023-02-01,347,1774,5.11,45348,80447591,7.49,602324865.7,339528.2279,"-11,29%",375,214526.9093,120.928,"-7,68%",chevrolet,"-5,41%",-0.05412677555,"-10,76%",1282,0.0662772168092709,6.63%
2023,2023-03-01,551,2478,4.5,45812,113524255,6.95,789388075.1,318552.5991,"-6,18%",380,298748.0395,120.5578947,"-0,31%",chevrolet,"1,02%",0.01023198377,"39,68%",1381,0.07675239849783555,7.68%
2023,2023-04-01,495,2304,4.65,53048,122224044,6.41,784004383.8,340275.638,"6,82%",419,291704.1623,126.6062053,"5,02%",chevrolet,"15,79%",0.1579498821,"-7,02%",1497,0.08402689883670966,8.4%
2023,2023-05-01,527,2750,5.22,54728,150503836,5.95,895778087.6,325733.5127,"-4,27%",477,315521.6688,114.7337526,"-9,38%",chevrolet,"3,17%",0.03166943146,"19,36%",1613,0.07772752965890595,7.77%
2023,2023-06-01,463,1958,4.23,52565,102923431,5.62,578179579.8,295287.5678,"-9,35%",487,211341.7474,107.936345,"-5,92%",chevrolet,"-3,95%",-0.03952273059,"-28,80%",1709,0.05950831980500615,5.95%
2023,2023-07-01,457,2212,4.84,60498,133823459,5.28,706910249.6,319575.1821,"8,23%",516,259347.7888,117.244186,"8,62%",chevrolet,"15,09%",0.1509179112,"12,97%",1818,0.06344850862315798,6.34%
2023,2023-08-01,554,2647,4.78,86172,228099535,4.7,1071591512.0,404828.4612,"26,68%",646,353095.2554,133.3931889,"13,77%",chevrolet,"42,44%",0.4243776654,"19,67%",2044,0.12441637728689958,12.44%
2023,2023-09-01,474,2046,4.32,77194,157940256,4.17,658085185.8,321642.0507,"-20,55%",733,215471.0177,105.3124147,"-21,05%",chevrolet,"-10,42%",-0.1041869749,"-22,70%",2304,0.12749750132466953,12.75%
2023,2023-10-01,488,2193,4.49,96112,210774289,3.85,810907800.6,369769.8182,"14,96%",912,231112.159,105.3859649,"0,07%",chevrolet,"24,51%",0.2450708604,"7,18%",2496,0.08301739380410011,8.3%
2023,2023-11-01,512,2357,4.6,134970,318125010,3.41,1084929210.0,460299.8536,"24,48%",931,341702.4812,144.9731472,"37,56%",chevrolet,"40,43%",0.404299151,"7,48%",2816,0.1281069017691574,12.81%
2023,2023-12-01,404,1912,4.73,161708,309186788,2.72,840426211.9,439551.9057,"-4,51%",965,320400.8166,167.573057,"15,59%",chevrolet,"19,81%",0.1981032822,"-18,88%",3533,0.2546567498423684,25.47%
2024,2024-01-01,553,2245,4.06,184614,414460129,2.25,934034435.2,416049.2679,"-5,35%",1141,363242.8826,161.8001753,"-3,44%",chevrolet,"14,17%",0.1416503822,"17,42%",4261,0.20614225288961063,20.61%
2024,2024-02-01,395,1680,4.25,191542,321791750,1.99,640401856.2,381190.1714,"-8,38%",1081,297679.6947,177.1896392,"9,51%",chevrolet,"3,75%",0.03752694812,"-25,17%",4825,0.1324067605352477,13.24%
2024,2024-03-01,440,1876,4.26,182218,341841670,1.79,612832442.7,326669.0748,"-14,30%",1001,341500.1698,182.035964,"2,74%",chevrolet,"-4,87%",-0.04867861879,"11,67%",5357,0.11009700156540236,11.01%
2024,2024-04-01,462,1891,4.09,185562,350899150,1.65,578019871.2,305667.6636,"-6,43%",1004,349501.1454,184.8227092,"1,53%",chevrolet,"1,84%",0.01835164473,"0,80%",5830,0.08831920760605083,8.83%
2024,2024-05-01,451,2020,4.48,175107,353716469,1.58,559302407.7,276882.1225,"-9,42%",1119,316100.5085,156.4852547,"-15,33%",chevrolet,"-5,63%",-0.05634235458,"6,82%",6073,0.04176327882665154,4.18%
2024,2024-06-01,336,1688,5.02,189690,320197281,1.51,484141816.5,286813.3698,"3,59%",1278,250545.6033,148.42723,"-5,15%",chevrolet,"8,33%",0.08328050849,"-16,44%",6351,0.04577065788302748,4.58%
2024,2024-07-01,489,2204,4.51,168950,372367081,1.45,541207416.5,245556.0593,"-14,38%",1416,262971.1024,119.3149718,"-19,61%",chevrolet,"-10,93%",-0.1093362855,"30,57%",6607,0.04030933695146399,4.03%
2024,2024-08-01,452,2196,4.86,163636,359346543,1.4,501364741.2,228306.9711,"-7,02%",1340,268169.0619,122.1164179,"2,35%",chevrolet,"-3,15%",-0.03145309263,"-0,36%",6883,0.04172273279372529,4.17%
2024,2024-09-01,409,1989,4.86,150663,299670026,1.35,404084784.7,203158.8769,"-11,02%",1243,241086.103,121.2091714,"-0,74%",chevrolet,"-7,93%",-0.07927962062,"-9,43%",7122,0.034692081048066425,3.47%
2024,2024-10-01,469,2239,4.77,164939,369299551,1.31,484922647.4,216579.3496,"6,61%",1201,307493.3813,137.3347211,"13,30%",chevrolet,"9,48%",0.09475451836,"12,57%",7313,0.026917380413114644,2.69%
2024,2024-11-01,423,1928,4.56,169945,327655019,1.28,420047053.1,217866.0247,"0,59%",1124,291508.024,151.1966192,"10,09%",chevrolet,"3,04%",0.03035061447,"-13,89%",7491,0.02426556075508368,2.43%
2024,2024-12-01,376,1732,4.61,172380,298562275,1.25,372673275.5,215169.2448,"-1,24%",1105,270192.1041,156.0,"3,18%",chevrolet,"1,43%",0.01432816499,"-10,17%",7694,0.02704104051463374,2.7%
2025,2025-01-01,433,2102,4.85,165528,347941009,1.22,424914055.2,202147.5065,"-6,05%",1216,286135.6984,136.1254523,"-12,74%",chevrolet,"-3,97%",-0.03974620026,"21,36%",7864,0.022110480136651844,2.21%
2025,2025-02-01,400,1974,4.93,178692,352738677,1.19,420670154.3,213105.4492,"5,42%",1212,291038.5124,147.4359241,"8,31%",chevrolet,"7,95%",0.07952579782,"-6,09%",8052,0.02401627430751785,2.4%
2025,2025-03-01,358,1479,4.13,173345,256378191,1.15,294759698.1,199296.6147,"-6,48%",1251,204938.602,138.5656515,"-6,02%",chevrolet,"-2,99%",-0.02992131616,"-25,08%",8353,0.03729335306612169,3.73%
2025,2025-04-01,454,2031,4.47,185871,377503995,1.12,422276031.8,207915.3313,"4,32%",1263,298894.6917,147.1662708,"6,21%",chevrolet,"7,23%",0.07225662395,"37,32%",8585,0.027808358448509596,2.78%
2025,2025-05-01,454,1820,4.01,193364,351923340,1.1,387839612.7,213098.6853,"2,49%",1162,302860.0175,166.4066007,"13,07%",chevrolet,"4,03%",0.04031543382,"-10,39%",8714,0.015011086343823088,1.5%
2025,2025-06-01,412,1899,4.61,186252,353693464,1.08,383580510.2,201990.7872,"-5,21%",1181,299486.422,157.7074344,"-5,23%",chevrolet,"-3,68%",-0.03678023165,"4,34%",8855,0.016189248819933333,1.62%
2025,2025-07-01,434,2335,5.38,201858,471339137,1.06,501627849.8,214829.9112,"6,36%",1282,367659.2335,157.4557722,"-0,16%",chevrolet,"8,38%",0.0837885219,"22,96%",9023,0.01901683755331285,1.9%
2025,2025-08-01,388,1837,4.73,233658,429231327,1.04,448403035.5,244095.2825,"13,62%",1329,322973.1582,175.8155455,"11,66%",chevrolet,"15,75%",0.1575390261,"-21,33%",9193,0.018757935113502766,1.88%
2025,2025-09-01,413,1874,4.54,218426,409330884,1.02,418917180.7,223541.7197,"-8,42%",1406,291131.4966,155.3529872,"-11,64%",chevrolet,"-6,52%",-0.06519145048,"2,01%",9384,0.020759603239513646,2.08%
2025,2025-10-01,386,1685,4.37,237695,400517303,1.0,400517303.2,237695.73,"6,33%",1462,273835.6948,162.5137662,"4,61%",chevrolet,"8,82%",0.08821936736,"-10,09%",9603,0.023419431023919524,2.34%
2023,2023-01-01,237,1061,4.48,57923,61457319,7.98,490638347.8,462422.4662,-,366,167916.1721,158.2595628,-,citroen,-,,-,1202,,-
2023,2023-02-01,205,814,3.97,65725,53500206,7.49,400565187.8,492094.3102,"6,42%",375,142667.216,175.2666667,"10,75%",citroen,"13,47%",0.134696062,"-23,28%",1282,0.0662772168092709,6.63%
2023,2023-03-01,294,1364,4.64,63967,87251865,6.95,606703666.6,444792.9387,"-9,61%",380,229610.1711,168.3342105,"-3,96%",citroen,"-2,67%",-0.02674781286,"67,57%",1381,0.07675239849783555,7.68%
2023,2023-04-01,276,1236,4.48,66171,81787710,6.41,524626097.1,424452.934,"-4,57%",419,195197.3986,157.9260143,"-6,18%",citroen,"3,45%",0.034455266,"-9,38%",1497,0.08402689883670966,8.4%
2023,2023-05-01,232,1136,4.9,77590,88142415,5.95,524611505.2,461804.9856,"8,80%",477,184784.9371,162.6624738,"3,00%",citroen,"17,26%",0.1725680434,"-8,09%",1613,0.07772752965890595,7.77%
2023,2023-06-01,297,1381,4.65,78580,108519464,5.62,609615687.0,441428.6518,"-4,41%",487,222832.5749,161.3552361,"-0,80%",citroen,"1,28%",0.01275937621,"21,57%",1709,0.05950831980500615,5.95%
2023,2023-07-01,282,1247,4.42,84630,105534412,5.28,557475932.0,447050.2771,"1,27%",516,204524.0543,164.0116279,"1,65%",citroen,"7,70%",0.07699160092,"-9,70%",1818,0.06344850862315798,6.34%
2023,2023-08-01,248,1247,5.03,103482,129042217,4.7,606228962.3,486149.3156,"8,75%",646,199755.7539,160.1888545,"-2,33%",citroen,"22,28%",0.2227578873,"0,00%",2044,0.12441637728689958,12.44%
2023,2023-09-01,264,1290,4.89,123622,159472960,4.17,664471460.1,515092.2817,"5,95%",733,217562.0191,168.6521146,"5,28%",citroen,"19,46%",0.1946232195,"3,45%",2304,0.12749750132466953,12.75%
2023,2023-10-01,204,955,4.68,123242,117696963,3.85,452813224.3,474146.5367,"-7,95%",912,129053.6875,135.1337719,"-19,87%",citroen,"-0,31%",-0.003073886525,"-25,97%",2496,0.08301739380410011,8.3%
2023,2023-11-01,298,1542,5.17,137446,211942590,3.41,722806128.4,468743.9704,"-1,14%",931,227650.4726,147.6326531,"9,25%",citroen,"11,53%",0.115252917,"61,47%",2816,0.1281069017691574,12.81%
2023,2023-12-01,219,954,4.36,197046,187982583,2.72,510971025.5,535607.0498,"14,26%",965,194800.6041,204.1927461,"38,31%",citroen,"43,36%",0.4336248418,"-38,13%",3533,0.2546567498423684,25.47%
2024,2024-01-01,263,970,3.69,238721,231559582,2.25,521846634.4,537985.7284,"0,44%",1141,202944.4189,209.2208589,"2,46%",citroen,"21,15%",0.2114988378,"1,68%",4261,0.20614225288961063,20.61%
2024,2024-02-01,226,1147,5.08,214618,246167026,1.99,489900130.7,427114.0126,"-20,61%",1081,227721.5782,198.5365402,"-5,11%",citroen,"-10,10%",-0.1009672379,"18,25%",4825,0.1324067605352477,13.24%
2024,2024-03-01,228,922,4.04,235925,217523459,1.79,389962501.5,422951.6374,"-0,97%",1001,217306.1528,235.6893107,"18,71%",citroen,"9,93%",0.09927871847,"-19,62%",5357,0.11009700156540236,11.01%
2024,2024-04-01,233,1064,4.57,249508,265477204,1.65,437308267.3,411002.9393,"-2,83%",1004,264419.5259,248.5139442,"5,44%",citroen,"5,76%",0.05757338137,"15,40%",5830,0.08831920760605083,8.83%
2024,2024-05-01,228,997,4.37,274290,273467770,1.58,432411820.1,433711.944,"5,53%",1119,244385.8534,245.1206434,"-1,37%",citroen,"9,93%",0.09932346859,"-6,30%",6073,0.04176327882665154,4.18%
2024,2024-06-01,155,626,4.04,247596,154995183,1.51,234354424.3,374367.8798,"-13,68%",1278,121279.4859,193.7370892,"-20,96%",citroen,"-9,73%",-0.09732035437,"-37,21%",6351,0.04577065788302748,4.58%
2024,2024-07-01,232,1168,5.03,266498,311270305,1.45,452407869.0,387334.7067,"3,46%",1416,219823.6617,188.2048023,"-2,86%",citroen,"7,63%",0.07634210569,"86,58%",6607,0.04030933695146399,4.03%
2024,2024-08-01,227,1136,5.0,281659,319965029,1.4,446419165.8,392974.1204,"1,46%",1340,238779.8724,210.1932836,"11,68%",citroen,"5,69%",0.05688973276,"-2,74%",6883,0.04172273279372529,4.17%
2024,2024-09-01,194,1057,5.45,267382,282623795,1.35,381099093.8,360546.5629,"-8,25%",1243,227372.321,215.1102172,"2,34%",citroen,"-5,07%",-0.05068895366,"-6,95%",7122,0.034692081048066425,3.47%
2024,2024-10-01,221,953,4.31,261063,248793719,1.31,326687938.2,342798.5785,"-4,92%",1201,207155.4696,217.3713572,"1,05%",citroen,"-2,36%",-0.02363285487,"-9,84%",7313,0.026917380413114644,2.69%
2024,2024-11-01,198,818,4.13,273166,223450109,1.28,286458483.4,350193.2419,"2,16%",1124,198799.0294,243.0302491,"11,80%",citroen,"4,64%",0.04636045705,"-14,17%",7491,0.02426556075508368,2.43%
2024,2024-12-01,188,852,4.53,290575,247570616,1.25,309024147.1,362703.349,"3,57%",1105,224045.8063,262.9638009,"8,20%",citroen,"6,37%",0.0637304789,"4,16%",7694,0.02704104051463374,2.7%
2025,2025-01-01,223,1081,4.85,274200,296410684,1.22,361983964.5,334860.2839,"-7,68%",1216,243758.7866,225.4937911,"-14,25%",citroen,"-5,64%",-0.05635223264,"26,88%",7864,0.022110480136651844,2.21%
2025,2025-02-01,201,802,3.99,271629,217847097,1.19,259800747.9,323941.0853,"-3,26%",1212,179741.8296,224.1169967,"-0,61%",citroen,"-0,94%",-0.009375075789,"-25,81%",8052,0.02401627430751785,2.4%
2025,2025-03-01,236,1109,4.7,266451,295494753,1.15,339732267.7,306341.0939,"-5,43%",1251,236206.8371,212.9908393,"-4,96%",citroen,"-1,91%",-0.0190636668,"38,28%",8353,0.03729335306612169,3.73%
2025,2025-04-01,250,1068,4.27,292230,312102176,1.12,349117546.0,326889.0855,"6,71%",1263,247111.7786,231.3780681,"8,63%",citroen,"9,67%",0.09674914996,"-3,70%",8585,0.027808358448509596,2.78%
2025,2025-05-01,282,1337,4.74,313001,418483033,1.1,461192194.6,344945.5446,"5,52%",1162,360140.3042,269.364475,"16,42%",citroen,"7,11%",0.07107752271,"25,19%",8714,0.015011086343823088,1.5%
2025,2025-06-01,231,1167,5.05,294639,343844466,1.08,372899273.9,319536.6571,"-7,37%",1181,291146.8814,249.4831922,"-7,38%",citroen,"-5,87%",-0.05866383652,"-12,72%",8855,0.016189248819933333,1.62%
2025,2025-07-01,254,1265,4.98,287887,364177937,1.06,387580367.4,306387.6443,"-4,12%",1282,284070.1544,224.5613885,"-9,99%",citroen,"-2,29%",-0.02291595853,"8,40%",9023,0.01901683755331285,1.9%
2025,2025-08-01,247,1286,5.21,291274,374578964,1.04,391309613.0,304284.306,"-0,69%",1329,281850.2364,219.168149,"-2,40%",citroen,"1,18%",0.01176420528,"1,66%",9193,0.018757935113502766,1.88%
2025,2025-09-01,241,980,4.07,328981,322401445,1.02,329951904.2,336685.6195,"10,65%",1406,229304.0155,233.9836913,"6,76%",citroen,"12,95%",0.1294538447,"-23,79%",9384,0.020759603239513646,2.08%
2025,2025-10-01,218,990,4.54,308777,305690098,1.0,305690098.5,308777.88,"-8,29%",1462,209001.858,211.1129897,"-9,77%",citroen,"-6,14%",-0.06141140583,"1,02%",9603,0.023419431023919524,2.34%
