marca,año,cant_ocompra,cant_piezas_total,costo_pieza_prom_hist,monto_total_compras,monto_ipc,monto_usd,costo_prom_ipc,costo_prom_usd,var_costo_prom_ipc,var_costo_prom_hist,var_costo_prom_usd
chevrolet,2023,5724,26619,76342,2022884415,9004782242,3309430,338093,124,-,-,-
chevrolet,2024,5255,23688,174937,4129806950,6138562734,3558632,259954,151,-23.1%,129.1%,21.6%
chevrolet,2025,2905,13403,182188,2446425789,2598323345,1997312,193553,148,-25.5%,4.1%,-1.7%
citroen,2023,3056,14227,98285,1392330709,6268694816,2313545,442702,163,-,-,-
citroen,2024,2593,11710,258417,3022863802,4423614692,2593079,376136,222,-15.0%,162.9%,36.0%
citroen,2025,1639,7693,284637,2199771937,2329768277,1802407,302650,232,-19.5%,10.1%,4.8%
fiat,2023,2889,13866,60719,838445939,3711937472,1366638,268495,99,-,-,-
fiat,2024,2590,10680,159632,1706526630,2474718457,1456504,232439,137,-13.4%,162.9%,38.5%
fiat,2025,1554,6954,179803,1254393315,1341118368,1026957,191880,147,-17.4%,12.6%,7.2%
ford,2023,5066,22670,69067,1556785969,7019412486,2577340,310358,114,-,-,-
ford,2024,4277,18888,196689,3703308156,5462178657,3201167,287430,169,-7.4%,184.8%,48.6%
ford,2025,2414,10687,221989,2382983784,2524610861,1946295,236095,181,-17.9%,12.9%,6.8%
peugeot,2023,6608,31679,95689,3076993459,13657363165,5031608,431010,159,-,-,-
peugeot,2024,6083,27683,253880,6991142107,10306633625,5999750,369234,218,-14.3%,165.3%,36.9%
peugeot,2025,3333,15759,272347,4315088257,4575111940,3522986,289425,222,-21.6%,7.3%,2.0%
renault,2023,4402,20372,66576,1328466278,5941910996,2181836,293111,107,-,-,-
renault,2024,3882,16482,174753,2871171560,4281670826,2487460,257941,151,-12.0%,162.5%,40.4%
renault,2025,2260,10249,168069,1715980992,1822674646,1402248,179283,137,-30.5%,-3.8%,-9.2%
toyota,2023,7649,44026,69917,3088470933,13642142862,5027875,308802,113,-,-,-
toyota,2024,7719,43064,232208,9926690992,14494976692,8534501,335847,199,8.8%,232.1%,75.4%
toyota,2025,4498,24016,284265,6838445744,7251299029,5584071,302481,232,-9.9%,22.4%,16.3%
volkswagen,2023,7589,35434,71218,2492474099,11478015105,4243433,325313,120,-,-,-
volkswagen,2024,6752,30737,206272,6304847076,9309237633,5403815,300901,177,-7.5%,189.6%,47.8%
volkswagen,2025,3533,16471,235334,3858634983,4105059373,3159770,250292,192,-16.8%,14.1%,8.2%
