año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,var_costo_pieza_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca
2023,2023-01-01,596,2834,4.76,43208,-,122452061,7.800711567,955213213,337054,-,366,334402,117,-,volkswagen
2023,2023-02-01,539,2381,4.42,52820,"22,25%",125766070,7.315838174,920084219,386427,"14,65%",375,334536,140,"19,07%",volkswagen
2023,2023-03-01,721,3444,4.78,49810,"-5,70%",171547542,6.794355122,1165554923,338430,"-12,42%",380,451208,131,"-6,75%",volkswagen
2023,2023-04-01,644,2981,4.63,51923,"4,24%",154783228,6.267699749,970134803,325439,"-3,84%",419,368712,123,"-5,59%",volkswagen
2023,2023-05-01,610,2801,4.59,59314,"14,23%",166139713,5.815662658,966212525,344952,"6,00%",477,347771,124,"0,38%",volkswagen
2023,2023-06-01,677,3224,4.76,64448,"8,66%",207782149,5.489020283,1140520432,353759,"2,55%",487,425840,132,"6,38%",volkswagen
2023,2023-07-01,651,3298,5.07,57904,"-10,15%",190970350,5.161528968,985698996,298877,"-15,51%",516,369688,112,"-15,13%",volkswagen
2023,2023-08-01,709,3215,4.53,66561,"14,95%",213995666,4.590407141,982327235,305545,"2,23%",646,330782,102,"-8,21%",volkswagen
2023,2023-09-01,628,2941,4.68,75770,"13,84%",222842391,4.07132356,907263479,308488,"0,96%",733,303651,103,"0,35%",volkswagen
2023,2023-10-01,603,2782,4.61,93592,"23,52%",260374825,3.759241157,978811758,351837,"14,05%",912,285258,102,"-0,69%",volkswagen
2023,2023-11-01,648,3036,4.69,108306,"15,72%",328817481,3.33234479,1095733221,360913,"2,58%",931,352903,116,"13,36%",volkswagen
2023,2023-12-01,563,2497,4.44,130958,"20,91%",327002619,2.65598124,868512821,347822,"-3,63%",965,338678,135,"16,68%",volkswagen
2024,2024-01-01,721,3138,4.35,172178,"31,48%",540295418,2.202046428,1189755597,379144,"9,01%",1141,473196,150,"11,18%",volkswagen
2024,2024-02-01,589,2543,4.32,194895,"13,19%",495618108,1.944571955,963765074,378987,"-0,04%",1081,458330,180,"19,52%",volkswagen
2024,2024-03-01,510,2396,4.7,204679,"5,02%",490412128,1.751713546,859061568,358539,"-5,40%",1001,489626,204,"13,38%",volkswagen
2024,2024-04-01,570,2526,4.43,199334,"-2,61%",503517971,1.609558605,810441683,320839,"-10,51%",1004,501137,198,"-2,92%",volkswagen
2024,2024-05-01,638,2970,4.66,209962,"5,33%",623589005,1.545032963,963465569,324399,"1,11%",1119,556983,187,"-5,47%",volkswagen
2024,2024-06-01,461,2205,4.78,226804,"8,02%",500104496,1.477410894,738859831,335083,"3,29%",1278,391131,177,"-5,41%",volkswagen
2024,2024-07-01,660,3057,4.63,200081,"-11,78%",611648602,1.420164985,868641928,284148,"-15,20%",1416,431948,141,"-20,34%",volkswagen
2024,2024-08-01,633,3019,4.77,213510,"6,71%",644588020,1.363285009,878757185,291075,"2,44%",1340,480791,159,"12,71%",volkswagen
2024,2024-09-01,510,2461,4.83,209785,"-1,74%",516281507,1.317575571,680239901,276407,"-5,04%",1243,415261,168,"5,95%",volkswagen
2024,2024-10-01,511,2276,4.45,213839,"1,93%",486698777,1.283039508,624453760,274364,"-0,74%",1201,405244,178,"5,52%",volkswagen
2024,2024-11-01,505,2110,4.18,219089,"2,45%",462278272,1.252643413,579069833,274440,"0,03%",1124,411262,194,"9,47%",volkswagen
2024,2024-12-01,444,2036,4.59,211107,"-3,64%",429814766,1.219662471,524228940,257479,"-6,18%",1105,388902,191,"-2,00%",volkswagen
2025,2025-01-01,519,2476,4.77,229234,"8,59%",567585105,1.19327851,677287108,273540,"6,24%",1216,466462,188,"-1,37%",volkswagen
2025,2025-02-01,473,2354,4.98,228976,"-0,11%",539009992,1.165292525,628104315,266824,"-2,46%",1212,444461,188,"0,22%",volkswagen
2025,2025-03-01,477,2106,4.42,225318,"-1,60%",474521647,1.123397274,533076325,253122,"-5,14%",1251,379082,180,"-4,67%",volkswagen
2025,2025-04-01,506,2111,4.17,248070,"10,10%",523677600,1.093002664,572381013,271142,"7,12%",1263,414338,196,"9,04%",volkswagen
2025,2025-05-01,579,2907,5.02,213557,"-13,91%",620810528,1.076838154,668512463,229966,"-15,19%",1162,534194,183,"-6,38%",volkswagen
2025,2025-06-01,465,2193,4.72,259928,"21,71%",570024055,1.059682687,604044623,275442,"19,77%",1181,482318,219,"19,69%",volkswagen
2025,2025-07-01,527,2387,4.53,245120,"-5,70%",585102580,1.039906946,608452237,254902,"-7,46%",1282,456139,191,"-13,11%",volkswagen
2025,2025-08-01,516,2354,4.56,223538,"-8,80%",526208701,1.020759603,537132585,228178,"-10,48%",1329,395929,168,"-11,98%",volkswagen
2025,2025-09-01,498,2580,5.18,261512,"16,99%",674703399,1.0,674703399,261512,"14,61%",1406,479583,185,"10,52%",volkswagen
2023,2023-01-01,590,3402,5.77,37096,-,126200786,7.800711567,984455934,289375,-,366,344639,101,-,toyota
