año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,marca,var_costo_prom_%,var_ipc,var_costo_prom,var_ipc_%,var_cant_piezas
2023,2023-01-01,596,2834,4.76,43208,122452061,7.800711567,955213213,337054,-,366,334402,117,-,volkswagen,-,,,-,-
2023,2023-02-01,539,2381,4.42,52820,125766070,7.315838174,920084219,386427,"14,65%",375,334536,140,"19,07%",volkswagen,"22,25%",-0.062157585091493495,0.22245880392519912,-6.22%,-15.98%
2023,2023-03-01,721,3444,4.78,49810,171547542,6.794355122,1165554923,338430,"-12,42%",380,451208,131,"-6,75%",volkswagen,"-5,70%",-0.0712813815173381,-0.05698599015524419,-7.13%,44.65%
2023,2023-04-01,644,2981,4.63,51923,154783228,6.267699749,970134803,325439,"-3,84%",419,368712,123,"-5,59%",volkswagen,"4,24%",-0.07751366590991082,0.04242120056213605,-7.75%,-13.44%
2023,2023-05-01,610,2801,4.59,59314,166139713,5.815662658,966212525,344952,"6,00%",477,347771,124,"0,38%",volkswagen,"14,23%",-0.07212168883363024,0.14234539606725338,-7.21%,-6.04%
2023,2023-06-01,677,3224,4.76,64448,207782149,5.489020283,1140520432,353759,"2,55%",487,425840,132,"6,38%",volkswagen,"8,66%",-0.05616597698469872,0.08655629362376516,-5.62%,15.1%
2023,2023-07-01,651,3298,5.07,57904,190970350,5.161528968,985698996,298877,"-15,51%",516,369688,112,"-15,13%",volkswagen,"-10,15%",-0.059662981391100156,-0.10153922542204563,-5.97%,2.3%
2023,2023-08-01,709,3215,4.53,66561,213995666,4.590407141,982327235,305545,"2,23%",646,330782,102,"-8,21%",volkswagen,"14,95%",-0.11064973780846554,0.1495060790273557,-11.06%,-2.52%
2023,2023-09-01,628,2941,4.68,75770,222842391,4.07132356,907263479,308488,"0,96%",733,303651,103,"0,35%",volkswagen,"13,84%",-0.11308007439334022,0.1383542915521101,-11.31%,-8.52%
2023,2023-10-01,603,2782,4.61,93592,260374825,3.759241157,978811758,351837,"14,05%",912,285258,102,"-0,69%",volkswagen,"23,52%",-0.07665379535690842,0.2352118252606572,-7.67%,-5.41%
2023,2023-11-01,648,3036,4.69,108306,328817481,3.33234479,1095733221,360913,"2,58%",931,352903,116,"13,36%",volkswagen,"15,72%",-0.11355918632809325,0.1572142918198136,-11.36%,9.13%
2023,2023-12-01,563,2497,4.44,130958,327002619,2.65598124,868512821,347822,"-3,63%",965,338678,135,"16,68%",volkswagen,"20,91%",-0.2029692581721113,0.20914815430354738,-20.3%,-17.75%
2024,2024-01-01,721,3138,4.35,172178,540295418,2.202046428,1189755597,379144,"9,01%",1141,473196,150,"11,18%",volkswagen,"31,48%",-0.1709103984484469,0.3147574031368836,-17.09%,25.67%
2024,2024-02-01,589,2543,4.32,194895,495618108,1.944571955,963765074,378987,"-0,04%",1081,458330,180,"19,52%",volkswagen,"13,19%",-0.11692508828428749,0.13193903983087263,-11.69%,-18.96%
2024,2024-03-01,510,2396,4.7,204679,490412128,1.751713546,859061568,358539,"-5,40%",1001,489626,204,"13,38%",volkswagen,"5,02%",-0.09917782085878124,0.05020139049231642,-9.92%,-5.78%
2024,2024-04-01,570,2526,4.43,199334,503517971,1.609558605,810441683,320839,"-10,51%",1004,501137,198,"-2,92%",volkswagen,"-2,61%",-0.08115193338808602,-0.026114061530494115,-8.12%,5.43%
2024,2024-05-01,638,2970,4.66,209962,623589005,1.545032963,963465569,324399,"1,11%",1119,556983,187,"-5,47%",volkswagen,"5,33%",-0.04008902925283664,0.053317547432951695,-4.01%,17.58%
2024,2024-06-01,461,2205,4.78,226804,500104496,1.477410894,738859831,335083,"3,29%",1278,391131,177,"-5,41%",volkswagen,"8,02%",-0.04376739566041221,0.08021451500747756,-4.38%,-25.76%
2024,2024-07-01,660,3057,4.63,200081,611648602,1.420164985,868641928,284148,"-15,20%",1416,431948,141,"-20,34%",volkswagen,"-11,78%",-0.03874745288022763,-0.11782420063138221,-3.87%,38.64%
2024,2024-08-01,633,3019,4.77,213510,644588020,1.363285009,878757185,291075,"2,44%",1340,480791,159,"12,71%",volkswagen,"6,71%",-0.04005166765888124,0.0671178172839999,-4.01%,-1.24%
2024,2024-09-01,510,2461,4.83,209785,516281507,1.317575571,680239901,276407,"-5,04%",1243,415261,168,"5,95%",volkswagen,"-1,74%",-0.0335288935902911,-0.01744648962577866,-3.35%,-18.48%
2024,2024-10-01,511,2276,4.45,213839,486698777,1.283039508,624453760,274364,"-0,74%",1201,405244,178,"5,52%",volkswagen,"1,93%",-0.026211827055800607,0.01932454655957283,-2.62%,-7.52%
2024,2024-11-01,505,2110,4.18,219089,462278272,1.252643413,579069833,274440,"0,03%",1124,411262,194,"9,47%",volkswagen,"2,45%",-0.02369069292915349,0.024551181028717783,-2.37%,-7.29%
2024,2024-12-01,444,2036,4.59,211107,429814766,1.219662471,524228940,257479,"-6,18%",1105,388902,191,"-2,00%",volkswagen,"-3,64%",-0.026329074705316757,-0.03643268260843768,-2.63%,-3.51%
2025,2025-01-01,519,2476,4.77,229234,567585105,1.19327851,677287108,273540,"6,24%",1216,466462,188,"-1,37%",volkswagen,"8,59%",-0.021632182367936292,0.08586640897743791,-2.16%,21.61%
2025,2025-02-01,473,2354,4.98,228976,539009992,1.165292525,628104315,266824,"-2,46%",1212,444461,188,"0,22%",volkswagen,"-0,11%",-0.023453020200623675,-0.0011254874931292402,-2.35%,-4.93%
2025,2025-03-01,477,2106,4.42,225318,474521647,1.123397274,533076325,253122,"-5,14%",1251,379082,180,"-4,67%",volkswagen,"-1,60%",-0.035952561353639445,-0.015975473412060626,-3.6%,-10.54%
2025,2025-04-01,506,2111,4.17,248070,523677600,1.093002664,572381013,271142,"7,12%",1263,414338,196,"9,04%",volkswagen,"10,10%",-0.027055976281459393,0.10097728543658291,-2.71%,0.24%
2025,2025-05-01,579,2907,5.02,213557,620810528,1.076838154,668512463,229966,"-15,19%",1162,534194,183,"-6,38%",volkswagen,"-13,91%",-0.014789085637580746,-0.1391260531301649,-1.48%,37.71%
