tipo_repuesto,año,cant_ocompra,cant_piezas_total,costo_pieza_prom,var_costo_prom,monto_total_compras
Capot,2023,11128,13314,168309,-,2228782962
Capot,2024,10317,12165,468359,178.3%,5676117255
Capot,2025,5671,6655,512830,9.5%,3423014609
Optica,2023,8963,11359,184461,-,2094842059
Optica,2024,8070,10163,546423,196.2%,5524440191
Optica,2025,4268,5353,618971,13.3%,3307200569
Paragolpe Del,2023,10241,10242,154842,-,1576878106
Paragolpe Del,2024,9339,9341,428701,176.9%,3991732497
Paragolpe Del,2025,4782,4782,454276,6.0%,2175575010
Paragolpe Tras,2023,6068,6069,168164,-,1016000113
Paragolpe Tras,2024,5459,5459,459141,173.0%,2499241939
Paragolpe Tras,2025,2772,2772,498958,8.7%,1386270581
