tipo_repuesto,año,cant_ocompra,cant_piezas_total,monto_total_compras,monto_ipc,costo_prom_ipc,var_costo_prom_ipc
Capot,2023,11128,13314,2228782962,9966336892,749360,-
Capot,2024,10317,12165,5676117255,8317865666,681941,-9.0%
Capot,2025,5671,6655,3423014609,3647855933,545734,-20.0%
Optica,2023,8963,11359,2094842059,9424227927,826718,-
Optica,2024,8070,10163,5524440191,8083387940,793146,-4.1%
Optica,2025,4268,5353,3307200569,3531741386,659089,-16.9%
Paragolpe Del,2023,10241,10242,1576878106,7050527378,689083,-
Paragolpe Del,2024,9339,9341,3991732497,5839516401,624523,-9.4%
Paragolpe Del,2025,4782,4782,2175575010,2323696449,483812,-22.5%
Paragolpe Tras,2023,6068,6069,1016000113,4563757285,751009,-
Paragolpe Tras,2024,5459,5459,2499241939,3671118773,669076,-10.9%
Paragolpe Tras,2025,2772,2772,1386270581,1352407046,540900,-19.2%
