año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tipo_repuesto,var_costo_prom_%,var_costo_prom,var_cant_piezas,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-01-01,919,1112,1.0,94714,105322202,7.98,840829245.7,756139.728,-,366,287765.5792,258.7814208,-,Capot,-,,-,1202,,-
2023,2023-02-01,705,840,1.0,103136,86634719,7.49,648648950.6,772196.8622,"2,12%",375,231025.9173,275.0293333,"6,28%",Capot,"8,89%",0.08892032857,"-24,46%",1282,0.0662772168092709,6.63%
2023,2023-03-01,1049,1229,1.0,105870,130114470,6.95,904747721.2,736164.4039,"-4,67%",380,342406.5,278.6052632,"1,30%",Capot,"2,65%",0.02650868756,"46,31%",1381,0.07675239849783555,7.68%
2023,2023-04-01,897,1079,1.0,110470,119197982,6.41,764593752.4,708608.2365,"-3,74%",419,284482.0573,263.6515513,"-5,37%",Capot,"4,34%",0.04344951355,"-12,21%",1497,0.08402689883670966,8.4%
2023,2023-05-01,928,1105,1.0,120076,132684212,5.95,789718141.7,714675.8017,"0,86%",477,278163.9665,251.7316562,"-4,52%",Capot,"8,70%",0.08695573459,"2,41%",1613,0.07772752965890595,7.77%
2023,2023-06-01,1023,1210,1.0,143219,173295487,5.62,973499531.5,804542.76,"12,57%",487,355842.8891,294.0841889,"16,82%",Capot,"19,27%",0.192736267,"9,50%",1709,0.05950831980500615,5.95%
2023,2023-07-01,922,1106,1.0,143610,158833079,5.28,839021292.3,758606.7622,"-5,71%",516,307816.0446,278.3139535,"-5,36%",Capot,"0,27%",0.002730084695,"-8,60%",1818,0.06344850862315798,6.34%
2023,2023-08-01,1068,1281,1.0,177050,226802136,4.7,1065496446.0,831765.2956,"9,64%",646,351086.8978,274.0712074,"-1,52%",Capot,"23,29%",0.2328528654,"15,82%",2044,0.12441637728689958,12.44%
2023,2023-09-01,956,1134,1.0,195280,221448231,4.17,922702064.2,813667.6382,"-2,18%",733,302112.1842,266.4120055,"-2,79%",Capot,"10,30%",0.102965264,"-11,48%",2304,0.12749750132466953,12.75%
2023,2023-10-01,887,1068,1.0,223405,238597323,3.85,917950815.2,859501.688,"5,63%",912,261619.8717,244.9616228,"-8,05%",Capot,"14,40%",0.1440239656,"-5,82%",2496,0.08301739380410011,8.3%
