año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tipo_repuesto,var_costo_prom_%,var_ipc,var_costo_prom,var_ipc_%,var_cant_piezas
2023,2023-01-01,919,1112,1.21,94714,105322202,7.501355385,790059269,710484,-,366,287622,258,-,Capot,-,,,-,-
2023,2023-02-01,705,840,1.19,103136,86634719,7.03508925,609482984,725574,"2,12%",375,230447,274,"6,07%",Capot,"8,89%",-0.06215758500555291,0.08892032856811038,-6.22%,-24.46%
2023,2023-03-01,1049,1229,1.17,105870,130114470,6.533618369,850118292,691715,"-4,67%",380,342230,278,"1,50%",Capot,"2,65%",-0.07128138154039776,0.026508687558175703,-7.13%,46.31%
2023,2023-04-01,897,1079,1.2,110470,119197982,6.027173658,718426942,665826,"-3,74%",419,283943,263,"-5,50%",Capot,"4,35%",-0.07751366584294606,0.04344951355435911,-7.75%,-12.21%
2023,2023-05-01,928,1105,1.19,120076,132684212,5.592483714,742034294,671524,"0,86%",477,277740,251,"-4,49%",Capot,"8,69%",-0.07212168898153881,0.08695573458857608,-7.21%,2.41%
2023,2023-06-01,1023,1210,1.18,143219,173295487,5.278376403,914718813,755965,"12,57%",487,355161,293,"16,78%",Capot,"19,27%",-0.056165976883164825,0.19273626703088054,-5.62%,9.5%
2023,2023-07-01,922,1106,1.2,143610,158833079,4.96345273,788360480,712803,"-5,71%",516,307475,278,"-5,29%",Capot,"0,27%",-0.05966298137075088,0.002730084695466317,-5.97%,-8.6%
2023,2023-08-01,1068,1281,1.2,177050,226802136,4.414247987,1001160876,781546,"9,64%",646,350578,273,"-1,56%",Capot,"23,29%",-0.11064973776832965,0.23285286539934535,-11.06%,15.82%
2023,2023-09-01,956,1134,1.19,195280,221448231,3.915084496,866988539,764540,"-2,18%",733,301751,266,"-2,77%",Capot,"10,30%",-0.11308007444757096,0.10296526404970341,-11.31%,-11.48%
2023,2023-10-01,887,1068,1.2,223405,238597323,3.61497841,862524173,807606,"5,63%",912,261400,244,"-8,02%",Capot,"14,40%",-0.076653795417855,0.1440239655878739,-7.67%,-5.82%
2023,2023-11-01,979,1203,1.23,253638,305127588,3.204464403,977770496,812776,"0,64%",931,327477,272,"11,22%",Capot,"13,53%",-0.1135591863742279,0.13532821557261476,-11.36%,12.64%
2023,2023-12-01,795,947,1.19,349234,330725527,2.55405664,844691729,891965,"9,74%",965,342533,361,"32,87%",Capot,"37,69%",-0.20296925826078516,0.3768993605059179,-20.3%,-21.28%
2024,2024-01-01,949,1093,1.15,387937,424015526,2.117541803,897870603,821473,"-7,90%",1141,371357,339,"-6,07%",Capot,"11,08%",-0.17091039805601183,0.11082254305136385,-17.09%,15.42%
