tipo_repuesto,año,cant_ocompra,cant_piezas_total,monto_total_compras,monto_usd,costo_prom_usd,var_costo_prom_usd
Capot,2023,11128,13314,2228782962.65,3668363.7782,276.32829025,0.0%
Capot,2024,10317,12165,5676117255.9800005,4873197.393,403.49066523333335,46.0%
Capot,2025,5671,6655,3423014609.41,2807426.8355,419.38473397142855,3.9%
Optica,2023,8963,11359,2094842059.6,3466237.7391,304.67139756666666,0.0%
Optica,2024,8070,10163,5524440191.65,4738841.9386,470.79106099166665,54.5%
Optica,2025,4268,5353,3307200569.3299994,2707173.5025,505.7746079142857,7.4%
Paragolpe Del,2023,10241,10242,1576878106.34,2596422.022,254.16186173333335,0.0%
Paragolpe Del,2024,9339,9341,3991732497.65,3423849.8919,369.39535916666665,45.3%
Paragolpe Del,2025,4782,4782,2175575010.75,1783381.3586,371.4446828,0.6%
Paragolpe Tras,2023,6068,6069,1016000113.95,1683524.88151,277.15298470833335,0.0%
Paragolpe Tras,2024,5459,5459,2499241939.59,2156739.4556,395.9017897833333,42.8%
Paragolpe Tras,2025,2772,2772,1386270581.98,1136858.67472,407.9945300142857,3.1%
