anio_mes,grupo_cesvi,grupo_sls,la_segunda,san_cristobal,sancor,ipc,grupo_cesvi_ipc,grupo_sls_ipc,la_segunda_ipc,san_cristobal_ipc,sancor_ipc,usd_blue,grupo_cesvi_usd,grupo_sls_usd,la_segunda_usd,san_cristobal_usd,sancor_usd,var_%_grupo_cesvi,var_%_grupo_sls,var_%_la_segunda,var_%_san_cristobal,var_%_sancor
2022-07-01,207036,227688,245508,236554,208370,10.79,2234586,2457488,2649825,2553189,2248988,285,724,796,858,827,728,,,,,
2022-08-01,216548,238937,250977,247006,222869,10.09,2184957,2410858,2532341,2492272,2248734,289,749,826,868,854,770,0.05,0.05,0.02,0.04,0.07
2022-09-01,229446,249486,253096,268116,232231,9.5,2180647,2371110,2405420,2548167,2207119,279,820,891,904,958,830,0.06,0.04,0.01,0.09,0.04
2022-10-01,250751,275871,295445,295857,247231,8.94,2240888,2465386,2640306,2643989,2209438,286,876,964,1032,1033,863,0.09,0.11,0.17,0.1,0.06
2022-11-01,264734,289083,304991,308092,264722,8.52,2254991,2462399,2597901,2624319,2254892,300,881,962,1015,1026,881,0.06,0.05,0.03,0.04,0.07
2022-12-01,291579,321038,360978,346474,279143,8.1,2362586,2601283,2924911,2807385,2261824,325,894,985,1107,1063,856,0.1,0.11,0.18,0.12,0.05
2023-01-01,306299,336812,350829,373922,302345,7.64,2340758,2573946,2681063,2857540,2310543,366,836,919,958,1021,825,0.05,0.05,-0.03,0.08,0.08
2023-02-01,314787,347991,379156,371142,313482,7.17,2256096,2494075,2717432,2659999,2246742,375,837,925,1008,987,833,0.03,0.03,0.08,-0.01,0.04
2023-03-01,332737,371520,402434,404487,328665,6.66,2214757,2472903,2678677,2692337,2187655,380,875,977,1058,1063,864,0.06,0.07,0.06,0.09,0.05
2023-04-01,367803,404846,429397,442832,363059,6.14,2258399,2485852,2636598,2719095,2229268,419,876,964,1022,1054,864,0.11,0.09,0.07,0.09,0.1
2023-05-01,398234,435114,474643,464692,392151,5.7,2268897,2479014,2704226,2647530,2234240,477,833,910,993,972,820,0.08,0.07,0.11,0.05,0.08
2023-06-01,417119,469710,531913,479864,428476,5.38,2243012,2525814,2860302,2580419,2304086,487,854,962,1090,983,878,0.05,0.08,0.12,0.03,0.09
2023-07-01,441913,485764,526990,507244,450896,5.06,2234559,2456296,2664755,2564911,2279984,516,855,940,1020,981,872,0.06,0.03,-0.01,0.06,0.05
2023-08-01,485140,557727,570897,578628,536990,4.5,2181702,2508130,2567355,2602120,2414875,646,749,862,882,894,830,0.1,0.15,0.08,0.14,0.19
2023-09-01,638349,604251,666080,667109,594522,3.99,2546071,2410071,2656675,2660781,2371266,733,869,823,907,909,810,0.32,0.08,0.17,0.15,0.11
2023-10-01,578603,689747,771751,725899,656504,3.68,2130875,2540195,2842196,2673333,2417766,912,633,755,845,795,719,-0.09,0.14,0.16,0.09,0.1
2023-11-01,748979,840511,895053,825022,821220,3.26,2445099,2743911,2921966,2693346,2680935,931,803,902,960,885,881,0.29,0.22,0.16,0.14,0.25
2023-12-01,947470,1088139,1127409,1090120,1067131,2.6,2465284,2831302,2933479,2836455,2776639,965,981,1126,1167,1129,1105,0.27,0.29,0.26,0.32,0.3
2024-01-01,1267785,1328559,1400279,1347027,1302049,2.16,2734945,2866051,3020771,2905891,2808861,1141,1110,1163,1226,1179,1140,0.34,0.22,0.24,0.24,0.22
2024-02-01,1316088,1428367,1549671,1412432,1369862,1.91,2507181,2721074,2952161,2690717,2609620,1081,1217,1320,1433,1306,1266,0.04,0.08,0.11,0.05,0.05
2024-03-01,1357503,1523179,1588112,1505283,1500948,1.72,2329595,2613910,2725341,2583198,2575759,1001,1355,1520,1585,1502,1498,0.03,0.07,0.02,0.07,0.1
2024-04-01,1464152,1645065,1731177,1595357,1631556,1.58,2308711,2593978,2729762,2515597,2572678,1004,1457,1637,1722,1587,1623,0.08,0.08,0.09,0.06,0.09
2024-05-01,1494603,1667710,1727313,1671801,1630029,1.51,2262247,2524265,2614481,2530457,2467230,1119,1334,1489,1542,1493,1455,0.02,0.01,-0.0,0.05,-0.0
2024-06-01,1538017,1721173,1846100,1764041,1626052,1.45,2226070,2491164,2671979,2553210,2353489,1278,1202,1346,1443,1379,1271,0.03,0.03,0.07,0.06,-0.0
2024-07-01,1673562,1836972,1932088,1858779,1768523,1.39,2328398,2555747,2688080,2586087,2460516,1416,1181,1297,1364,1312,1248,0.09,0.07,0.05,0.05,0.09
2024-08-01,1678349,1872520,1997128,1837026,1831228,1.34,2241535,2500861,2667283,2453457,2445714,1340,1251,1396,1489,1370,1365,0.0,0.02,0.03,-0.01,0.04
2024-09-01,1769790,1956990,2069885,2008195,1862045,1.29,2284408,2526043,2671765,2592137,2403489,1243,1423,1574,1664,1615,1497,0.05,0.05,0.04,0.09,0.02
2024-10-01,1741743,1941128,2024010,1831387,1968554,1.26,2189276,2439892,2544071,2301954,2474366,1201,1450,1616,1685,1524,1639,-0.02,-0.01,-0.02,-0.09,0.06
2024-11-01,1776226,1957826,2003502,1836862,2025031,1.23,2179727,2402582,2458633,2254139,2485053,1124,1580,1741,1782,1634,1801,0.02,0.01,-0.01,0.0,0.03
2024-12-01,1849420,2010837,2088084,1863745,2077516,1.19,2209794,2402664,2494963,2226910,2482336,1105,1673,1819,1889,1686,1879,0.04,0.03,0.04,0.01,0.03
2025-01-01,1920641,2148605,2230269,2036301,2187551,1.17,2245249,2511741,2607208,2380457,2557270,1216,1578,1765,1832,1673,1797,0.04,0.07,0.07,0.09,0.05
2025-02-01,1874252,2095101,2212180,1929737,2156048,1.14,2139634,2391753,2525411,2202975,2461330,1212,1545,1727,1824,1591,1777,-0.02,-0.02,-0.01,-0.05,-0.01
2025-03-01,1943312,2170232,2195177,2064709,2236926,1.1,2138712,2388450,2415903,2272317,2461849,1251,1552,1733,1753,1649,1787,0.04,0.04,-0.01,0.07,0.04
2025-04-01,1912654,2214359,2256150,2102344,2272896,1.07,2048020,2371077,2415827,2251135,2433758,1263,1513,1752,1785,1663,1798,-0.02,0.02,0.03,0.02,0.02
2025-05-01,1931282,2232141,2300048,2125359,2272757,1.05,2037383,2354771,2426408,2242122,2397618,1162,1661,1920,1979,1828,1955,0.01,0.01,0.02,0.01,-0.0
