anio_mes,grupo_cesvi,grupo_sls,la_segunda,ipc,grupo_cesvi_ipc,grupo_sls_ipc,la_segunda_ipc,usd_blue,grupo_cesvi_usd,grupo_sls_usd,la_segunda_usd,var_%_grupo_cesvi,var_%_grupo_sls,var_%_la_segunda,ipc_empalme_ipim,var_ipc
2022-07-01,207036,227688,245508,12.23,2531077,2783555,3001412,285,724,796,858,,,,851.761,
2022-08-01,216548,238937,250977,11.43,2474864,2730738,2868339,289,749,826,868,0.05,0.05,0.02,911.1316,0.07
2022-09-01,229446,249486,253096,10.76,2469982,2685715,2724578,279,820,891,904,0.06,0.04,0.01,967.3076,0.06
2022-10-01,250751,275871,295445,10.12,2538215,2792500,2990629,286,876,964,1032,0.09,0.11,0.17,1028.706,0.06
2022-11-01,264734,289083,304991,9.65,2554190,2789118,2942599,300,881,962,1015,0.06,0.05,0.03,1079.2787,0.05
2022-12-01,291579,321038,360978,9.18,2676061,2946429,3312997,325,894,985,1107,0.1,0.11,0.18,1134.5875,0.05
2023-01-01,306299,336812,350829,8.66,2651337,2915465,3036795,366,836,919,958,0.05,0.05,-0.03,1202.979,0.06
2023-02-01,314787,347991,379156,8.12,2555442,2824996,3077989,375,837,925,1008,0.03,0.03,0.08,1282.7091,0.07
2023-03-01,332737,371520,402434,7.54,2508618,2801015,3034091,380,875,977,1058,0.06,0.07,0.06,1381.1601,0.08
2023-04-01,367803,404846,429397,6.95,2558050,2815683,2986430,419,876,964,1022,0.11,0.09,0.07,1497.2147,0.08
2023-05-01,398234,435114,474643,6.45,2569941,2807937,3063031,477,833,910,993,0.08,0.07,0.11,1613.5895,0.08
2023-06-01,417119,469710,531913,6.09,2540622,2860946,3239816,487,854,962,1090,0.05,0.08,0.12,1709.6115,0.06
2023-07-01,441913,485764,526990,5.73,2531047,2782205,3018323,516,855,940,1020,0.06,0.03,-0.01,1818.0838,0.06
2023-08-01,485140,557727,570897,5.09,2471177,2840916,2907999,646,749,862,882,0.1,0.15,0.08,2044.2832,0.12
2023-09-01,638349,604251,666080,4.52,2883891,2729846,3009171,733,869,823,907,0.32,0.08,0.17,2304.9242,0.13
2023-10-01,578603,689747,771751,4.17,2413606,2877236,3219306,912,633,755,845,-0.09,0.14,0.16,2496.273,0.08
2023-11-01,748979,840511,895053,3.7,2769523,3107982,3309661,931,803,902,960,0.29,0.22,0.16,2816.0628,0.13
2023-12-01,947470,1088139,1127409,2.95,2792385,3206968,3322702,965,981,1126,1167,0.27,0.29,0.26,3533.1922,0.25
2024-01-01,1267785,1328559,1400279,2.44,3097825,3246328,3421576,1141,1110,1163,1226,0.34,0.22,0.24,4261.5324,0.21
2024-02-01,1316088,1428367,1549671,2.16,2839841,3082114,3343863,1081,1217,1320,1433,0.04,0.08,0.11,4825.7881,0.13
2024-03-01,1357503,1523179,1588112,1.94,2638693,2960731,3086948,1001,1355,1520,1585,0.03,0.07,0.02,5357.0929,0.11
2024-04-01,1464152,1645065,1731177,1.79,2615038,2938155,3091955,1004,1457,1637,1722,0.08,0.08,0.09,5830.2271,0.09
2024-05-01,1494603,1667710,1727313,1.71,2562409,2859192,2961378,1119,1334,1489,1542,0.02,0.01,-0.0,6073.7165,0.04
2024-06-01,1538017,1721173,1846100,1.64,2521432,2821700,3026505,1278,1202,1346,1443,0.03,0.03,0.07,6351.7145,0.05
2024-07-01,1673562,1836972,1932088,1.58,2637337,2894852,3044742,1416,1181,1297,1364,0.09,0.07,0.05,6607.7479,0.04
2024-08-01,1678349,1872520,1997128,1.51,2538949,2832683,3021186,1340,1251,1396,1489,0.0,0.02,0.03,6883.4412,0.04
2024-09-01,1769790,1956990,2069885,1.46,2587510,2861206,3026262,1243,1423,1574,1664,0.05,0.05,0.04,7122.2421,0.03
2024-10-01,1741743,1941128,2024010,1.42,2479756,2763625,2881626,1201,1450,1616,1685,-0.02,-0.01,-0.02,7313.9542,0.03
2024-11-01,1776226,1957826,2003502,1.39,2468940,2721363,2784852,1124,1580,1741,1782,0.02,0.01,-0.01,7491.4314,0.02
