nro_siniestro_gw,nro_situacion,fecha_creacion,fecha_de_pago,segmento,nro_exposicion,cobertura_principal,garantia,garantia/cobertura,monto_transaccion,modelo_vehiculo,marca_vehiculo,tipo_vehiculo,grupo_tipo_vehiculo_alternativo,año_mes_fecha_pago,usd_blue,ipc_factor,pago_ipc,pago_usd
4-3426294,1,2026-03-06,2026-03-03,Robo Total,1,RT - Robo y Hurto Total (Autos particulares),Robo Total,RT,30619240.0,SPRINTER,MERCEDES BENZ,P GII +1000Kg,PICK UPS,2026-03-01,1411.1904761904761,1.0,30619240.0,21697.45368651932
4-3427143,1,2026-03-04,2026-03-03,Robo Total,1,RT - Robo y Hurto Total (Autos particulares),Robo Total,RT,9124240.0,SYMBOL,RENAULT,AUT/FAM/M.VAN,AUTOS PARTICULARES,2026-03-01,1411.1904761904761,1.0,9124240.0,6465.633203981779
4-3427687,1,2026-03-06,2026-03-03,Robo Total,1,RT - Robo y Hurto Total (Autos particulares),Robo Total,RT,37049000.0,HILUX,TOYOTA,P GII +1000Kg,PICK UPS,2026-03-01,1411.1904761904761,1.0,37049000.0,26253.720263202296
4-3428970,1,2026-03-06,2026-03-03,Robo Total,1,RT - Robo y Hurto Total (Autos particulares),Robo Total,RT,27749000.0,RANGER,FORD,P GII +1000Kg,PICK UPS,2026-03-01,1411.1904761904761,1.0,27749000.0,19663.539733423317
4-3430618,1,2026-03-09,2026-03-03,Destrucción Total,1,Acc. Total (Autos particulares),Destrucción Total,ACC. TOTAL,7598800.0,CLIO,RENAULT,AUT/FAM/M.VAN,AUTOS PARTICULARES,2026-03-01,1411.1904761904761,1.0,7598800.0,5384.673527923064
4-3434482,1,2026-03-03,2026-03-03,Robo Total,1,RT - Robo y Hurto Total (Autos particulares),Robo Total,RT,12258000.0,RANGER,FORD,P GII +1000Kg,PICK UPS,2026-03-01,1411.1904761904761,1.0,12258000.0,8686.283111186098
4-3434640,1,2026-03-04,2026-03-03,Robo Total,1,RT - Robo y Hurto Total (Autos particulares),Robo Total,RT,9891000.0,VECTRA,CHEVROLET,AUT/FAM/M.VAN,AUTOS PARTICULARES,2026-03-01,1411.1904761904761,1.0,9891000.0,7008.975873122997
44-3014281,1,2026-03-02,2026-03-03,Robo Total,1,Robo Total (Motos particulares),Robo Total,RT,8016240.0,CALLE,HONDA,MOTOCICLETA,MOTOCICLETAS,2026-03-01,1411.1904761904761,1.0,8016240.0,5680.4805129070355
44-3014332,1,2026-03-03,2026-03-03,Robo Total,1,Robo Total (Motos particulares),Robo Total,RT,2948480.0,BUSINESS,HONDA,MOTOCICLETA,MOTOCICLETAS,2026-03-01,1411.1904761904761,1.0,2948480.0,2089.356504133626
4-3380005,1,2026-02-12,2026-02-03,Destrucción Total,1,Acc. Total (Autos particulares),Destrucción Total,ACC. TOTAL,12995305.0,CLIO,RENAULT,AUT/FAM/M.VAN,AUTOS PARTICULARES,2026-02-01,1441.6,1.033826222,13434887.071887711,9014.501248612652
4-3384832,1,2026-02-03,2026-02-03,Destrucción Total,2,Acc. Total (Autos particulares),Destrucción Total,ACC. TOTAL,20938034.0,COROLLA,TOYOTA,AUT/FAM/M.VAN,AUTOS PARTICULARES,2026-02-01,1441.6,1.033826222,21646288.58632755,14524.163429522754
