nro_siniestro_gw,año_mes_fecha_pago,segmento,cobertura_principal,monto_transaccion,ipc_x_fecha_de_pago,pago_ipc,usd_blue_fp,pago_usd,marca_vehiculo,modelo_vehiculo,provincia,tv
4-3141899,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),880000,1.71,1508708,1119,786,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3242378,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),340000,1.32,450200,1216,279,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3148287,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),393501,1.64,645107,1278,307,RENAULT,SYMBOL,BUENOS AIRES,Autos particulares
4-3123527,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),867768,1.79,1549871,1004,863,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3199537,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1157024,1.42,1647280,1201,963,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3231177,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),201818,1.32,267231,1216,165,FIAT,FIORINO,BUENOS AIRES,Autos particulares
4-3219598,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),383471,1.35,518987,1105,346,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3258147,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),232868,1.29,301113,1212,192,VOLKSWAGEN,SAVEIRO,BUENOS AIRES,Autos particulares
4-3265855,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),209008,1.21,253495,1263,165,PEUGEOT,2008,BUENOS AIRES,Autos particulares
4-3311881,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),413223,1.15,476830,1282,322,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3257288,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),325000,1.25,405136,1251,259,RENAULT,OROCH,BUENOS AIRES,Autos particulares
4-3189573,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),283000,1.46,413758,1243,227,RENAULT,TWINGO,BUENOS AIRES,Autos particulares
4-3207731,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),136194,1.42,193902,1201,113,FORD,FIESTA,BUENOS AIRES,Autos particulares
4-3242712,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),527120,1.32,697969,1216,433,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3302985,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),130319,1.18,153238,1181,110,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3206031,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1888347,1.42,2688479,1201,1572,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3162032,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),490000,1.58,772182,1416,346,PEUGEOT,301,BUENOS AIRES,Autos particulares
4-3344890,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),867768,1.13,982906,1329,652,TOYOTA,SW4,BUENOS AIRES,Autos particulares
4-3102291,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),103697,2.44,253383,1141,90,RENAULT,SANDERO,BUENOS AIRES,Autos particulares
4-3165303,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),400000,1.58,630352,1416,282,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3171753,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),865950,1.58,1364635,1416,611,VOLKSWAGEN,GOLF,BUENOS AIRES,Autos particulares
4-3179214,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),200008,1.51,302565,1340,149,VOLKSWAGEN,SAVEIRO,BUENOS AIRES,Autos particulares
4-3278385,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),39765,1.21,48228,1263,31,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3333025,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),130743,1.13,148091,1329,98,PEUGEOT,207,BUENOS AIRES,Autos particulares
4-3198432,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1082644,1.42,1541384,1201,901,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3105118,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),694353,2.44,1696647,1141,608,FIAT,TORO,BUENOS AIRES,Autos particulares
4-3168362,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),137194,1.64,224916,1278,107,VOLKSWAGEN,GOL,BUENOS AIRES,Autos particulares
4-3172503,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),727272,1.58,1146095,1416,513,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3206152,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),543000,1.39,754765,1124,483,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3343985,2025-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),211874,1.11,235105,1406,150,FIAT,CRONOS,BUENOS AIRES,Autos particulares
4-3257791,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),991735,1.25,1236272,1251,792,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3337494,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),247171,1.13,279966,1329,185,VOLKSWAGEN,POLO,BUENOS AIRES,Autos particulares
4-3275485,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),203305,1.21,246578,1263,160,PEUGEOT,207,BUENOS AIRES,Autos particulares
4-3305305,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),330578,1.15,381464,1282,257,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3125793,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),609000,1.94,1183764,1001,608,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3139067,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),220158,1.71,377447,1119,196,RENAULT,KANGOO,BUENOS AIRES,Autos particulares
4-3253544,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),484474,1.21,587592,1263,383,AUDI,A1,BUENOS AIRES,Autos particulares
4-3257175,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),168238,1.25,209721,1251,134,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3179946,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),396280,1.51,599480,1340,295,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3250196,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),730000,1.32,966606,1216,599,RENAULT,SANDERO,BUENOS AIRES,Autos particulares
4-3261991,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),362231,1.21,439331,1263,286,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3200073,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),152150,1.42,216619,1201,126,FIAT,PALIO,BUENOS AIRES,Autos particulares
4-3190742,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),355371,1.46,519569,1243,285,FORD,ECO SPORT,BUENOS AIRES,Autos particulares
4-3337813,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),284660,1.13,322429,1329,214,FIAT,CRONOS,BUENOS AIRES,Autos particulares
4-3135583,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),501984,1.94,975748,1001,501,VOLKSWAGEN,POLO,BUENOS AIRES,Autos particulares
4-3168513,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),729999,1.58,1150393,1416,515,TOYOTA,COROLLA,BUENOS AIRES,Autos particulares
4-3203635,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),356000,1.42,506844,1201,296,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3183106,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),119481,1.42,170108,1201,99,RENAULT,KANGOO,BUENOS AIRES,Autos particulares
4-3216501,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),443190,1.42,630978,1201,369,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3233175,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),189420,1.35,256360,1105,171,CITROEN,C 3 AIRCROSS,BUENOS AIRES,Autos particulares
4-3295424,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),475000,1.19,567582,1162,408,PEUGEOT,208,BUENOS AIRES,Autos particulares
