año,AUT,marca,modelo,Codigo Modelo La Segunda,prima_dev_hist,prima_dev_ipc,ar_t,ns_t,ns_t_nro_sin,is_t,is_t_ipc
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1634-45,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1720-36,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1635-45 S CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1624-51 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1720-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1735-45 S,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1635-45 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1634-51,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1735-51,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATRON,M. BENZ C ATRON 1624-45 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1720-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1620-45 M96 C.D.,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 914-42 EURO,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1215-42/48,151506,269316,1,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1720-42 A,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 2638-54,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,MERCEDES BENZ CAMION L 2221/54,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1634-51,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 2325-51,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1938-56 EURO AA,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1620-51 M96,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,L,M. BENZ C L 1622-51 C.D.,0,0,0,0,0,0,0
