Repuesto,Cant Ord. Compra,Monto Total
Optica,20150,12663209513
Paragolpes y soporte Del.,36145,8936976990
Paragolpes y soporte Tras.,18206,5627233085
Capot,6183,4149314886
Porton Tras.,2826,2975981166
Rejilla de Aireacion,9828,2826862242
Puerta Delantera Izq.,2530,2323009311
Puerta Delantera Der.,2191,1985964204
Puerta Trasera Der.,2125,1750995793
Puerta Trasera Izq.,1660,1365874196
Faro Tras.Izq.,5363,1340920340
Faro Tras.Der.,4644,1221814104
Guardabarros Delantero Izq.,4635,1136128025
Condensador,2504,1041714527
Guardabarros Delantero Der.,4291,1039537837
Radiador,2604,893161275
Espejo Electrico Izq.,2046,"889182366,8"
Paragolpes Tras. (Sin Pintar),1781,"881596270,4"
Alma de Paragolpes Delantero,2959,"876620052,1"
Rejilla del Paragolpes,6232,876588401
Tapa de Baul,1046,"782074609,5"
Espejo Electrico Der.,1741,"757740157,7"
Guardabarros Trasero Izq.,660,"657981805,8"
Porton de Caja,713,629265768
Panel de Cola,1391,"594227562,5"
Guarda. Plast. Del. Der.,5544,"577753599,3"
Guarda. Plast. Del. Izq.,5600,"569421595,4"
Faro Antiniebla Izq.,2650,"521192537,1"
Faro Antiniebla Der.,2675,"520474220,3"
Parabrisas,874,482635599
Moldura Paragolpes Tras.,2307,"472219265,6"
Marco de la Rejilla de Aireacion,2262,"472189349,2"
Paragolpes Del. (Sin Pintar),1227,"470824264,6"
Guardabarros Trasero Der.,456,"456995577,3"
Frente Completo,993,"448527724,5"
Alma de Paragolpes Trasero,1481,"412183767,4"
Frente completo plastico,1134,"365556159,4"
Electroventilador,1170,"356290406,5"
Lateral de Caja Izquierdo,380,"344931710,2"
Lateral de Caja Derecho,358,"322483361,1"
Emblema Marca Rejilla Aireacion,3436,"280688634,4"
Zocalo Derecho,352,"271225997,5"
Absorbedor de Golpes Delantero,1646,"264490297,9"
Intercooler,261,"246364913,1"
Moldura Paragolpes Del.,1045,"237640254,1"
Llanta de Aleacion Del.Der.,324,"228816387,2"
Caja Direccion por Cremallera Hid.,91,"217986901,3"
Zocalo Izquierdo,296,"215215520,3"
Llanta de Aleacion Del.Izq.,326,"213451714,8"
Deflector Paragolpes Delantero,1125,"203388176,9"
Puente Eje Tras.,173,"192615759,4"
Puerta de Caja Izquierda,256,180632738
Soporte Paragolpes Tras.Der.,3685,"176765784,6"
Soporte Paragolpes Tras.Izq.,3799,"172898519,4"
Absorbedor de Golpes Trasero,1684,"170545475,7"
Extension del Faro Trasero Izquierdo,537,167521759
Eje Trasero,141,"160351725,5"
Techo,218,"155896039,4"
Llanta de Aleacion Tras.Izq.,243,"155711901,2"
Guardabarros Delantero Der. (Atornillado),372,"154581813,6"
Spoiler Paragolpes Del. (Sin Pintar),875,"151837365,6"
Parabrisas (Pegado),144,150720324
