Pieza,Cant. O.Compra,Cant. Piezas Total,Cant. Piezas (Prom),Costo Pieza (Prom),Monto Total Compras,% Monto Compras
Optica,3271,3271,1,834705,2730321281,14.5
Paragolpes Del.,3080,3080,1,557874,1718253321,9.13
Paragolpes Tras.,1765,1765,1,631328,1114294970,5.92
Capot,1064,1064,1,793504,844288880,4.48
Porton Tras.,548,548,1,1250537,685294440,3.64
Paragolpes Tras. (Sin Impresion),870,870,1,690381,600632163,3.19
Rejilla de Aireacion,1567,1567,1,369077,578344392,3.07
Paragolpes Tras. (Con Impresion),895,895,1,572275,512186473,2.72
Puerta Delantera Izq.,454,454,1,1109248,503598847,2.67
Puerta Delantera Der.,380,380,1,1139462,432995793,2.3
Puerta Trasera Der.,348,348,1,1037492,361047501,1.92
Puerta Trasera Izq.,322,322,1,1020726,328673878,1.75
Faro Tras.Izq.,964,964,1,309539,298396539,1.58
Guardabarros Delantero Der.,768,768,1,344205,264349497,1.4
Faro Tras.Der.,774,774,1,316395,244889850,1.3
Guardabarros Delantero Izq.,797,797,1,280649,223677605,1.19
Paragolpes Tras. (Sin Pintar),345,345,1,606499,209242293,1.11
Rejilla del Paragolpes,1054,1054,1,167912,176979548,0.94
Condensador,397,397,1,442217,175560346,0.93
Alma de Paragolpes Delantero,468,468,1,335182,156865280,0.83
Porton de Caja,139,139,1,1101852,153157511,0.81
Espejo Electrico Der.,277,277,1,544734,150891371,0.8
Radiador,393,393,1,375035,147389122,0.78
Espejo Electrico Izq.,304,304,1,445100,135310526,0.72
Tapa de Baul,171,171,1,784309,134116946,0.71
Guardabarros Trasero Izq.,113,113,1,1162249,131334163,0.7
Guarda. Plast. Del. Der.,937,937,1,132776,124411704,0.66
Guarda. Plast. Del. Izq.,961,961,1,129187,124149429,0.66
Guardabarros Trasero Der.,85,85,1,1435502,122017689,0.65
Panel de Cola,242,242,1,494756,119731074,0.64
Faro Antiniebla Der.,459,459,1,237831,109164517,0.58
Paragolpes Del. (Sin Pintar),233,233,1,449304,104688002,0.56
Moldura Paragolpes Tras.,419,419,1,247363,103645355,0.55
Alma de Paragolpes Trasero,290,290,1,345194,100106359,0.53
Faro Antiniebla Izq.,414,414,1,239339,99086703,0.53
Lateral de Caja Derecho,81,81,1,1121034,90803796,0.48
