año_mes,tva,tipo_costo,valor_costo
2023-01-01,auto_cleas_si,cm_hs_chapa,2758.59
2023-02-01,auto_cleas_si,cm_hs_chapa,3033.94
2023-03-01,auto_cleas_si,cm_hs_chapa,3135.51
2023-04-01,auto_cleas_si,cm_hs_chapa,3328.91
2023-05-01,auto_cleas_si,cm_hs_chapa,3602.38
2023-06-01,auto_cleas_si,cm_hs_chapa,3943.68
2023-07-01,auto_cleas_si,cm_hs_chapa,4319.32
2023-08-01,auto_cleas_si,cm_hs_chapa,4802.37
2023-09-01,auto_cleas_si,cm_hs_chapa,5254.23
2023-10-01,auto_cleas_si,cm_hs_chapa,5717.03
2023-11-01,auto_cleas_si,cm_hs_chapa,6365.56
2023-12-01,auto_cleas_si,cm_hs_chapa,7111.79
2024-01-01,auto_cleas_si,cm_hs_chapa,7979.37
2024-02-01,auto_cleas_si,cm_hs_chapa,8935.76
2024-03-01,auto_cleas_si,cm_hs_chapa,9991.63
2024-04-01,auto_cleas_si,cm_hs_chapa,11771.41
2024-05-01,auto_cleas_si,cm_hs_chapa,12627.44
2024-06-01,auto_cleas_si,cm_hs_chapa,13780.14
2024-07-01,auto_cleas_si,cm_hs_chapa,14524.49
2024-08-01,auto_cleas_si,cm_hs_chapa,15469.39
2024-09-01,auto_cleas_si,cm_hs_chapa,16503.33
2024-10-01,auto_cleas_si,cm_hs_chapa,17127.35
2024-11-01,auto_cleas_si,cm_hs_chapa,18256.62
2024-12-01,auto_cleas_si,cm_hs_chapa,18399.06
2025-01-01,auto_cleas_si,cm_hs_chapa,19580.17
2025-02-01,auto_cleas_si,cm_hs_chapa,19735.98
2025-03-01,auto_cleas_si,cm_hs_chapa,20683.09
2025-04-01,auto_cleas_si,cm_hs_chapa,21975.73
2025-05-01,auto_cleas_si,cm_hs_chapa,22921.08
2025-06-01,auto_cleas_si,cm_hs_chapa,23860.62
2025-07-01,auto_cleas_si,cm_hs_chapa,24489.07
2023-01-01,auto_cleas_no,cm_hs_chapa,2898.62
2023-02-01,auto_cleas_no,cm_hs_chapa,2993.32
2023-03-01,auto_cleas_no,cm_hs_chapa,3209.35
2023-04-01,auto_cleas_no,cm_hs_chapa,3373.12
2023-05-01,auto_cleas_no,cm_hs_chapa,3580.05
2023-06-01,auto_cleas_no,cm_hs_chapa,3782.32
2023-07-01,auto_cleas_no,cm_hs_chapa,4144.03
2023-08-01,auto_cleas_no,cm_hs_chapa,4380.54
2023-09-01,auto_cleas_no,cm_hs_chapa,4843.89
2023-10-01,auto_cleas_no,cm_hs_chapa,5181.03
2023-11-01,auto_cleas_no,cm_hs_chapa,5761.49
2023-12-01,auto_cleas_no,cm_hs_chapa,6594.77
2024-01-01,auto_cleas_no,cm_hs_chapa,8198.85
2024-02-01,auto_cleas_no,cm_hs_chapa,9620.97
2024-03-01,auto_cleas_no,cm_hs_chapa,10487.28
2024-04-01,auto_cleas_no,cm_hs_chapa,10712.25
2024-05-01,auto_cleas_no,cm_hs_chapa,12686.96
2024-06-01,auto_cleas_no,cm_hs_chapa,12026.51
2024-07-01,auto_cleas_no,cm_hs_chapa,15194.58
2024-08-01,auto_cleas_no,cm_hs_chapa,16414.6
2024-09-01,auto_cleas_no,cm_hs_chapa,16942.62
2024-10-01,auto_cleas_no,cm_hs_chapa,17687.11
2024-11-01,auto_cleas_no,cm_hs_chapa,18731.68
2024-12-01,auto_cleas_no,cm_hs_chapa,19096.77
2025-01-01,auto_cleas_no,cm_hs_chapa,20183.45
2025-02-01,auto_cleas_no,cm_hs_chapa,19043.01
2025-03-01,auto_cleas_no,cm_hs_chapa,22708.63
2025-04-01,auto_cleas_no,cm_hs_chapa,22054.62
2025-05-01,auto_cleas_no,cm_hs_chapa,22743.0
2025-06-01,auto_cleas_no,cm_hs_chapa,23474.42
2025-07-01,auto_cleas_no,cm_hs_chapa,24566.3
2023-01-01,camion_cleas_si,cm_hs_chapa,2223.33
2023-02-01,camion_cleas_si,cm_hs_chapa,
2023-03-01,camion_cleas_si,cm_hs_chapa,2296.02
2023-04-01,camion_cleas_si,cm_hs_chapa,2631.96
2023-05-01,camion_cleas_si,cm_hs_chapa,1.0
2023-06-01,camion_cleas_si,cm_hs_chapa,5716.74
2023-07-01,camion_cleas_si,cm_hs_chapa,6000.0
2023-08-01,camion_cleas_si,cm_hs_chapa,3500.0
2023-09-01,camion_cleas_si,cm_hs_chapa,3476.71
2023-10-01,camion_cleas_si,cm_hs_chapa,6977.08
2023-11-01,camion_cleas_si,cm_hs_chapa,1168.6
2023-12-01,camion_cleas_si,cm_hs_chapa,
2024-01-01,camion_cleas_si,cm_hs_chapa,
2024-02-01,camion_cleas_si,cm_hs_chapa,0.01
2024-03-01,camion_cleas_si,cm_hs_chapa,12000.0
2024-04-01,camion_cleas_si,cm_hs_chapa,6608.79
2024-05-01,camion_cleas_si,cm_hs_chapa,11863.08
2024-06-01,camion_cleas_si,cm_hs_chapa,
2024-07-01,camion_cleas_si,cm_hs_chapa,16464.24
2024-08-01,camion_cleas_si,cm_hs_chapa,55000.0
