año_mes,tva,tipo_costo,valor_costo
2023-01-01,auto,cm_hs_chapa_usd,7.874339623
2023-02-01,auto,cm_hs_chapa_usd,7.973986857
2023-03-01,auto,cm_hs_chapa_usd,8.419507119
2023-04-01,auto,cm_hs_chapa_usd,8.024385903
2023-05-01,auto,cm_hs_chapa_usd,7.498922931
2023-06-01,auto,cm_hs_chapa_usd,7.789196703
2023-07-01,auto,cm_hs_chapa_usd,8.059872788
2023-08-01,auto,cm_hs_chapa_usd,6.844679741
2023-09-01,auto,cm_hs_chapa_usd,6.650083461
2023-10-01,auto,cm_hs_chapa_usd,5.734872001
2023-11-01,auto,cm_hs_chapa_usd,6.249197746
2023-12-01,auto,cm_hs_chapa_usd,6.884970292
2024-01-01,auto,cm_hs_chapa_usd,7.162970748
2024-02-01,auto,cm_hs_chapa_usd,8.833377902
2024-03-01,auto,cm_hs_chapa_usd,10.42314364
2024-04-01,auto,cm_hs_chapa_usd,10.75751182
2024-05-01,auto,cm_hs_chapa_usd,11.32635653
2024-06-01,auto,cm_hs_chapa_usd,9.542627851
2024-07-01,auto,cm_hs_chapa_usd,10.67787946
2024-08-01,auto,cm_hs_chapa_usd,12.16489235
2024-09-01,auto,cm_hs_chapa_usd,13.58518299
2024-10-01,auto,cm_hs_chapa_usd,14.67300583
2024-11-01,auto,cm_hs_chapa_usd,16.61329083
2024-12-01,auto,cm_hs_chapa_usd,17.20744662
2025-01-01,auto,cm_hs_chapa_usd,16.53545054
2025-02-01,auto,cm_hs_chapa_usd,15.71518216
2025-03-01,auto,cm_hs_chapa_usd,17.98058365
2025-04-01,auto,cm_hs_chapa_usd,17.44465846
2025-05-01,auto,cm_hs_chapa_usd,19.5827646
2025-06-01,auto,cm_hs_chapa_usd,19.89347807
2025-07-01,auto,cm_hs_chapa_usd,19.14545712
2023-01-01,camion,cm_hs_chapa_usd,17.46331927
2023-02-01,camion,cm_hs_chapa_usd,15.13228759
2023-03-01,camion,cm_hs_chapa_usd,15.34523072
2023-04-01,camion,cm_hs_chapa_usd,19.23361872
2023-05-01,camion,cm_hs_chapa_usd,15.66274405
2023-06-01,camion,cm_hs_chapa_usd,14.94097215
2023-07-01,camion,cm_hs_chapa_usd,16.20019912
2023-08-01,camion,cm_hs_chapa_usd,14.86282678
2023-09-01,camion,cm_hs_chapa_usd,13.59967297
2023-10-01,camion,cm_hs_chapa_usd,11.84318008
2023-11-01,camion,cm_hs_chapa_usd,14.86815133
2023-12-01,camion,cm_hs_chapa_usd,16.97235977
2024-01-01,camion,cm_hs_chapa_usd,15.73188825
2024-02-01,camion,cm_hs_chapa_usd,26.62362701
2024-03-01,camion,cm_hs_chapa_usd,23.86562494
2024-04-01,camion,cm_hs_chapa_usd,21.31579
2024-05-01,camion,cm_hs_chapa_usd,25.12250689
2024-06-01,camion,cm_hs_chapa_usd,20.49168803
2024-07-01,camion,cm_hs_chapa_usd,22.11475098
2024-08-01,camion,cm_hs_chapa_usd,23.89305916
2024-09-01,camion,cm_hs_chapa_usd,26.9448396
2024-10-01,camion,cm_hs_chapa_usd,29.62522898
2024-11-01,camion,cm_hs_chapa_usd,22.07968735
2024-12-01,camion,cm_hs_chapa_usd,32.50757329
2025-01-01,camion,cm_hs_chapa_usd,30.88090167
2025-02-01,camion,cm_hs_chapa_usd,30.48856147
2025-03-01,camion,cm_hs_chapa_usd,38.70760996
2025-04-01,camion,cm_hs_chapa_usd,35.09840176
2025-05-01,camion,cm_hs_chapa_usd,41.46059988
2025-06-01,camion,cm_hs_chapa_usd,37.95111868
2025-07-01,camion,cm_hs_chapa_usd,38.6382523
2023-01-01,moto,cm_hs_chapa_usd,5.967226912
2023-02-01,moto,cm_hs_chapa_usd,4.708422782
2023-03-01,moto,cm_hs_chapa_usd,4.853921894
2023-04-01,moto,cm_hs_chapa_usd,5.164888951
2023-05-01,moto,cm_hs_chapa_usd,4.883120837
2023-06-01,moto,cm_hs_chapa_usd,5.631736244
2023-07-01,moto,cm_hs_chapa_usd,5.04826604
2023-08-01,moto,cm_hs_chapa_usd,3.168806879
2023-09-01,moto,cm_hs_chapa_usd,3.875387498
2023-10-01,moto,cm_hs_chapa_usd,2.705959902
2023-11-01,moto,cm_hs_chapa_usd,3.828516233
2023-12-01,moto,cm_hs_chapa_usd,3.875699646
2024-01-01,moto,cm_hs_chapa_usd,3.634095288
2024-02-01,moto,cm_hs_chapa_usd,4.917380599
2024-03-01,moto,cm_hs_chapa_usd,5.293650184
2024-04-01,moto,cm_hs_chapa_usd,5.754565812
2024-05-01,moto,cm_hs_chapa_usd,7.494681057
2024-06-01,moto,cm_hs_chapa_usd,7.517305236
2024-07-01,moto,cm_hs_chapa_usd,7.22270187
2024-08-01,moto,cm_hs_chapa_usd,8.859738261
2024-09-01,moto,cm_hs_chapa_usd,6.953015313
2024-10-01,moto,cm_hs_chapa_usd,11.91452956
2024-11-01,moto,cm_hs_chapa_usd,10.768405
2024-12-01,moto,cm_hs_chapa_usd,10.57859211
