fecha,marca,zona,tipo_cristal,precio
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,36674.850411690015
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,34579.14467387916
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,32483.438936068298
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,62871.172134325745
2023-12-01,FIAT,CABA,Aleta/Ventilete,30109.78048351376
2023-12-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,28389.221598741547
2023-12-01,FIAT,Rosario,Aleta/Ventilete,26668.662713969334
2023-12-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,51616.76654316645
2023-12-01,FORD,CABA,Aleta/Ventilete,36619.06943490622
2023-12-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,34526.55118148302
2023-12-01,FORD,Rosario,Aleta/Ventilete,32434.032928059798
2023-12-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,62775.54760269639
2023-12-01,PEUGEOT,CABA,Aleta/Ventilete,109069.51379048632
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,108477.95322886604
2023-12-01,PEUGEOT,Rosario,Aleta/Ventilete,107886.39266724576
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,116464.0208107399
2023-12-01,RENAULT,CABA,Aleta/Ventilete,39767.61557793859
2023-12-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,37495.18040205638
2023-12-01,RENAULT,Rosario,Aleta/Ventilete,35222.745226174186
2023-12-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,68173.05527646616
2023-12-01,TOYOTA,CABA,Aleta/Ventilete,36378.31364833688
2023-12-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,34299.552868431914
2023-12-01,TOYOTA,Rosario,Aleta/Ventilete,32220.792088526952
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,62362.82339714893
2023-12-01,VOLKSWAGEN,CABA,Aleta/Ventilete,37184.82769771186
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,35059.98040069975
2023-12-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,32935.13310368765
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,63745.418910363194
2024-02-01,CHEVROLET,CABA,Aleta/Ventilete,38508.592932274514
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,36308.10190757312
2024-02-01,CHEVROLET,Rosario,Aleta/Ventilete,34107.61088287172
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,66014.73074104203
2024-02-01,FIAT,CABA,Aleta/Ventilete,31615.269507689452
2024-02-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,29808.68267867863
2024-02-01,FIAT,Rosario,Aleta/Ventilete,28002.095849667803
2024-02-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,54197.60487032478
2024-02-01,FORD,CABA,Aleta/Ventilete,38450.02290665154
2024-02-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,36252.878740557164
2024-02-01,FORD,Rosario,Aleta/Ventilete,34055.73457446279
2024-02-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,65914.3249828312
2024-02-01,PEUGEOT,CABA,Aleta/Ventilete,115510.16151963198
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,114889.02292993068
