fecha,marca,zona,tipo_cristal,precio_ipc
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,89119.37532634169
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,84026.83959340787
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,78934.30385709889
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,152776.0719880143
2023-12-01,FIAT,CABA,Aleta/Ventilete,73166.34690481806
2023-12-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,68985.41279597131
2023-12-01,FIAT,Rosario,Aleta/Ventilete,64804.47868435356
2023-12-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,125428.02326540239
2023-12-01,FORD,CABA,Aleta/Ventilete,88983.82833023231
2023-12-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,83899.03813993336
2023-12-01,FORD,Rosario,Aleta/Ventilete,78814.24794626428
2023-12-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,152543.7057089697
2023-12-01,PEUGEOT,CABA,Aleta/Ventilete,265037.39829999855
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,263599.91438043234
2023-12-01,PEUGEOT,Rosario,Aleta/Ventilete,262162.4304496562
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,283005.94729457586
2023-12-01,RENAULT,CABA,Aleta/Ventilete,96634.75157336483
2023-12-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,91112.76576917258
2023-12-01,RENAULT,Rosario,Aleta/Ventilete,85590.77996132048
2023-12-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,165659.5741257683
2023-12-01,TOYOTA,CABA,Aleta/Ventilete,88398.79512452298
2023-12-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,83347.43540312166
2023-12-01,TOYOTA,Rosario,Aleta/Ventilete,78296.07567837245
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,151540.79164203937
2023-12-01,VOLKSWAGEN,CABA,Aleta/Ventilete,90358.61302331135
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,85195.26370769356
2023-12-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,80031.91438865366
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,154900.47946853377
2024-02-01,CHEVROLET,CABA,Aleta/Ventilete,68511.0222326186
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,64596.10667646898
2024-02-01,CHEVROLET,Rosario,Aleta/Ventilete,60681.19112717532
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,117447.46668448905
2024-02-01,FIAT,CABA,Aleta/Ventilete,56247.04169121161
2024-02-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,53032.92502314238
2024-02-01,FIAT,Rosario,Aleta/Ventilete,49818.80836070184
2024-02-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,96423.50004207705
2024-02-01,FORD,CABA,Aleta/Ventilete,68406.8197151525
2024-02-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,64497.85858857236
2024-02-01,FORD,Rosario,Aleta/Ventilete,60588.89746883776
2024-02-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,117268.83379740425
2024-02-01,PEUGEOT,CABA,Aleta/Ventilete,205505.28184405016
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,204400.20797642262
2024-02-01,PEUGEOT,Rosario,Aleta/Ventilete,203295.13413176406
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,219318.70518939442
2024-02-01,RENAULT,CABA,Aleta/Ventilete,74288.5100938257
2024-02-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,70043.45237417852
2024-02-01,RENAULT,Rosario,Aleta/Ventilete,65798.39466196546
2024-02-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,127351.73158941546
2024-02-01,TOYOTA,CABA,Aleta/Ventilete,67957.07213987604
2024-02-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,64073.81087474027
2024-02-01,TOYOTA,Rosario,Aleta/Ventilete,60190.549616405035
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,116497.83795407321
2024-02-01,VOLKSWAGEN,CABA,Aleta/Ventilete,69463.69319892299
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,65494.33930184168
2024-02-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,61524.98541171167
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,119080.61691243941
2024-03-01,CHEVROLET,CABA,Aleta/Ventilete,64802.06077931022
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,61099.08587763534
2024-03-01,CHEVROLET,Rosario,Aleta/Ventilete,57396.11096479505
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,111089.24705024608
2024-03-01,FIAT,CABA,Aleta/Ventilete,53202.011815770486
2024-03-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,50161.89685486932
2024-03-01,FIAT,Rosario,Aleta/Ventilete,47121.78188480142
2024-03-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,91203.44882703511
2024-03-01,FORD,CABA,Aleta/Ventilete,68905.64190455098
2024-03-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,64968.17665286238
2024-03-01,FORD,Rosario,Aleta/Ventilete,61030.711389301265
2024-03-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,118123.95755065883
2024-03-01,PEUGEOT,CABA,Aleta/Ventilete,195721.52488473384
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,194676.2760823954
2024-03-01,PEUGEOT,Rosario,Aleta/Ventilete,193631.0272423894
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,208787.13491396446
2024-03-01,RENAULT,CABA,Aleta/Ventilete,70266.77444629469
2024-03-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,66251.5301922207
2024-03-01,RENAULT,Rosario,Aleta/Ventilete,62236.285926039716
2024-03-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,120457.32762221947
2024-03-01,TOYOTA,CABA,Aleta/Ventilete,62364.60287901164
2024-03-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,58800.91128592527
2024-03-01,TOYOTA,Rosario,Aleta/Ventilete,55237.21968209344
2024-03-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,106910.74779259137
2024-03-01,VOLKSWAGEN,CABA,Aleta/Ventilete,65703.15727224428
2024-03-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,61948.69114240175
2024-03-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,58194.22500123854
2024-03-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,112633.98389527589
