fecha,marca,zona,tipo_cristal,instalacion
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,16962.28525296993
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,18531.29663886964
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,18531.29663886964
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,33246.07909582106
2023-12-01,FIAT,CABA,Aleta/Ventilete,16962.28525296993
2023-12-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,18531.29663886964
2023-12-01,FIAT,Rosario,Aleta/Ventilete,18531.29663886964
2023-12-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,33246.07909582106
2023-12-01,FORD,CABA,Aleta/Ventilete,16962.28525296993
2023-12-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,18531.29663886964
2023-12-01,FORD,Rosario,Aleta/Ventilete,18531.29663886964
2023-12-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,33246.07909582106
2023-12-01,PEUGEOT,CABA,Aleta/Ventilete,16962.28525296993
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,18531.29663886964
2023-12-01,PEUGEOT,Rosario,Aleta/Ventilete,18531.29663886964
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,33246.07909582106
2023-12-01,RENAULT,CABA,Aleta/Ventilete,16962.28525296993
2023-12-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,18531.29663886964
2023-12-01,RENAULT,Rosario,Aleta/Ventilete,18531.29663886964
2023-12-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,33246.07909582106
2023-12-01,TOYOTA,CABA,Aleta/Ventilete,16962.28525296993
2023-12-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,18531.29663886964
2023-12-01,TOYOTA,Rosario,Aleta/Ventilete,18531.29663886964
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,33246.07909582106
2023-12-01,VOLKSWAGEN,CABA,Aleta/Ventilete,16962.28525296993
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,18531.29663886964
2023-12-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,18531.29663886964
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,33246.07909582106
2024-02-01,CHEVROLET,CABA,Aleta/Ventilete,18488.89092573722
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,20199.11333636791
2024-02-01,CHEVROLET,Rosario,Aleta/Ventilete,20199.11333636791
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,36238.22621444496
2024-02-01,FIAT,CABA,Aleta/Ventilete,18488.89092573722
2024-02-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,20199.11333636791
2024-02-01,FIAT,Rosario,Aleta/Ventilete,20199.11333636791
2024-02-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,36238.22621444496
2024-02-01,FORD,CABA,Aleta/Ventilete,18488.89092573722
2024-02-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,20199.11333636791
2024-02-01,FORD,Rosario,Aleta/Ventilete,20199.11333636791
2024-02-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,36238.22621444496
2024-02-01,PEUGEOT,CABA,Aleta/Ventilete,18488.89092573722
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,20199.11333636791
2024-02-01,PEUGEOT,Rosario,Aleta/Ventilete,20199.11333636791
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,36238.22621444496
2024-02-01,RENAULT,CABA,Aleta/Ventilete,18488.89092573722
2024-02-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,20199.11333636791
2024-02-01,RENAULT,Rosario,Aleta/Ventilete,20199.11333636791
2024-02-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,36238.22621444496
2024-02-01,TOYOTA,CABA,Aleta/Ventilete,18488.89092573722
2024-02-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,20199.11333636791
2024-02-01,TOYOTA,Rosario,Aleta/Ventilete,20199.11333636791
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,36238.22621444496
2024-02-01,VOLKSWAGEN,CABA,Aleta/Ventilete,18488.89092573722
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,20199.11333636791
2024-02-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,20199.11333636791
